	Topic	Top-Words	Label 1	Label 2	Label 3	Label 4	Label 5
0	0	['temps', 'trouver', 'avoyer', 'personne', 'paraître', 'prendre', 'long', 'jour', 'donner', 'maison', 'assez', 'rendre', 'plaisir', 'peine', 'cependant', 'tôt', 'point', 'recevoir', 'état', 'aurois']	('pouvoir', 0.2871)	('raison', 0.2224)	('livre', 0.1834)	('goût', 0.1788)	('france', 0.1772)
1	1	['roi', 'peuple', 'prince', 'grand', 'citoyen', 'rendre', 'souverain', 'ordre', 'porter', 'gloire', 'trône', 'sujet', 'monarque', 'troupe', 'patrie', 'point', 'nation', 'empire', 'ennemi', 'gouvernement']	('prince', 0.4566)	('peuple', 0.4346)	('citoyen', 0.3173)	('nation', 0.3128)	('paix', 0.2817)
2	2	['trouver', 'venir', 'jour', 'rendre', 'femme', 'prendre', 'servir', 'là', 'moins', 'devenir', 'jamais', 'passer', 'encore', 'instant', 'heure', 'mettre', 'moyen', 'grand', 'nouveau', 'laisser']	('pouvoir', 0.3106)	('idée', 0.2206)	('siècle', 0.2019)	('raison', 0.1997)	('hasard', 0.1807)
3	3	['maître', 'homme', 'petit', 'jacque|jacques', 'grand', 'bon', 'là', 'voilà', 'manger', 'cheval', 'vin', 'prendre', 'savoir', 'comment', 'gens', 'mettre', 'point', 'donner', 'hôte|hôtesse', 'jour']	('pouvoir', 0.3514)	('hasard', 0.2799)	('bonheur', 0.2215)	('idée', 0.2145)	('raison', 0.1795)
4	4	['homme', 'enfant', 'point', 'voir', 'donner', 'savoir', 'toujours', 'apprendre', 'moins', 'chose', 'nature', 'besoin', 'jamais', 'raison', 'rendre', 'âge', 'grand', 'mal', 'bon', 'connaître']	('pouvoir', 0.4234)	('raison', 0.4069)	('idée', 0.2682)	('bonheur', 0.2182)	('goût', 0.2099)
5	5	['foutre', 'fille', 'cul', 'con', 'décharger', 'là', 'duc', 'vit', 'mettre', 'bouche', 'petit', 'plaisir', 'beau', 'femme', 'branler', 'voir', 'homme', 'fesse', 'enculer', 'joli']	('amour', 0.3417)	('bonheur', 0.2978)	('rire', 0.2922)	('goût', 0.1547)	('rêve', 0.149)
6	6	['voir', 'venir', 'main', 'suivre|être', 'prendre', 'entendre', 'demander', 'sortir', 'passer', 'heure', 'répondre', 'parler', 'mettre', 'porte', 'œil', 'arriver', 'savoir', 'trouver', 'chambre', 'croire']	('pouvoir', 0.3344)	('hasard', 0.2414)	('raison', 0.1914)	('rêve', 0.1898)	('idée', 0.1822)
7	7	['père', 'fille', 'mère', 'sœur', 'enfant', 'bon', 'cher', 'frère', 'voir', 'femme', 'fil|fils', 'saint', 'petit', 'venir', 'donner', 'marquis', 'mari', 'jour', 'jeune', 'pauvre']	('enfance', 0.4312)	('famille', 0.3228)	('amour', 0.2401)	('bonheur', 0.2273)	('éducation', 0.2185)
8	8	['cœur', 'amour', 'âme', 'bonheur', 'aimer', 'voir', 'heureux', 'vie', 'jour', 'sentiment', 'seul', 'doux', 'point', 'sentir', 'plaisir', 'ami', 'jamais', 'temps', 'tendre', 'objet']	('bonheur', 0.6327)	('amour', 0.6171)	('rêve', 0.387)	('pouvoir', 0.2587)	('goût', 0.2463)
9	9	['lettre', 'suivre|être', 'ami', 'écrire', 'croire', 'comte', 'voir', 'cher', 'chère', 'savoir', 'encore', 'trouver', 'adieu', 'parler', 'moment', 'prendre', 'venir', 'chevalier', 'recevoir', 'amitié']	('pouvoir', 0.2997)	('idée', 0.2508)	('amour', 0.2361)	('hasard', 0.2155)	('bonheur', 0.2066)
