	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
0	vaisseau	cœur	ennemi	père	homme	beau	temps	milord	croire	mère	bon	main	maître	voir	saint	amour	heure	homme	paraître	ami	auteur	crime	bon	femme	enfant	comte	ami	terre	maison	larme	foutre	dieu	peuple	porte	lettre	aimer	laisser	argent	arriver	roi
1	capitaine	idée	arme	fil|fils	nature	œil	jour	point	moins	fille	là	œil	manger	répondre	dieu	cœur	chambre	vie	recevoir	voir	ouvrage	homme	petit	homme	homme	marquise	point	eau	ville	douleur	fille	homme	roi	grand	écrire	cœur	moyen	payer	cheval	prince
2	ville	voir	roi	enfant	corps	fleur	encore	miss	encore	sœur	voir	bras	petit	parler	père	plaisir	nuit	état	personne	parler	lire	malheureux	dame	esprit	point	chevalier	secret	montagne	terre	point	cul	religion	loi	voir	ami	amour	jamais	donner	homme	princesse
3	grand	œil	combat	jeune	point	air	voir	mylord	point	frère	petit	jeter	mettre	entendre	couvent	bonheur	lit	mal	donner	point	livre	horreur	beau	jeune	toujours	marquis	jour	soleil	petit	mort	con	vérité	grand	entendre	cher	point	servir	fortune	voiture	grand
4	mer	sentiment	troupe	homme	chose	chanter	passer	lady	paraître	père	chose	lever	grand	demander	religieux	aimer	femme	malheur	connaître	hui	esprit	mort	abbé	plaisir	jamais	duc	époux	arbre	travail	vie	là	raison	homme	côté	adieu	sentiment	fille	homme	partir	fée
5	pays	âme	soldat	vieillard	loi	jeune	vivre	ami	chose	enfant	croire	voir	boire	croire	curé	heureux	soir	malheureux	temps	croire	grand	coupable	cher	goût	donner	duchesse	seul	voir	campagne	mourir	décharger	vertu	prince	ouvrir	voir	jamais	seul	bon	arrêter	reine
6	officier	temps	armer	voir	espèce	beauté	long	lord	donner	bon	fort	mot	vin	homme	grand	amant	porte	fortune	fort	moment	histoire	punir	ami	monde	moins	vicomte	malheur	rocher	grand	ciel	mettre	esprit	citoyen	pied	recevoir	croire	instant	affaire	route	cour
7	donner	esprit	sang	oncle	animal	rose	perdre	sir	autant	voir	voilà	genou	eau	point	église	doux	sortir	heureux	part	aujourd	pièce	sang	ci	mari	voir	grand	connaître	vent	jour	cœur	vit	point	nation	apercevoir	puis	vertu	moins	somme	chemin	palais
8	port	objet	coup	famille	effet	voir	nouveau	fortune	temps	femme	aimer	tomber	là	mot	supérieur	âme	passer	vivre	nouveau	ange	art	affreux	mettre	beau	apprendre	baron	doute	bord	pays	malheureux	plaisir	nature	gouvernement	entrer	croire	âme	projet	honnête	là	beau
9	mettre	sembler	gloire	bon	objet	doux	arriver	fille	voir	cher	beau	moment	donner	reprendre	moine	tendre	matin	besoin	jour	père	théâtre	monstre	voir	société	bon	moi|mois	femme	mer	beau	père	duc	loi	patrie	petit	lire	passion	demander	livre	suivre	seigneur
10	point	paraître	guerre	fille	idée	couleur	toujours	comte	penser	jeune	rire	écrier	bon	connaître	prêtre	jouir	mettre	vertu	apprendre	chose	roman	scélérat	fort	aimable	âge	baron|baronne	jamais	nature	jardin	dernier	bouche	monde	point	mur	jour	seul	permettre	gens	maître	calife
11	embarquer	éprouver	peuple	frère	mouvement	berger	moment	chère	amour	mari	mieux	pied	pain	œil	point	charme	jour	sort	ajouter	penser	tableau	vengeance	assez	caractère	chose	château	amant	élever	voir	jour	petit	humain	souverain	tour	envoyer	ami	exiger	maison	grand	dame
12	passer	sentir	combattre	ami	être|êtres	voix	moins	parent	femme	beau	parler	tête	diable	ici	jeune	cher	coucher	bonheur	effet	aimer	genre	cruel	chevalier	plaire	raison	donner	toujours	nuit	temps	cruel	femme	foi	droit	paraître	lettrer	moins	mettre	mettre	conduire	taciturne
13	général	occuper	jeune	mère	sen|sens	charmant	grand	amitié	assez	petit	jamais	regarder	chien	paraître	prière	jour	entrer	peine	lorsqu	chère	écrire	voir	joli	connaître	mal	cependant	ignorer	couvrir	bon	âme	branler	sage	sujet	passer	partir	amitié	devenir	petit	femme	sultane
14	île	mouvement	armée	donner	partie	blanc	rester	maitresse	tant	mariage	monde	tenir	table	regarder	ciel	toujours	donner	secours	cependant	toujours	beau	vie	encore	personne	mieux	jour	apprendre	air	plaisir	cher	beau	vrai	empire	tomber	parler	connaître	encore	riche	maison	souverain
15	terre	imagination	guerrier	là	physique	berger|bergère	cependant	désir	flatter	aimer	air	voix	tête	comment	bon	encore	lendemain	souffrir	vue	amitié	talent	commettre	moins	souvent	soin	personne	quitter	ciel	village	héler	jeune	principe	trône	souterrain	cœur	oser	refuser	vendre	gens	répondre
16	partir	doux	défendre	voilà	là	dieu	peine	heureux	désir	grand	beaucoup	visage	gros	jeune	révérend	désir	attendre	jour	occasion	beaucoup	goût	criminel	part	gens	vie	heure	projet	lieu	lieu	désespoir	libertin	âme	vertu	voix	aimer	bonheur	attendre	acheter	monter	majesté
17	voyage	vif	épée	vieux	esprit	grâce	devenir	main	effet	donner	toujours	larme	comment	là	ange	beau	maison	seul	intérêt	encore	français	main	cependant	beaucoup	éducation	charmant	voir	pied	paysan	affreux	fesse	lumière	guerre	frapper	donner	voir	état	grand	passer	trône
18	turc	regard	courage	cœur	grand	main	laisser	permettre	beaucoup	fil|fils	encore	baiser	coup	encore	ermite	œil	petit	donner	assurer	heureux	génie	venger	honneur	donner	seul	point	attendre	apercevoir	point	dieu	baiser	croire	gloire	lumière	réponse	craindre	donner	franc	voir	sultan
19	esclave	chercher	main	larme	principe	amour	donner	engager	craindre	cousin	tête	mouvement	servir	jamais	prier	jamais	tante	monde	assez	cependant	lecture	dieu	déjà	grand	connaître	cour	croire	forêt	fruit	vivre	joli	fil|fils	pays	coup	billet	mériter	mieux	écu	ville	esclave
20	recevoir	impression	victoire	âge	exister	sourire	bientôt	mariage	toujours	famille	mal	entendre	tirer	écrier	compère	sentiment	dormir	âme	mettre	entendre	siècle	victime	chapitre	grâce	propre	jamais	amour	bois	agréable	encore	foi|fois	erreur	état	là	jamais	honneur	croire	gagner	courir	génie
21	bord	réflexion	tête	connaître	âme	joli	foi|fois	peine	façon	jour	moins	instant	pauvre	pourquoi	religion	goûter	demander	misère	autant	bonheur	portrait	fureur	coup	devenir	besoin	manière	craindre	sembler	champ	voir	enculer	donner	politique	sortir	toujours	sentir	obtenir	moi|mois	descendre	donner
22	envoyer	passion	camp	parler	matière	cheveu	alors	jenny	douter	pauvre	tenir	alors	pied	personne	dévot	sentir	appartement	voir	secret	vie	comédie	horrible	tour	âge	sentir	beaucoup	ainsi	vue	habitant	fille	homme	bon	ministre	main	hier	encore	sûr	jour	demander	sujet
23	ordre	éloigner	porter	tendresse	individu	sembler	vie	aimable	cependant	épouser	assez	saisir	haut	puis	religieuse	félicité	lever	recevoir	sujet	grand	point	sauver	baiser	beauté	leçon	jeune	fuir	milieu	ici	pleur|pleurs	gros	grand	république	bruit	chère	oublier	alors	fort	mettre	oie
24	gouverneur	apercevoir	prince	nom	devenir	donner	revenir	répéter	doute	ami	penser	regard	garçon	doute	habit	point	rester	cœur	ordre	sentiment	parler	barbare	doute	ridicule	nature	temps	encore	là	arbre	pleurer	voir	opinion	chef	tête	amitié	droit	employer	recevoir	coup	maître
25	jour	seul	héro|héros	revenir	jamais	son	assez	assurer	désirer	marier	tant	presser	vieux	donner	monde	objet	revenir	servir	instruire	occuper	spectacle	innocent	monseigneur	talent	exemple	assurer	devenir	haut	habiter	seul	coup	chrétien	régner	espèce	encore	puis	tenir	pauvre	heure	sire
26	côte	crainte	général	docteur	seul	jour	seul	lettre	jamais	saint	joli	coup	homme	sortir	pieux	feu	voir	reconnaissance	soin	plaisir	jouer	ciel	tant	paraître	naturel	toujours	cependant	vaste	voisin	ami	cuisse	éclairer	nom	noir	remettre	raison	droit	demander	porte	monseigneur
27	nadir	parler	bataille	francisque	différent	fête	état	personne	égard	parler	plaisir	parole	jambe	parole	frère	délicieux	souper	devenir	témoigner	souvent	public	innocence	rire	toujours	maître	moment	retrouver	autour	seul	sein	ange	préjugé	cour	fermer	présent	digne	réussir	marchand	entrer	royaume
28	voile	trouble	brave	jour	comment	porter	croire	tendresse	permettre	parent|parents	homme	reprendre	encore	interrompre	maison	tendresse	entendre	tant	vif	esprit	gens	justice	bientôt	figure	vrai	connaître	effet	ombre	occuper	infortuné	garçon	idée	élever	œil	temps	toujours	agir	compter	château	courtisan
29	chef	livrer	attaquer	pauvre	moins	paraître	déjà	époux	grand	ici	mettre	mettre	morceau	penser	chapelle	adorer	laisser	pauvre	confiance	idée	scène	encore	mot	vivre	ainsi	portail	moyen	feu	année	œil	évêque	mal	liberté	descendre	combien	heureux	accorder	prix	revenir	servir
30	troupe	peine	suivre	ici	donner	léger	paraître	nom	sentir	mettre	plaire	sortir	jour	vivre	abbé	vie	dîner	courage	service	cher	vérité	infâme	comment	sexe	utile	histoire	rester	nuage	simple	arracher	téton	sagesse	ambition	feu	attendre	tromper	consentir	rente	jeune	grue
31	vent	triste	vaincre	ainsi	humain	entendre	sentir	cher	idée	maman	grand	asseoir	animal	foi|fois	prieur	joie	arriver	toujours	charger	temps	acteur	coup	aventure	agrément	grand	beau	épouse	fleuve	passer	laisser	bander	divinité	mœurs	haut	désirer	tendresse	opposer	cinquante	dame	vizir
32	fort	long	honneur	mourir	fort	chant	quitter	cœur	raison	maison	jouer	approcher	corps	écouter	cellule	nouveau	maître|maîtresse	plaindre	dessein	personne	lire|liser	juge	chère	ton	encore	recevoir	cacher	descendre	vivre	malheur	langue	éternel	paix	bout	demander	faiblesse	décider	nom	rencontrer	paraître
33	mort	passer	vainqueur	bras	produire	taille	presque	quitter	mettre	embrasser	mauvais	serrer	tuer	laisser	personne	nature	quitter	naître	présenter	passer	hui	devenir	saint	agréable	état	conter	près	chemin	vieillard	perdre	placer	seul	nombre	bientôt	ici	plaindre	promettre	service	lieue	envoyer
34	tenir	inquiétude	recevoir	bonheur	manière	côté	chercher	égard	prouver	voilà	gens	arrêter	bas	question	messe	transport	table	porter	circonstance	peine	musique	prison	maître|maîtresse	fortune	tenir	croire	maison	œil	gens	mère	puis	culte	porter	milieu	voilà	aveu	assurer	dépense	attendre	autruche
35	persan	penser	valeur	promettre	système	regard	lieu	attendre	laisser	personne	entendre	répondre	nez	air	dévotion	beauté	ouvrir	soin	engager	jamais	lecteur	oser	nouveau	air	gens	vif	perdre	plaine	famille	instant	sucer	juste	sage	placer	espérer	pardonner	ordre	beaucoup	auberge	ministre
36	français	souvent	chef	vertueux	voir	éclat	commencer	bonté	sembler	regarder	amuser	bouche	enfant	nom	cérémonie	pur	prier	famille	propre	fort	poète	odieux	suite	honnête	élève	mari	malheureux	rayon	heureux	peine	donner	chose	monarque	nuit	dernier	perdre	engager	cent	chercher	air
37	régiment	inspirer	fil|fils	histoire	moral	placer	partir	sancerre	combien	aîné	passer	embrasser	porter	voix	beau	seul	moment	mort	motif	st	peindre	remords	foi|fois	naturel	penser	alors	ici	loin	cultiver	bras	volupté	terre	puissance	fenêtre	arriver	tendre	répondre	état	reconnaître	esprit
