	id	Ranked topics
0	Abbes_Voyage	[(0.1818870264729884, 29), (0.0797412109750137, 18), (0.0668240006527, 3), (0.0620545092180252, 4), (0.0571380092525635, 11), (0.0567248923840565, 28), (0.0555855037163135, 17), (0.0518123193512701, 6), (0.0388732653742445, 24), (0.0359394646331409, 20)]
1	AndreSerieys_Comte	[(0.1034514358646791, 22), (0.0833884002622107, 15), (0.0745571919719032, 26), (0.0651728721876802, 3), (0.0587255215944575, 7), (0.0509897461380293, 11), (0.0504280956582034, 9), (0.0436200491953159, 6), (0.0365230010859042, 19), (0.0338677800629709, 17)]
2	Anonym_Enfant	[(0.1378690386757471, 7), (0.0911195831980324, 1), (0.0814707638870276, 4), (0.0689557007757, 22), (0.0670674059420341, 10), (0.0634820399206913, 25), (0.0545198044674435, 9), (0.0454587634779312, 19), (0.0393075318352967, 11), (0.0282242823723993, 26)]
3	Anonym_Histoire	[(0.1618617527914745, 20), (0.1000169704717556, 22), (0.0656278124250984, 3), (0.0558042650960955, 23), (0.0511635300135544, 28), (0.0486906316904382, 6), (0.0458435974962375, 11), (0.0397746364150937, 16), (0.0380123041293126, 18), (0.0369579669797731, 2)]
4	Anonym_Suzon	[(0.1056084489309003, 22), (0.0734099073008127, 7), (0.0561240973081256, 11), (0.0555715465518441, 18), (0.0545729012847904, 28), (0.0508892060886084, 1), (0.0507647949368207, 15), (0.0433512656728795, 10), (0.0431695932290184, 4), (0.0370653143345543, 26)]
5	Anonyme_Venus	[(0.1234254863434769, 25), (0.1082276245337064, 7), (0.0738019317969727, 1), (0.0692197984706, 4), (0.0659645830731229, 10), (0.0528123823283507, 22), (0.0491638269478609, 28), (0.0356911500177917, 18), (0.0295185659709008, 15), (0.0289354971559592, 17)]
6	Anonyme_Zoloe	[(0.1205891764879158, 25), (0.0867198981800034, 9), (0.0792317554559568, 4), (0.0779657233996804, 10), (0.0447661958297058, 6), (0.0445267332816441, 16), (0.041464246115112, 28), (0.0399225542363037, 0), (0.0397801954740993, 17), (0.0375635049539665, 22)]
7	Arnaud_Adelson	[(0.2013643803130504, 14), (0.1585977733611681, 16), (0.0822692961576204, 0), (0.0821811195232305, 10), (0.0753810832216931, 2), (0.065499634274091, 22), (0.0402302178022362, 17), (0.0375916374606545, 9), (0.0330435147293957, 11), (0.0308124630601403, 5)]
8	Arnaud_Anne	[(0.2913416372657103, 14), (0.1045991534432086, 5), (0.1019443196664797, 16), (0.0777350838220035, 2), (0.056066063529467, 0), (0.0506288997734813, 10), (0.0466386019045643, 11), (0.0403616909600191, 22), (0.0280230180072183, 17), (0.0221776866715497, 28)]
9	Arnaud_Bal	[(0.1665931272426069, 10), (0.1145042349015944, 28), (0.1063720668740112, 2), (0.097428566101739, 14), (0.0669757615235313, 7), (0.0564019267098475, 22), (0.05639979168567, 17), (0.0305476780550782, 4), (0.028102577072229, 25), (0.0261581503757997, 16)]
10	Arnaud_Batilde	[(0.2306381042667862, 14), (0.2127655518016284, 2), (0.0699232766577393, 16), (0.0684033335224132, 10), (0.0599929175969857, 12), (0.0539893139306767, 6), (0.0492522800149191, 22), (0.0453783793428472, 17), (0.0386385582798443, 5), (0.0345323075607132, 11)]
11	Arnaud_Clary	[(0.1833414356483685, 14), (0.1312066714506221, 2), (0.1065208133609866, 16), (0.0676798483316898, 0), (0.0657874884498072, 5), (0.0590260947028354, 10), (0.0407658500831804, 11), (0.0332994853269597, 17), (0.0283869038339293, 9), (0.0277036402367974, 7)]
12	Arnaud_Epoux	[(0.2431531525190176, 14), (0.1549399984376674, 2), (0.0699242799851946, 10), (0.0625474943045053, 16), (0.0581150498517983, 22), (0.0566936247904862, 5), (0.0527958712534803, 11), (0.0447393246903051, 0), (0.036566609391639, 17), (0.0241096143356638, 20)]
13	Arnaud_Fanny	[(0.1844864011881589, 14), (0.1283947989532871, 16), (0.0960398980966848, 5), (0.0869465875886579, 0), (0.0811895677001286, 2), (0.0524068822906202, 10), (0.0400911900444784, 17), (0.0391452377123841, 28), (0.0238112162385992, 7), (0.0229087076257398, 19)]
