	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
0	crime	foutre	aimer	terre	beau	père	peuple	heure	sœur	coup	amour	jour	roi	comte	larme	argent	point	voir	enfant	homme	homme	lettre	temps	saint	croire	bon	maître	voir	femme	livre
1	homme	fille	cœur	arbre	œil	fille	homme	chambre	bon	voir	cœur	temps	prince	marquise	œil	homme	milord	répondre	point	voir	nature	écrire	paraître	dieu	moins	petit	manger	ami	homme	auteur
2	malheureux	cul	amour	montagne	air	mère	grand	porte	voir	tomber	plaisir	vie	princesse	chevalier	cœur	maison	cœur	parler	toujours	ami	raison	ami	mettre	père	encore	voir	grand	parler	esprit	ouvrage
3	coupable	con	point	eau	jeune	fil|fils	loi	sortir	frère	main	aimer	voir	ennemi	marquis	bras	fortune	ami	entendre	homme	là	dieu	cher	donner	grand	paraître	là	petit	croire	monde	lire
4	horreur	là	jamais	mer	petit	enfant	roi	entrer	petit	cri	doux	encore	arme	duc	main	payer	sentiment	œil	voir	jeune	loi	adieu	laisser	religion	chose	beau	là	point	mari	esprit
5	mort	mettre	sentiment	soleil	paraître	jeune	prince	lit	beau	œil	bonheur	vivre	troupe	duchesse	douleur	donner	miss	mot	donner	ici	point	voir	jour	religieux	point	fort	mettre	chose	croire	grand
6	voir	décharger	croire	bord	main	famille	vertu	femme	cher	tête	heureux	état	grand	vicomte	point	grand	amitié	croire	jamais	connaître	esprit	recevoir	moyen	église	temps	encore	homme	toujours	jeune	histoire
7	punir	plaisir	ami	voir	chanter	donner	citoyen	passer	cousin	jeter	amant	mal	donner	baron	ciel	gens	fortune	demander	moins	partir	chose	lire	nouveau	prêtre	voir	dame	bon	moment	plaisir	art
8	cruel	bouche	seul	nature	voir	époux	nation	nuit	là	corps	âme	peine	soldat	grand	malheureux	riche	mylord	reprendre	bon	revenir	vérité	mère	part	point	assez	rire	boire	encore	beau	pièce
9	affreux	vit	vertu	lieu	joli	jour	gouvernement	mettre	aimer	pied	œil	malheur	palais	baron|baronne	dieu	pauvre	heureux	main	apprendre	voilà	âme	croire	moins	curé	autant	mettre	vin	hui	jamais	théâtre
10	devenir	femme	âme	bois	grand	mariage	patrie	maison	ami	entendre	tendre	sentir	cour	prince	vie	bon	personne	regarder	âge	route	idée	jour	projet	ciel	tant	moins	donner	aujourd	goût	roman
11	vengeance	duc	moins	fleur	donner	homme	souverain	arriver	fille	frapper	charme	seul	peuple	moi|mois	âme	honnête	paraître	homme	soin	jour	humain	puis	fort	chrétien	penser	assez	point	aimer	personne	genre
12	jamais	petit	encore	vent	table	frère	sujet	soir	tante	voix	voir	perdre	combat	connaître	voir	somme	reconnaissance	air	mieux	arriver	seul	envoyer	assurer	couvent	donner	ci	eau	beaucoup	plaire	écrire
13	monstre	beau	connaître	là	figure	épouse	droit	entendre	mère	paraître	beau	long	reine	cependant	moment	mettre	objet	paraître	petit	point	principe	parler	attendre	supérieur	jamais	abbé	chien	penser	point	talent
14	sang	voir	bonheur	berger	beauté	femme	gloire	coucher	voilà	apercevoir	encore	passer	guerre	jour	mort	ville	peine	écrier	besoin	château	donner	partir	ordre	moine	aimer	voilà	tête	entendre	caractère	génie
15	scélérat	foi|fois	passion	petit	placer	épouser	état	attendre	jeune	feu	désir	douleur	général	jamais	dernier	affaire	bonheur	encore	chose	bon	mal	lettrer	effet	monde	grand	cher	pain	ange	moins	lecture
16	vie	branler	voir	rocher	couleur	âge	empire	donner	ici	sang	jouir	heureux	ville	château	mourir	jour	désir	parole	encore	suivre	vertu	réponse	passer	prière	beaucoup	coup	diable	plaisir	bon	siècle
