	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
0	temps	terre	point	père	femme	main	voir	beau	foutre	ennemi	lettre	livre	larme	moins	homme	saint	roi	comte	femme	père	mort	heure	marquise	homme	homme	argent	milord	petit	amour	ami
1	jour	mer	croire	homme	homme	œil	paraître	fleur	cul	arme	ami	lire	cœur	croire	loi	dieu	prince	chevalier	jamais	mère	crime	chambre	comte	dieu	enfant	homme	point	maître	cœur	voir
2	paraître	eau	aimer	ami	beau	voir	cher	œil	fille	troupe	écrire	ouvrage	point	encore	vertu	père	peuple	grand	fille	fille	homme	voir	marquis	nature	point	payer	miss	là	aimer	parler
3	mettre	montagne	cœur	voir	voir	entendre	ami	doux	con	soldat	voir	auteur	vie	point	peuple	grand	princesse	duc	homme	enfant	malheureux	passer	bon	raison	toujours	donner	mylord	grand	bonheur	croire
4	donner	voir	amour	fil|fils	monde	bras	temps	jour	décharger	combat	cher	esprit	douleur	paraître	etamp	point	grand	personne	devenir	fil|fils	sang	arriver	petit	vérité	voir	bon	ami	bon	âme	point
5	nouveau	grand	jamais	jeune	air	voix	jeune	voir	mettre	ville	croire	grand	jour	fée	grand	religieux	cour	jeune	servir	sœur	horreur	maison	chevalier	point	moins	fortune	lady	mettre	plaisir	toujours
6	cependant	vent	voir	connaître	bon	moment	beau	jeune	là	armer	aimer	histoire	malheureux	temps	point	église	palais	paraître	là	jeune	vie	demander	cher	religion	donner	pauvre	cœur	manger	sentiment	moment
7	laisser	arbre	moins	là	chose	mot	œil	plaisir	petit	coup	adieu	roman	âme	voir	société	supérieur	trône	jour	instant	frère	coup	sortir	beau	esprit	jamais	riche	comte	voilà	heureux	encore
8	moyen	bord	seul	baron	parler	regarder	répondre	chanter	vit	capitaine	puis	écrire	seul	autant	mœurs	religion	reine	parler	crime	femme	affreux	nuit	encore	idée	bon	gens	lord	tête	doux	aimer
9	assez	petit	vertu	ici	jeune	lever	nouveau	encore	plaisir	général	encore	pièce	mourir	donner	vice	prêtre	souverain	jamais	voilà	voir	monstre	femme	ami	âme	apprendre	maison	lettre	vin	tendre	penser
10	passer	vaisseau	oser	malheur	croire	répondre	grand	rose	bouche	cheval	jour	art	mort	tant	citoyen	moine	sujet	duchesse	moins	bon	fureur	porte	ci	chose	chose	grand	fortune	donner	passion	temps
11	moins	soleil	connaître	jour	beaucoup	porte	donner	air	duc	officier	parler	talent	ami	penser	droit	compère	monarque	donner	voir	mariage	mourir	mettre	fort	loi	mal	livre	amitié	comment	charme	chose
12	attendre	lieu	encore	voilà	assez	tête	personne	amour	beau	donner	donner	lecture	vivre	désir	gouvernement	curé	gloire	temps	toujours	famille	voir	entrer	là	humain	raison	somme	parler	homme	sentir	peine
13	état	milieu	ami	apprendre	plaisir	jeter	sentimens	beauté	branler	brave	ici	beau	encore	femme	nation	bon	dieu	connaître	mieux	donner	vengeance	jour	moins	donner	vie	vendre	sir	boire	amant	entendre
14	seul	pied	sentiment	enfant	fort	écrier	princesse	berger	fesse	guerre	bon	goût	ciel	grand	patrie	abbé	voir	cependant	seul	mari	dieu	partir	mettre	monde	mieux	ville	heureux	rire	œil	cependant
15	apprendre	rocher	craindre	doute	point	parler	adélaïde	jardin	baiser	épée	cousin	genre	dernier	amour	intérêt	répondre	beau	moi|mois	chose	cher	sauver	soir	dame	corps	âge	honnête	parent	diable	objet	heureux
16	part	là	mériter	docteur	petit	tomber	chère	nouveau	femme	armée	recevoir	tableau	malheur	beaucoup	état	prière	empire	recevoir	nature	beau	tomber	répondre	abbé	principe	sentir	mettre	oncle	beau	désir	ange
17	soin	air	honneur	revenir	esprit	sortir	écrier	lieu	joli	combattre	lire	théâtre	voir	façon	nature	révérend	ministre	château	encore	jour	cruel	donner	comment	croire	soin	jour	sentiment	eau	jour	jour
18	encore	élever	droit	temps	là	croire	amant	couleur	foi|fois	camp	toujours	musique	père	flatter	humanité	monde	esclave	heure	imaginer	parent|parents	main	lendemain	cependant	grand	grand	terre	tendre	encore	toujours	beaucoup
19	effet	temps	tromper	secret	donner	paraître	apprendre	main	donner	porter	chose	portrait	héler	jamais	heureux	prier	demander	répondre	vertu	épouser	cri	voiture	joli	sen|sens	seul	point	désir	gros	jouir	vie
20	fort	île	parler	vieillard	joli	apercevoir	reprendre	oiseau	voir	tête	voilà	parler	jamais	aimer	liberté	chrétien	répondre	éprouver	plaisir	homme	coupable	attendre	assez	lumière	état	travail	peine	coup	encore	jamais
21	projet	apercevoir	raison	point	plaire	instant	bras	berger|bergère	enculer	attaquer	là	français	cruel	toujours	humain	couvent	fil|fils	voir	agir	petit	punir	matin	heure	mal	connaître	affaire	recevoir	pied	tendresse	amitié
22	connaître	route	puis	donner	mari	encore	beaucoup	donner	cuisse	bataille	cœur	génie	dieu	douter	toujours	dévot	maître	parole	moyen	aimer	horrible	revenir	moment	seul	besoin	petit	personne	chien	vertu	plaisir
23	moment	tour	homme	parler	paraître	air	petit	blanc	coup	chef	chère	vérité	œil	assez	politique	jour	seigneur	seul	pourtant	parler	prison	lit	coup	vrai	ainsi	année	objet	fort	jamais	laisser
24	ordre	pays	laisser	nom	personne	entrer	doute	charmant	ange	guerrier	lettrer	spectacle	affreux	craindre	sage	ciel	royaume	sentiment	foi|fois	marier	encore	bon	tour	univers	propre	pays	soin	tenir	seul	occuper
25	parti	bois	donner	seul	rire	sentir	comment	sembler	gros	ordre	jamais	voir	cher	là	nombre	demander	empereur	alors	offrir	nom	fer	laisser	laisser	fil|fils	encore	gagner	temps	chose	vie	chère
26	recevoir	chemin	secret	toujours	jamais	reprendre	vivre	heureux	jeune	courage	sœur	jouer	peine	taciturne	utile	prieur	majesté	vicomte	état	regarder	jeter	cheval	doute	matière	goût	prix	paraître	voir	éprouver	père
27	lieu	vue	demander	ainsi	gens	pied	reconnaître	nature	homme	suivre	hier	comédie	moment	sentir	richesse	homme	guerre	nom	permettre	maison	supplice	petit	part	exister	lieu	écu	montrer	mieux	devenir	chercher
28	croire	autour	répondre	francisque	grâce	tenir	homme	amant	libertin	grand	tant	temps	pleur|pleurs	effet	guerre	parler	donner	détail	sûr	demander	rage	grand	déjà	animal	nature	besoin	idée	pain	idée	passer
29	assurer	couvrir	assez	infortuné	aimable	passer	long	dieu	évêque	main	présent	public	sein	répondre	principe	juif	jeune	point	jeune	embrasser	victime	rester	chapitre	divinité	peine	travailler	main	mal	temps	aujourd
30	point	vaste	perdre	près	toujours	mouvement	bientôt	arbre	puis	victoire	envoyer	gens	infortuné	sultane	élever	mourir	temple	toujours	impossible	âge	scélérat	coucher	voir	effet	naturel	acheter	mouvement	jour	vif	souvent
31	craindre	ville	passion	ignorer	moins	visage	apercevoir	agréable	langue	corps	petit	siècle	désespoir	laisser	pays	beau	main	effet	doute	époux	barbare	monter	baiser	foi	gens	service	fille	tirer	nouveau	esprit
32	dessein	forêt	plaindre	grand	jouer	genou	conduire	couvrir	bander	honneur	partir	nom	bras	combien	exemple	personne	couronne	mot	créature	épouse	périr	quitter	mot	être|êtres	esprit	franc	cher	table	voir	idée
33	suivre	haut	pardonner	bonheur	répondre	foi|fois	recevoir	voix	téton	côté	maman	lire|liser	perdre	doute	nom	cellule	conseil	reprendre	mal	grand	ciel	tante	interrompre	sage	temps	vivre	donner	vieux	connaître	paraître
34	long	loin	coupable	puis	grand	alors	ciel	toujours	garçon	arriver	penser	peindre	pleurer	long	ambition	pieux	nom	prince	tenir	mettre	arracher	là	surtout	éclairer	maître	moi|mois	chagrin	servir	sembler	bonheur
35	promettre	nuit	doute	rencontrer	ton	ouvrir	dame	quitter	sucer	défendre	pourtant	lecteur	état	inspirer	porter	religieuse	paix	lorsqu	laisser	heureux	venger	encore	portail	ordre	monde	famille	assurer	pauvre	goûter	monde
36	lorsqu	nature	sentir	maître	mieux	frapper	cependant	fête	main	recevoir	mieux	petit	sort	ignorer	esprit	frère	héro|héros	secret	croire	personne	terrible	maître|maîtresse	voilà	encore	mettre	nouveau	engager	foi|fois	instant	foi|fois
37	peine	passer	conduite	château	aimer	coup	abord	bois	vivre	fil|fils	mal	langue	quitter	sembler	devenir	dévotion	nation	manière	ci	pauvre	malheur	paraître	heureux	système	vivre	recevoir	permettre	bas	inspirer	vivre
38	engager	encore	faute	chaumière	tête	laisser	foiblesse	cheveu	soir	commander	foi|fois	point	laisser	égard	particulier	messe	terre	moment	exiger	cœur	écrier	homme	près	philosophe	éducation	état	chère	point	moment	grand
39	servir	marcher	penser	frère	connaître	demander	auprès	grâce	ainsi	mettre	temps	connaître	mal	foi|fois	république	jésuite	élever	extrême	jouir	saint	œil	entendre	honneur	erreur	exemple	perdre	marquis	haut	beauté	hui
40	occasion	côté	vrai	quitter	amuser	approcher	habit	soleil	tenir	blessure	réponse	encore	rester	ailleurs	préjugé	ainsi	nouveau	inspirer	manière	main	infâme	fort	nouveau	penser	tenir	cent	aimable	temps	beau	quelquefois
41	vue	feu	aveu	moment	œil	regard	part	feu	doigt	milieu	prier	ancien	toujours	idée	art	hermite	recevoir	beaucoup	placer	vivre	criminel	appartement	bientôt	prouver	beaucoup	vie	répéter	jambe	naître	donner
42	déjà	endroit	amitié	maison	penser	silence	bon	art	trou	place	attendre	italien	arracher	chercher	vertueux	entendre	indien	cour	alors	larme	frapper	temps	ici	connaître	servir	procurer	bonté	nez	félicité	personne
43	ignorer	arriver	avouer	suivre	tant	peine	pareil	campagne	vieux	valeur	arriver	poète	main	sentiment	chef	pape	joie	réconnaissance	saint	oncle	porter	conduire	rire	différent	leçon	charger	attacher	bête	cher	revenir
44	intérêt	partie	tort	femme	goût	saisir	entrer	troupeau	fouetter	avancer	billet	acteur	abandonner	plaire	siècle	cérémonie	régner	histoire	malheureux	répondre	pied	dîner	mieux	mouvement	commencer	demander	jamais	toujours	foi|fois	fort
45	partir	sembler	reproche	partir	ridicule	lit	sexe	loin	duclos	garde	tenir	personnage	instant	raison	public	reprendre	état	conduire	oser	joie	juge	gens	charmant	terre	presque	rente	pourquoi	pourquoi	livrer	demander
46	employer	ciel	abuser	vieux	dame	asseoir	gens	délicieux	derrière	déjà	heure	titre	souffrir	vanité	autorité	nom	servir	ainsi	près	aîné	arrêter	souper	foi|fois	opinion	tant	commerce	souvenir	main	pur	maison
47	ajouter	lumière	femme	nouveau	mettre	sembler	suite	aimer	ami	nouveau	amitié	peintre	apprendre	mettre	donner	livre	ennemi	baron	président	bonheur	infortuné	fille	ailleurs	bon	naître	dépense	écrire	mauvais	sen|sens	femme
48	autant	pierre	comment	personne	propos	rester	croire	point	décharge	vaincre	dieu	héro|héros	tendre	prouver	luxe	vie	sang	dernier	main	ici	furieux	prier	tant	pourquoi	effet	cinquante	bonheur	animal	aimable	sembler
49	offrir	habiter	exiger	encore	passer	mettre	coup	offrir	chier	jour	comment	scène	accabler	fort	gloire	chose	inca	vif	désir	digne	bras	personne	aventure	chrétien	laisser	misère	exciter	puis	douceur	mal
