	id	Ranked topics
0	Abbes_Voyage	[(0.1796289938163975, 16), (0.0884534719646982, 4), (0.0858496544323302, 20), (0.0692786830300115, 9), (0.0601177459108908, 23), (0.0563597016089285, 24), (0.0547638030337255, 5), (0.05272209585242, 1), (0.0519527064975881, 13), (0.0429527094803268, 14)]
1	AndreSerieys_Comte	[(0.1896638357682938, 1), (0.076936789487528, 15), (0.0744845814810591, 11), (0.0655553502718989, 5), (0.0604038289626541, 24), (0.0574481312341589, 9), (0.0522262899579263, 21), (0.0359587186170538, 18), (0.0344713488933644, 13), (0.0318311931813105, 20)]
2	Anonym_Enfant	[(0.1291437959574833, 15), (0.107063579690019, 9), (0.0887523002274925, 10), (0.0810222247207631, 1), (0.0772161030888738, 22), (0.0727431776612511, 14), (0.0566801610482947, 11), (0.0475043309567378, 13), (0.045125990058563, 18), (0.0336157904637601, 4)]
3	Anonym_Histoire	[(0.1849300663020853, 23), (0.1025976285851407, 11), (0.0771616288558971, 5), (0.0541873169991631, 1), (0.0534273816009451, 19), (0.0514941131571604, 24), (0.0501692871720761, 13), (0.0481255402032624, 8), (0.0381907393163005, 4), (0.0332290627846829, 21)]
4	Anonym_Suzon	[(0.099604627545725, 11), (0.0732359768231044, 18), (0.0686529206774592, 15), (0.0668122681190322, 24), (0.0583435279716357, 4), (0.0549737860411481, 9), (0.0548642907019897, 10), (0.0518131578280065, 1), (0.0509822791657122, 19), (0.0475593838402299, 13)]
5	Anonyme_Venus	[(0.1396099602893322, 22), (0.0815438550683014, 10), (0.0788931989888569, 15), (0.0682186282104085, 14), (0.0669801557020301, 4), (0.0649159871934419, 1), (0.0624596490285598, 9), (0.0599911521941224, 11), (0.0462535032086539, 20), (0.0393180326119206, 18)]
6	Anonyme_Zoloe	[(0.1426687384478827, 22), (0.102599989064527, 14), (0.0803808765410531, 9), (0.0618557697492832, 21), (0.0573816729576264, 12), (0.0526740245268257, 4), (0.051483041230735, 11), (0.0488574863466342, 15), (0.0473188692904277, 13), (0.0464878499555699, 16)]
7	Arnaud_Adelson	[(0.1942762178846361, 21), (0.1896084034807098, 6), (0.1046437849921575, 13), (0.0864706591217564, 9), (0.0790967158620472, 19), (0.0537084715207997, 11), (0.0528163008757266, 12), (0.0373172640050572, 17), (0.0321242036709715, 1), (0.0268389002777579, 14)]
8	Arnaud_Anne	[(0.2532882808213744, 21), (0.1825294762687239, 6), (0.1171298169484677, 17), (0.0659945728508063, 13), (0.0555783128718033, 9), (0.0492385100208348, 19), (0.0475893175454087, 24), (0.0364853335163354, 11), (0.0355051099300626, 12), (0.0297346385379099, 4)]
9	Arnaud_Bal	[(0.190629010957273, 6), (0.1281409977550578, 4), (0.0913434708300648, 9), (0.0762055117737831, 19), (0.0659485208291513, 14), (0.0554095022972386, 13), (0.0523728392791833, 11), (0.0518788021625663, 21), (0.0358073902425863, 22), (0.0353846304754683, 20)]
10	Arnaud_Batilde	[(0.3609969247283117, 6), (0.110058716121799, 0), (0.1087548284218108, 21), (0.0918763234437929, 9), (0.0794807285237739, 13), (0.0489247599454019, 17), (0.0483005972806758, 11), (0.0216989446971125, 23), (0.0189817225848036, 14), (0.0134949620754224, 12)]
11	Arnaud_Clary	[(0.2262529536178338, 6), (0.1421448913736525, 21), (0.0750248569405786, 9), (0.0729297163135036, 13), (0.0702294826721062, 17), (0.06266268746076, 12), (0.049023584943672, 24), (0.0322650745189085, 14), (0.0301328048623587, 11), (0.0299448513734285, 4)]
12	Arnaud_Epoux	[(0.2752440236478453, 6), (0.190579077881702, 21), (0.090977306924137, 13), (0.0679111896935512, 17), (0.0637550090809534, 11), (0.0632830178765433, 9), (0.0277264261405903, 24), (0.0250479148641646, 12), (0.0240083561949665, 4), (0.0228336426644764, 18)]
13	Arnaud_Fanny	[(0.1854651595455204, 6), (0.1430684620236201, 21), (0.1175262502688805, 17), (0.0781848295151277, 12), (0.0660128586539769, 19), (0.0560696794904412, 9), (0.0506845838741428, 13), (0.0454191976113338, 24), (0.0425558128602284, 4), (0.0253188071867558, 11)]
14	Arnaud_Julie	[(0.1659732676735116, 21), (0.1554225094456305, 6), (0.117317605453464, 4), (0.0789737231374105, 13), (0.0768561492639119, 17), (0.0623858583082095, 9), (0.0474145519691401, 12), (0.0445572399797415, 23), (0.0442301077683873, 24), (0.0383418693542597, 11)]
15	Arnaud_Lucie	[(0.3419316738472941, 6), (0.2351000922208719, 21), (0.0888155603233152, 2), (0.062574823224416, 13), (0.0429849097687408, 9), (0.0406134135794567, 17), (0.0389297893736248, 11), (0.0371146452956351, 3), (0.0163648841280158, 4), (0.0151198295359519, 23)]
16	Arnaud_Matinees	[(0.2175337998986418, 6), (0.157675849063299, 19), (0.1036916830324399, 11), (0.0858373186666059, 13), (0.08442234278244, 21), (0.0571968903985152, 9), (0.044572454888076, 17), (0.042142621580364, 4), (0.0321271250681516, 24), (0.0259908675100021, 23)]
17	Arnaud_Nancy	[(0.1679503208038445, 6), (0.1471518216027116, 21), (0.108364556838883, 17), (0.0881439770960954, 9), (0.0833131386061004, 11), (0.0821207293942546, 4), (0.0450041642651193, 13), (0.0442994571132141, 12), (0.0261263092000736, 18), (0.0255767633695167, 23)]
18	Arnaud_Sargines	[(0.1235270383569692, 6), (0.1142746074236846, 3), (0.1085537590487353, 0), (0.0950219155243614, 13), (0.0721786944396668, 9), (0.0596276811671869, 17), (0.0524912492454548, 21), (0.0510401578906188, 4), (0.0405049374562643, 14), (0.0404805736933406, 11)]
19	Arnaud_Selicourt	[(0.3516460548611072, 6), (0.1041186083861632, 13), (0.0979846439936053, 21), (0.0836950416542554, 9), (0.0747704750435391, 3), (0.0568924178382591, 11), (0.0346765592984175, 4), (0.0337695024094162, 23), (0.0248146565495022, 18), (0.0225765356962016, 20)]
20	Arnaud_Sidney	[(0.1979581097742744, 6), (0.1900230549472601, 21), (0.0946667090445902, 13), (0.087249445239473, 17), (0.0686891520528617, 24), (0.0446056419502611, 23), (0.0397714944346352, 9), (0.0337754780526364, 1), (0.0318448631124509, 16), (0.0303739284860323, 4)]
21	Arnaud_Zenothemis	[(0.2875725154156128, 6), (0.1197134005270881, 21), (0.068422211419241, 12), (0.0665242471375804, 17), (0.0591282368029038, 9), (0.0568212048635603, 23), (0.0561878668306834, 13), (0.0522196182790572, 0), (0.0444925841848654, 24), (0.043919785432499, 11)]
22	BarbeMarbois_Parisienne	[(0.1514307400796039, 4), (0.0920381704981155, 14), (0.0701215601787486, 13), (0.0696608720790442, 11), (0.0616626527963872, 20), (0.0584314688956727, 9), (0.0564829497322858, 18), (0.0506324693176355, 6), (0.047153262854875, 19), (0.0453917416252221, 3)]
23	Barthe_Femme	[(0.1270544658693621, 4), (0.0855963495241181, 6), (0.074788118818684, 20), (0.0740546615220986, 14), (0.057105803906529, 16), (0.0566708671375513, 22), (0.0527031804083316, 3), (0.0511118909656216, 9), (0.0495109918206457, 13), (0.0440102321224367, 24)]
