	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
père	0.056843939572605896	0.0	0.017283476447834078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008201926949409834	0.0	0.015873876805698687	0.0	0.0
mère	0.05185854853713821	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fille	0.050201118928763284	0.0	0.0	0.0	0.0	0.0	0.0	0.016739585314818336	0.0	0.0	0.0	0.009173484953543198	0.0	0.0	0.0	0.0	0.0	0.0	0.005400301489224245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
enfant	0.030253003681721107	0.0	0.005230766417016451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01827322379052109	0.0	0.0	0.0	0.0	0.0	0.0
sœur	0.024199782503308308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fil|fils	0.023832920613707533	0.0	0.010763307819630006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0050552565887680475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
frère	0.02076700339347248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00412214568530672	0.0	0.0
jeune	0.019142329310954758	0.008034433285509325	0.010873044178028953	0.008540664967138878	0.0	0.0	0.0	0.00456534144949591	0.0	0.0	0.0	0.003688808764387741	0.0	0.0	0.0	0.0	0.005753215031929608	0.0	0.0	0.0	0.0	0.0	0.0	0.0035214326670798173	0.006772866853405741	0.0	0.0	0.0	0.0033767120689001022	0.004523651678820731
voir	0.015467159309775559	0.0	0.013497572083070423	0.008809577592048791	0.01973004536675201	0.007844714874786283	0.007943089076070354	0.006129393612749139	0.0	0.0	0.0	0.00669116627374844	0.0	0.029220214666224056	0.006698738313515476	0.012146865684308795	0.008445896236131956	0.0	0.0	0.007194002756580496	0.0	0.0	0.008289470989411596	0.010535338851016755	0.0	0.008883484618482604	0.011313628255284999	0.0	0.015644167899735682	0.0
bon	0.014949622001231608	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009570601247179397	0.008914091782925754	0.0	0.0	0.0	0.01333760136577038	0.0	0.0	0.0	0.0036256605793029634	0.0	0.0	0.0	0.0	0.0047617097097917135	0.006822775792467146	0.005136346084302272	0.0	0.0	0.004176384444323914	0.012153634075704115	0.0
