	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34
0	père	enfant	ami	milord	voir	arriver	roi	foutre	fortune	lettre	ouvrage	voir	jamais	homme	comte	jour	père	porte	moins	croire	temps	dieu	arme	cœur	voir	amour	maître	main	femme	homme	beau	saint	terre	point	cœur
1	ami	point	voir	point	répondre	heure	prince	cul	argent	écrire	auteur	mort	femme	crime	marquise	vie	mère	chambre	croire	là	donner	saint	ennemi	sentiment	paraître	plaisir	petit	œil	homme	nature	œil	grand	arbre	père	aimer
2	fil|fils	voir	parler	miss	parler	femme	peuple	fille	homme	ami	livre	mourir	voir	malheureux	marquis	temps	fille	lit	encore	chose	mettre	religion	troupe	œil	cher	doux	bon	bras	esprit	loi	petit	père	eau	âme	amour
3	homme	toujours	croire	comte	croire	maison	grand	con	riche	cher	lire	œil	fille	coupable	chevalier	état	enfant	nuit	point	bon	laisser	chrétien	chevalier	âme	temps	beau	là	larme	plaisir	point	air	point	montagne	ami	point
4	voir	homme	point	cœur	demander	partir	princesse	mettre	grand	voir	esprit	ciel	servir	punir	bon	peine	fil|fils	heure	paraître	voir	paraître	foi	combat	idée	nouveau	cœur	manger	moment	monde	raison	joli	homme	soleil	larme	jamais
5	baron	jamais	toujours	ami	entendre	jour	cour	décharger	payer	adieu	grand	affreux	là	horreur	petit	vivre	sœur	entendre	amour	aimer	moins	prêtre	soldat	paraître	jeune	jour	mettre	genou	amour	vertu	dame	pays	voir	aimer	âme
6	jeune	donner	beaucoup	lady	mot	passer	souverain	duc	bon	recevoir	histoire	vie	devenir	mort	cher	mal	frère	passer	désir	fort	projet	vérité	coup	éprouver	sentimens	heureux	donner	voir	goût	humain	jeune	compère	mer	amour	seul
7	là	moins	aimer	désir	reprendre	voiture	palais	vit	donner	puis	pièce	douleur	instant	vengeance	ami	encore	jeune	sortir	temps	beau	cependant	ciel	armer	voir	princesse	amant	vin	mot	vertu	principe	grand	capitaine	vent	cœur	croire
8	connaître	apprendre	moment	amitié	paraître	homme	trône	petit	gens	lire	roman	cri	voilà	vie	fort	malheur	bon	entrer	autant	moins	part	point	général	objet	répondre	bonheur	voilà	jeter	mari	mal	paraître	beau	lieu	œil	ami
9	voilà	bon	chose	heureux	point	cheval	sujet	là	pauvre	croire	art	encore	encore	justice	ci	seul	voir	ouvrir	donner	parler	parti	monde	cheval	sentir	ami	œil	boire	ami	donner	donner	voir	vaisseau	pied	vertu	sentiment
10	ici	chose	ange	mylord	encore	lendemain	gloire	bouche	maison	jour	théâtre	coup	toujours	main	mettre	mort	femme	mettre	voir	monde	nouveau	grand	épée	temps	grand	aimer	diable	lever	connaître	âme	jouer	révérend	bord	femme	bonheur
11	malheur	mieux	encore	tendre	regarder	chambre	empire	plaisir	travail	parler	genre	malheureux	mieux	vertu	beau	moment	cher	coucher	femme	tant	ordre	homme	duc	vif	œil	encore	eau	écrier	jeune	idée	figure	monde	air	sentiment	voir
12	enfant	sentir	penser	lettre	œil	voir	nation	beau	livre	donner	homme	dieu	seul	honneur	femme	mourir	famille	grand	façon	mieux	moyen	fil|fils	tête	sembler	adélaïde	tendre	pauvre	tenir	toujours	esprit	charmant	ville	bois	malheureux	amant
13	secret	âge	plaisir	temps	homme	demander	patrie	branler	famille	encore	écrire	horreur	plaisir	criminel	encore	passer	beau	lever	sentiment	assez	point	croire	guerre	esprit	donner	charme	grand	baiser	point	corps	chanter	abbé	là	fille	sentir
14	doute	connaître	monde	aimer	air	entrer	monarque	femme	somme	envoyer	goût	sang	moins	venger	cependant	perdre	mariage	maison	penser	voilà	assez	esprit	armée	passion	amant	âme	homme	pied	caractère	chose	table	terre	rocher	tendresse	vertu
15	docteur	encore	temps	paraître	connaître	sortir	esclave	homme	petit	ici	talent	larme	chose	croire	joli	malheureux	donner	fermer	tant	encore	effet	religieux	donner	impression	beau	feu	encore	laisser	souvent	naître	grâce	répondre	petit	mylord	moins
16	apprendre	grand	entendre	aimable	donner	suivre	reine	fesse	ville	heure	temps	vivre	foi|fois	cruel	heure	toujours	mari	main	jamais	rire	intérêt	église	brave	mouvement	homme	fleur	tante	tomber	passion	société	donner	moine	apercevoir	cher	encore
17	infortuné	soin	chère	soin	oser	jeune	ministre	baiser	état	chère	génie	cruel	imaginer	innocence	vicomte	long	jour	dormir	toujours	beaucoup	engager	vrai	porter	imagination	personne	voir	tête	regarder	personne	vérité	main	mettre	milieu	nom	heureux
18	jour	seul	amitié	fortune	foi|fois	attendre	guerre	donner	terre	hier	parler	cœur	moyen	ami	moins	devenir	petit	côté	craindre	femme	occasion	père	ville	seul	chère	beauté	chien	parole	plaire	seul	blanc	roi	élever	fortune	passion
19	francisque	besoin	père	plaisir	seul	conduire	nom	joli	besoin	cousin	français	bras	offrir	oser	moment	douleur	aimer	encore	flatter	grand	seul	culte	courage	regard	vivre	jouir	coup	embrasser	société	préjugé	tête	fa	couvrir	situation	amitié
20	vieillard	mettre	heureux	parler	sortir	soir	loi	foi|fois	vivre	petit	siècle	tomber	alors	mal	dame	soin	marier	coup	douter	petit	connaître	divin	combattre	inspirer	écrier	délicieux	table	pleurer	aimable	grand	taille	monseigneur	grand	oncle	connaître
21	toujours	raison	occuper	cher	parole	route	paix	enculer	mettre	lettrer	lecture	arracher	agir	juge	comment	sentir	homme	apercevoir	grand	point	dessein	bon	camp	alors	petit	désir	pain	visage	moins	ordre	cheveu	tuer	forêt	regard	tendre
22	seul	ainsi	cependant	bonheur	doute	arrêter	pays	gros	année	partir	comédie	sein	près	malheur	voir	arriver	maison	petit	combien	répondre	attendre	livre	attaquer	doux	doute	nature	comment	tête	devenir	peuple	beauté	docteur	vaste	mot	craindre
23	revenir	maître	bonheur	engager	ici	grand	empereur	cuisse	vendre	chose	public	terrible	impossible	loi	baron|baronne	moins	grand	pied	inspirer	penser	promettre	prière	défendre	cependant	beaucoup	nouveau	pied	quitter	honnête	passion	placer	arriver	nature	seul	adorer
24	point	tenir	souvent	assurer	attendre	donner	état	ange	nouveau	aimer	gens	voix	laisser	commettre	déjà	laisser	épouser	fenêtre	aimer	toujours	croire	vie	guerrier	grand	coup	volupté	tirer	cœur	cœur	vice	couleur	turc	oiseau	toujours	cher
25	époux	servir	passer	pourquoi	ajouter	revenir	droit	libertin	jour	jamais	tableau	désespoir	doute	sang	foi|fois	rester	saint	jeter	beaucoup	jamais	fort	raison	ordre	effet	apprendre	jeune	bas	serrer	aimer	espèce	femme	prieur	vue	mourir	oser
26	temps	vie	fort	peine	interrompre	nuit	chef	voir	acheter	présent	beau	entendre	pourtant	mériter	coup	tant	parent|parents	voir	laisser	mal	déjà	dévot	victoire	apercevoir	bientôt	goûter	mieux	entendre	jamais	sage	danser	jésuite	autour	nouveau	puis
27	donner	mal	femme	recevoir	apercevoir	gens	citoyen	évêque	service	toujours	lecteur	dernier	sûr	monstre	surtout	malade	pauvre	bruit	égard	raison	secret	âme	jeune	trait	pere	sembler	haut	instant	sentiment	opinion	servir	cent	loin	encore	vie
28	chaumière	leçon	bon	jamais	jour	quitter	fil|fils	coup	affaire	réponse	scène	âme	permettre	odieux	doute	heureux	parler	voix	sentir	plaire	assurer	piété	officier	profond	suite	toujours	rire	tendre	propre	exister	musique	eusèbe	point	époux	cruel
29	puis	lieu	peine	chère	comment	monter	régner	langue	prix	billet	spectacle	frapper	jeune	innocent	mot	dernier	âge	tête	sembler	air	confiance	lumière	roi	instant	auprès	sein	gros	répondre	grâce	force	rire	mer	île	laisser	lettre
30	femme	propre	esprit	bonté	penser	mettre	donner	garçon	honnête	personne	nom	instant	ci	faute	part	chagrin	nom	ouvrer|ouvrir	doute	temps	refuser	pieux	suivre	lorsqu	apercevoir	joie	voir	presser	assez	sen|sens	côté	philosophe	tour	épouse	toujours
31	ainsi	gens	idée	marquis	écouter	chemin	royaume	puis	travailler	maman	vérité	infortuné	état	point	abbé	cependant	demander	donner	effet	passer	déterminer	terre	chef	moment	dame	charmant	tenir	demander	mérite	être|êtres	visage	pendre	fruit	vie	perdre
32	château	montrer	jour	personne	chercher	temps	ennemi	téton	pays	bon	acteur	jour	croire	scélérat	tour	revenir	regarder	appartement	chercher	vrai	passer	autel	bataille	tendre	nadir	dieu	garçon	rester	vanité	bonheur	agréable	parler	côté	parler	digne
33	nom	état	là	idée	écrier	ville	puissance	jeune	richesse	grand	poète	horrible	exiger	remords	duchesse	triste	embrasser	cependant	mettre	pourtant	moment	voir	corps	duchesse	cependant	aimable	servir	seul	sexe	mœurs	fête	prêtre	chemin	lord	héler
34	bonheur	commencer	grand	permettre	jamais	matin	conseil	bander	point	remettre	personnage	père	président	juste	là	apprendre	monde	descendre	ignorer	tête	autant	nom	grand	offrir	ciel	berger	mauvais	jamais	qualité	moins	fort	chapitrer	vaisseau	attacher	tendresse
35	près	naturel	jamais	triste	alors	personne	maître	sucer	franc	voilà	lire|liser	main	placer	infâme	chapitre	nouveau	épouse	frapper	foi|fois	mettre	vue	éternel	honneur	occuper	gens	félicité	vieux	cher	conduite	faible	noir	gens	ici	sein	raison
36	pauvre	laisser	aujourd	cacher	moment	rester	héro|héros	main	gagner	cœur	jouer	terre	manière	accuser	portail	plaindre	là	rester	propre	tenir	craindre	curé	main	fixer	pareil	berger|bergère	crier	temps	principe	action	porter	partir	haut	dernier	combien
37	quitter	presque	hui	douceur	entrer	recevoir	gouvernement	vivre	écu	demain	ancien	tombeau	tenir	indigne	aventure	croire	époux	tomber	permettre	entendre	lieu	sacré	commander	pénétrer	conduire	bientôt	jambe	reprendre	beau	système	présenter	ingénu	pays	assez	plaindre
38	amant	manière	vie	mouvement	laisser	répondre	sang	doigt	commerce	prier	mot	écrier	grand	sauver	saint	souffrir	voilà	tour	raison	homme	permettre	péché	sang	jamais	reconnaître	jamais	animal	voix	mœurs	animal	mettre	temps	sembler	pleur|pleurs	doux
39	ignorer	beaucoup	maison	sentiment	pourquoi	domestique	nouveau	ainsi	moi|mois	amitié	rôle	jeter	recevoir	honte	ailleurs	quitter	ici	jour	long	propos	employer	chose	garde	nouveau	foiblesse	pur	dîner	mouvement	âge	objet	jeu	chapitre	arriver	remplir	malheureux
40	penser	peine	foi|fois	écrire	question	fort	terre	soir	considérable	matin	moins	fureur	réussir	vil	charmant	maladie	personne	bras	seul	vérité	apprendre	donner	jour	réflexion	recevoir	déjà	foi|fois	asseoir	raison	moral	tour	juif	route	peine	foi|fois
41	retrouver	temps	laisser	objet	silence	dame	porter	trou	misère	foi|fois	langue	malheur	jour	condamner	assez	presque	cœur	tirer	vanité	fâcher	lorsqu	cher	recevoir	toujours	sçais	rose	hôte|hôtesse	foi|fois	talent	effet	cousin	espagnol	désert	infortuné	sacrifice
42	hymen	exemple	campagne	désirer	ton	porte	rang	vieux	moins	chevalier	mauvais	précipiter	bientôt	perdre	baiser	sort	mettre	bout	assez	donner	faveur	vertu	blessure	livrer	long	temps	bête	mettre	avantage	matière	robe	vieux	animal	bienfaiteur	malheur
43	jamais	éducation	personne	donner	craindre	maître|maîtresse	élever	fouetter	moyen	aujourd	héro|héros	déchirer	mettre	fureur	honneur	foi|fois	jamais	cabinet	prouver	mauvais	encore	encore	valeur	foi|fois	bras	délice	messieurs	donner	beaucoup	nécessaire	bal	vivre	marcher	parent	larme
44	parler	autant	paraître	conduite	continuer	voyage	seigneur	duclos	nom	attendre	titre	sembler	jouir	perfide	longtemps	besoin	joie	lumière	plaire	personne	soin	éclairer	côté	trouble	faveur	donner	morceau	encore	quelquefois	détruire	regard	langue	habiter	reconnaissance	jour
45	frère	fort	chercher	long	lever	retourner	majesté	derrière	vie	hui	hui	point	arriver	action	maître|maîtresse	santé	aîné	tenir	idée	gens	conduite	permettre	comte	long	habit	animer	appeler	sentir	ridicule	particulier	abbé	toujours	jardin	objet	moment
