	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
0	âme	père	père	homme	roi	petit	argent	arriver	dieu	ouvrage	voir	moins	milord	terre	voir	voir	beau	ami	homme	voir	point	chevalier	bon	foutre	main	enfant	point	lettre	femme	comte	jour	heure	fortune	maître	temps	femme	crime	ennemi	saint	amour
1	cœur	mère	ami	loi	prince	bon	donner	cheval	religion	lire	paraître	croire	point	mer	croire	œil	fleur	voir	nature	coup	larme	duc	petit	cul	petit	point	vertu	écrire	jamais	marquise	vie	chambre	homme	manger	paraître	esprit	homme	troupe	dieu	aimer
2	plaisir	fille	fil|fils	peuple	grand	voir	payer	homme	etamp	livre	cher	encore	miss	montagne	là	parler	chanter	point	point	cri	ami	duchesse	beau	fille	grand	toujours	cœur	ami	fille	marquis	seul	nuit	riche	vin	jour	plaisir	malheureux	arme	père	cœur
3	doux	enfant	homme	nature	peuple	beau	homme	partir	homme	auteur	temps	point	mylord	eau	parler	répondre	doux	parler	chose	tomber	cœur	princesse	encore	con	œil	donner	sentiment	cher	servir	chevalier	cœur	passer	état	boire	donner	monde	mort	soldat	grand	amant
4	jour	fil|fils	voir	vertu	princesse	jeune	pays	voiture	vérité	histoire	répondre	paraître	cœur	voir	chose	paraître	jeune	ange	idée	main	père	dame	mettre	là	pied	homme	croire	adieu	devenir	baron	douleur	lit	grand	grand	nouveau	homme	horreur	guerre	religieux	bonheur
5	œil	sœur	jeune	citoyen	cour	fille	livre	arrêter	chrétien	esprit	ami	temps	lady	vent	bon	mot	jour	moment	corps	œil	bras	beau	fort	décharger	côté	moins	passion	recevoir	seul	femme	encore	porte	famille	bon	laisser	goût	coupable	armer	supérieur	heureux
6	vie	frère	connaître	mœurs	trône	joli	bon	route	foi	grand	œil	désir	ami	soleil	voilà	regarder	berger	croire	esprit	entendre	œil	cheval	ci	vit	voir	apprendre	amour	voir	instant	vicomte	malheur	sortir	vivre	là	mettre	mari	sang	général	couvent	tendre
7	voir	femme	malheur	vice	palais	tante	jour	maison	fil|fils	roman	beau	autant	lord	bord	homme	entendre	jardin	chose	raison	bras	main	cour	cher	plaisir	porte	jamais	âme	croire	moyen	baron|baronne	voir	jour	service	pain	cependant	beau	cruel	peuple	moine	plaisir
8	objet	jeune	ici	société	souverain	cousin	vendre	chemin	raison	écrire	jeune	fée	sir	vaisseau	aimer	main	œil	toujours	sen|sens	voix	malheureux	comte	dame	mettre	tête	voir	ami	lire	encore	ami	mal	entrer	point	eau	passer	jeune	punir	armée	curé	point
9	bonheur	mariage	baron	grand	sujet	dame	ville	passer	esprit	pièce	personne	donner	lettre	rocher	répondre	air	arbre	père	âme	jeter	mourir	écuyer	assez	duc	placer	bon	jamais	jour	moins	adélaïde	vivre	soir	donner	chien	assez	beaucoup	vie	roi	église	jamais
10	jouir	famille	là	droit	reine	grand	petit	grand	lumière	homme	nouveau	penser	amitié	petit	encore	reprendre	oiseau	chère	effet	tête	âme	arme	ami	bouche	mettre	soin	homme	partir	croire	heure	malheureux	mettre	offrir	mettre	part	air	affreux	combat	point	voir
11	idée	cher	voilà	gouvernement	ministre	donner	mettre	suivre	culte	art	sentimens	façon	désir	île	entendre	moment	rose	beaucoup	humain	frapper	laisser	seigneur	cependant	branler	cheveu	âge	connaître	puis	mieux	portail	point	femme	servir	compère	attendre	paraître	dieu	donner	sœur	sentiment
12	heureux	bon	revenir	nation	monarque	fort	écu	gens	saint	genre	donner	tant	aimer	air	mieux	demander	air	aimer	mal	saisir	vie	château	abbé	beau	blanc	vie	raison	parler	alors	mari	peine	matin	heureux	petit	fort	plaire	vengeance	ville	frère	passion
13	sembler	voir	doute	liberté	empire	ami	gens	ville	vrai	génie	princesse	beaucoup	comte	élever	jamais	croire	berger|bergère	encore	objet	mort	dernier	jeune	moins	petit	noir	chose	moins	lettrer	voilà	croire	jamais	coucher	nom	diable	effet	aimable	monstre	victoire	prière	doux
14	temps	mari	docteur	pays	esclave	là	cent	maître	livre	lecture	adélaïde	femme	heureux	arbre	point	parole	dieu	penser	matière	encore	pleur|pleurs	prince	joli	homme	porter	seul	honneur	envoyer	foi|fois	moment	moins	donner	maison	table	connaître	grâce	voir	chef	prêtre	toujours
15	sentiment	jour	enfant	patrie	empereur	plaisir	somme	conduire	divin	beau	vivre	voir	tendre	pays	pourquoi	voix	lieu	amitié	grand	écrier	douleur	combat	déjà	fesse	bas	mieux	amitié	réponse	là	maître|maîtresse	perdre	rester	personne	pauvre	apprendre	point	malheur	guerrier	prier	tendresse
16	nature	donner	secret	état	gloire	mettre	grand	monter	monde	français	apprendre	flatter	parler	grand	puis	oser	encore	cependant	mouvement	corps	sein	monseigneur	part	femme	haut	maître	faiblesse	aimer	toujours	amant	état	lever	connaître	animal	moins	personne	main	courage	maison	adorer
17	sentir	parent|parents	apprendre	intérêt	royaume	beaucoup	moi|mois	heure	point	temps	écrier	craindre	aimable	pied	demander	apercevoir	beauté	temps	animal	sang	ciel	recevoir	chapitre	baiser	passer	encore	droit	donner	offrir	comment	héler	lendemain	recevoir	servir	recevoir	assez	fureur	gloire	monde	seul
18	nouveau	épouser	seul	humanité	maître	encore	franc	demander	loi	parler	grand	taciturne	pourquoi	là	ici	regard	voix	vie	donner	terrible	aimer	honneur	tour	libertin	figure	besoin	vrai	chère	imaginer	connaître	croire	entendre	honneur	tête	long	société	venger	sang	révérend	désir
19	image	aimer	jour	toujours	point	pauvre	acheter	voir	peuple	talent	chère	douter	idée	tour	monde	silence	bois	occuper	exister	instant	mot	porter	coup	jeune	couvrir	sentir	digne	amitié	laisser	cher	ami	attendre	mettre	bête	moment	souvent	scélérat	brave	dévot	charme
20	encore	marier	francisque	seul	majesté	maman	capitaine	là	éclairer	théâtre	amant	long	fille	lieu	mal	seul	plaisir	entendre	principe	nuit	cher	donner	chevalier	voir	habit	temps	propre	billet	agir	commandeur	temps	maison	richesse	temps	déjà	cependant	victime	camp	ciel	sentir
21	charme	parler	infortuné	heureux	ordre	personne	pauvre	descendre	erreur	voir	cependant	amour	paraître	temps	penser	lever	main	heureux	espèce	bruit	femme	grand	tête	enculer	jambe	ainsi	seul	cœur	répondre	permettre	cruel	laisser	vie	comment	promettre	toujours	barbare	jeune	abbé	encore
22	imagination	époux	temps	utile	seigneur	chose	gagner	coup	divinité	vérité	reconnaître	effet	soin	vaste	moins	encore	entendre	souvent	être|êtres	bientôt	encore	alors	rire	ange	air	propre	confiance	hier	impossible	nom	souffrir	demander	malheur	jour	lieu	jour	criminel	bataille	prieur	œil
23	pur	homme	vieillard	établir	état	cher	maison	entrer	éternel	goût	doute	inspirer	objet	couvrir	toujours	écrier	voir	peine	physique	moment	écrier	temps	foi|fois	foi|fois	coup	éducation	sentir	jamais	permettre	songer	sort	voir	besoin	hôte|hôtesse	parti	moins	mourir	commander	religieuse	donner
24	laisser	maison	point	jamais	régner	temps	cinquante	revenir	terre	siècle	beaucoup	égard	mariage	milieu	vrai	visage	amour	passer	rapport	pousser	voir	calife	moment	joli	paraître	état	assez	remettre	sûr	honneur	plaindre	revenir	pauvre	vieux	projet	ridicule	ciel	attaquer	hermite	cher
25	désir	âge	ainsi	sage	nation	jour	terre	jour	père	gens	conduire	sentir	personne	forêt	raison	foi|fois	quitter	idée	ordre	feu	mort	jour	mot	donner	entrer	leçon	conduite	ici	exiger	joli	sentir	arriver	bonheur	point	ajouter	donner	commettre	fil|fils	jeune	connaître
26	goûter	heureux	toujours	exemple	fée	air	temps	femme	seul	comédie	homme	doute	parent	ville	tenir	alors	charmant	esprit	partie	élancer	pied	abbé	diable	coup	bras	grand	mériter	mère	projet	duchesse	craindre	main	nouveau	repas	ordre	caractère	supplice	tête	demander	âme
27	vif	épouse	près	république	couronne	ici	marchand	courir	prêtre	tableau	croire	grand	sentiment	apercevoir	comment	jeune	troupeau	plaisir	différent	porter	moment	paraître	là	évêque	servir	jeune	secret	encore	réussir	demain	rester	moment	sort	mauvais	moyen	joli	jour	ordre	cellule	moment
28	éprouver	embrasser	château	naître	nom	oncle	année	mettre	grand	petit	auprès	toujours	assurer	paraître	assez	instant	nature	st	moins	force	amour	palais	baiser	bander	gros	connaître	donner	présent	bientôt	moins	larme	dormir	gens	coup	partir	amuser	justice	défendre	religion	foi|fois
29	esprit	beau	donner	mal	beau	tenir	vivre	donner	croire	nom	long	combien	chagrin	habiter	tant	cependant	fête	jour	vérité	rester	pleurer	roi	temps	cuisse	sortir	servir	caractère	grand	oser	retenir	mort	appartement	jouir	donner	occasion	beauté	sauver	paix	ange	croire
30	beau	cœur	chaumière	politique	porter	enfant	passer	lieue	donner	lire|liser	comment	sentiment	engager	habitant	fort	connaître	chant	bonheur	agir	pied	époux	lance	tant	gros	tirer	lieu	craindre	sœur	assurer	vif	affreux	quitter	titre	morceau	lorsqu	figure	fer	combattre	pieux	rival
31	tendre	vivre	puis	libre	conseil	déjà	point	chercher	juif	mettre	bientôt	jamais	penser	haut	laisser	temps	soleil	grand	univers	précipiter	seul	épée	laisser	garçon	voilà	mal	tromper	dernier	décider	finir	triste	petit	honnête	gros	dessein	petit	innocent	héro|héros	jour	aimable
32	offrir	nom	ignorer	point	courtisan	vieux	beaucoup	temps	juste	jouer	bras	assez	temps	bois	donner	mouvement	vieillard	maison	faculté	déjà	genou	main	propos	main	couleur	raison	encore	toujours	près	interrompre	mourir	encore	obliger	cave	engager	grand	horrible	demander	sortir	objet
33	passer	dieu	vieux	humain	puissance	toujours	affaire	château	humain	public	apercevoir	mettre	donner	désert	foi|fois	sortir	donner	cher	système	arrêter	infortuné	saintré	doute	téton	fort	petit	honte	moment	mettre	souvenir	quitter	ouvrir	procurer	souper	seul	gens	infortuné	officier	bon	devenir
34	lieu	pauvre	nom	devenir	génie	maison	honnête	reconnaître	docteur	connaître	moins	cependant	peine	point	vérité	sembler	heureux	hui	loi	crier	pardonner	champ	bientôt	vivre	tenir	tenir	intérêt	attendre	soin	jasmin	toujours	souper	faveur	homme	secret	connaître	prison	nombre	dévotion	moins
35	monde	mettre	moment	préjugé	fil|fils	charmant	envoyer	rencontrer	preuve	spectacle	air	laisser	fortune	rivage	mot	entrer	son	chercher	action	sembler	jeter	délier	près	puis	robe	naturel	estimer	part	doute	coup	moment	répondre	secours	philosophe	demander	devenir	odieux	corps	autel	plaire
36	souvenir	porter	parler	terre	temple	maître|maîtresse	perdre	répondre	autorité	langue	reprendre	ailleurs	écrire	côté	reprendre	personne	joie	fort	existence	ciel	parler	français	point	sucer	tour	goût	principe	sûr	tenir	reprendre	espoir	retirer	payer	vivre	encore	jouer	infâme	valeur	messe	beau
37	jouissance	tendre	hymen	art	ordonner	saint	mourir	porte	dogme	point	secret	sembler	comment	vue	beaucoup	ton	couvrir	donner	voir	effrayer	tomber	combattre	nouveau	langue	taille	exemple	aimer	penser	obtenir	cour	âme	fermer	intérêt	plat	état	ton	juge	indien	vicaire	tant
38	naître	joie	femme	général	sultan	laisser	prix	aventure	cher	lecteur	part	prouver	chère	plaine	beau	ajouter	sembler	aujourd	comment	mouvement	regard	coup	honneur	volupté	attacher	beaucoup	vérité	personne	recevoir	rival	cependant	bras	travail	enfant	déterminer	parler	périr	milieu	ingénu	maître|maîtresse
39	sein	main	perdre	moins	guerre	homme	village	côté	sage	encore	pareil	fort	bonheur	endroit	pourtant	prononcer	suivre	quelquefois	moral	porte	dieu	reine	aventure	ainsi	salle	souvent	inspirer	demain	ci	rire	chagrin	dîner	talent	rire	vue	humeur	remords	espagnol	habit	cruel
40	volupté	regarder	époux	force	ambassadeur	jouer	tirer	pied	siècle	poète	levrette	ignorer	mouvement	encore	connaître	arrêter	nouveau	campagne	semblable	chercher	nom	conduire	suite	fouetter	bout	commencer	oser	hui	désir	cependant	regret	rentrer	prix	mourir	suivre	croire	innocence	nouveau	capucin	unir
41	vertu	demander	pauvre	siècle	sultane	paraître	vaisseau	attendre	adorer	musique	côté	idée	recevoir	presque	tête	jamais	asseoir	parent|parents	nécessaire	apercevoir	jamais	suivre	galant	tenir	monter	devenir	laisser	papier	état	parler	courage	journée	temps	apporter	juger	agréable	perfide	patrie	beau	vif
42	trait	digne	nouveau	nombre	élever	nièce	général	quitter	gloire	moins	gens	vanité	éloigner	près	plaire	jeter	temple	jamais	produire	sentir	tendresse	histoire	comment	trou	corps	peine	juger	désirer	cas	heureux	désespoir	demain	condition	coucher	liberté	conversation	condamner	côté	pied	charmant
43	remplir	année	rester	faible	héro|héros	mieux	fa	domestique	ciel	portrait	foiblesse	permettre	jamais	port	passer	chercher	toujours	sembler	concevoir	lumière	héler	moment	jouer	vieux	doigt	gens	imposer	heure	pourtant	répéter	devenir	près	année	beau	assurer	manière	rage	vaincre	entrer	éprouver
44	quelquefois	devenir	amant	principe	place	assez	vie	valet	opinion	peindre	tendre	reste	permettre	loin	mettre	écouter	agréable	intérêt	contraire	vivre	fille	présenter	ainsi	délicieux	rouge	manière	avouer	aujourd	demander	jeune	foi|fois	côté	naissance	tirer	ignorer	presque	accuser	main	gardien	amitié
45	félicité	tendresse	personne	particulier	terre	tant	eusèbe	voyage	parler	personnage	chercher	chercher	tendresse	nature	peine	interrompre	sourire	laisser	connaître	sauver	arracher	cygne	perdre	placer	dessus	esprit	erreur	sentiment	placer	attendre	puis	paraître	qualité	faim	douter	fort	désespoir	inca	personne	sen|sens
46	homme	aîné	bon	chef	nouveau	prier	travailler	sortir	suprême	mot	abord	oie	mistriss	voile	mauvais	surprise	bientôt	bon	philosophe	perdre	reprendre	maître	manquer	ami	corde	presque	chercher	bonheur	désirer	doute	ciel	prier	malheureux	bouteille	forcer	bon	mal	garde	grâce	jouir
47	joie	vie	ouïr	bon	servir	demander	roi	lieu	christianisme	composer	champ	croître	plaindre	habitation	gens	grand	fruit	assez	propre	terre	toujours	ogier	ailleurs	duclos	partie	autant	respecter	foi|fois	convaincre	deviner	dernier	seul	perdre	tuer	résoudre	rire	misérable	place	cérémonie	tenir
48	milieu	larme	retrouver	détruire	envoyer	garçon	arriver	auberge	faveur	anglais	coup	crainte	cacher	traverser	aujourd	asseoir	feu	paraître	manière	milieu	vivre	page	chose	chier	ouvrir	mettre	orgueil	voilà	jouir	répliquer	heureux	ensuite	noble	appeler	soin	occuper	oser	vainqueur	pape	instant
49	tableau	monde	bonheur	luxe	respect	dîner	français	jeter	croyance	beaucoup	marqué	propre	jenny	immense	grand	frapper	blanc	société	seul	arriver	voilà	barmécide	lecteur	derrière	donner	utile	penser	matin	refuser	maintenant	consoler	table	vertu	jambe	affaire	agrément	indigne	nadir	abbaye	pourquoi
