	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
0	femme	lettre	jour	fille	cœur	temps	main	homme	ouvrage	comte	maître	terre	cœur	amour	père	enfant	homme	marquise	roi	crime
1	homme	ami	homme	cul	amour	heure	tête	nature	auteur	chevalier	jacque|jacques	eau	jour	amant	mère	homme	fortune	dame	prince	horreur
2	plaisir	moment	temps	duc	bonheur	jour	lit	loi	livre	chère	homme	arbre	âme	œil	fille	âge	gens	tour	peuple	mort
3	air	amitié	fille	con	plaisir	maison	œil	vertu	histoire	oncle	femme	mer	vie	fleur	sœur	chose	temps	main	princesse	coup
4	monde	jour	état	vit	sentiment	chambre	porte	raison	esprit	commandeur	hôte|hôtesse	soleil	œil	berger	frère	objet	livre	coup	citoyen	sang
5	esprit	femme	vie	bouche	passion	soir	jour	chose	vérité	duchesse	diable	montagne	douleur	cœur	enfant	nature	jour	milord	gloire	fille
6	goût	adieu	coup	plaisir	temps	ami	bras	dieu	roman	lettre	tête	air	larme	berger|bergère	fil|fils	besoin	argent	monseigneur	trône	instant
7	personne	chose	esclave	femme	désir	appartement	dieu	mal	goût	cousin	cheval	île	mort	main	marquis	corps	affaire	moment	pays	main
8	chose	peine	ciel	foi|fois	âme	voiture	maison	esprit	pièce	sœur	chose	milieu	ami	plaisir	femme	soin	état	heure	guerre	vengeance
9	œil	raison	moment	fesse	objet	peine	pied	vérité	genre	président	cave	fruit	père	jour	mari	sen|sens	ville	diable	ordre	fureur
10	mari	mot	main	homme	amant	lendemain	nuit	action	siècle	sentiment	vin	lieu	main	dieu	mariage	maître	famille	tête	troupe	fer
11	figure	réponse	effet	coup	amitié	air	chambre	religion	lecture	temps	chirurgien	forêt	ciel	beauté	dieu	usage	maison	baiser	sujet	homme
12	caractère	foi|fois	ville	foutre	peine	matin	couvent	principe	lecteur	moment	chien	vent	bras	air	jour	esprit	année	honneur	monarque	monstre
13	grâce	tort	malheur	évêque	charme	nuit	côté	vice	gens	état	gens	pied	dieu	feu	famille	temps	moi|mois	pied	cour	victime
14	sexe	sentiment	vieillard	garçon	vertu	moment	genou	âme	tableau	doute	foi|fois	bois	peine	charme	cœur	idée	monde	part	patrie	supplice
15	société	chère	maison	cuisse	tendresse	table	voix	ordre	mémoire	cesse	pain	bord	moment	village	homme	lieu	terre	abord	nation	créature
16	jour	confiance	secours	téton	moment	cheval	sœur	vie	théâtre	jour	histoire	nature	malheur	voix	parent|parents	art	pays	duchesse	empire	œil
17	manière	doute	vaisseau	langue	œil	plaisir	heure	idée	art	mari	capitaine	rocher	mal	fil|fils	maison	éducation	nom	jeu	gouvernement	rage
18	beauté	effet	œil	soir	douceur	maître|maîtresse	peine	société	génie	circonstance	valet	tour	voix	troupeau	parangon	raison	écu	foi|fois	palais	vertu
19	ton	vérité	tête	jour	réflexion	dame	foi|fois	préjugé	partie	chose	garçon	campagne	foi|fois	déesse	ami	vie	vie	foi	honneur	force
20	gens	intérêt	parole	libertin	doute	conversation	moment	monde	public	esprit	messieurs	animal	sein	galatée	nom	mot	service	faveur	arme	malheur
21	raison	parti	peine	main	faveur	voyage	visage	intérêt	temps	cœur	argent	vue	désespoir	bras	main	leçon	personne	prélat	reine	ciel
