	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
femme	0.08418508105835676	0.013230978830433872	0.006844692952858382	0.013315416564866846	0.0	0.0	0.0	0.0	0.0	0.0	0.01537119808132563	0.0	0.0	0.0	0.02151158839121865	0.0	0.0	0.0	0.0	0.005658272234619063
homme	0.03796736645734255	0.0	0.018702400462739806	0.010668621223226647	0.0	0.0	0.0	0.06685425177890209	0.0	0.0	0.023492859478905483	0.0	0.0	0.0	0.011316522802963365	0.030430094644782555	0.038499675180360377	0.0	0.0	0.00932419509085113
plaisir	0.025381644289130034	0.0	0.0	0.014618454271520483	0.022800821051463655	0.008828073273008165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012425021422450729	0.0	0.0	0.0	0.003572036060554516	0.0	0.0
air	0.022097270028114242	0.0	0.0	0.0	0.0	0.010372986095784595	0.0038938662991040663	0.0	0.0	0.0	0.0	0.010694947867722737	0.0	0.00851542416452442	0.0	0.0	0.0	0.005273005613199524	0.0	0.0
monde	0.021151370240941696	0.005397191364493817	0.0	0.0	0.0	0.006234826749062017	0.0	0.008143719055220367	0.0	0.0	0.0037610378284094626	0.0	0.0049825712528193565	0.0	0.007782233399034867	0.0	0.00834273600711184	0.0	0.0	0.0
esprit	0.01967997057200662	0.0	0.0	0.0	0.0	0.0	0.0	0.011985606450041935	0.015047313718392885	0.007711410273166906	0.0	0.0	0.0	0.0	0.0	0.00991374146399904	0.0	0.0	0.0	0.0
goût	0.017788170997661525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009669579605977559	0.0	0.0	0.0	0.0	0.0	0.0	0.007487720138972085	0.0	0.0	0.0	0.0
personne	0.014766546677526998	0.005554391112974219	0.0	0.0	0.005177802023041219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00394209202745871	0.0	0.007316989776729237	0.0	0.0	0.0
chose	0.014766546677526998	0.012575979878432194	0.0	0.0	0.0	0.0	0.007615437629221226	0.014582938773301588	0.0	0.007842112142203634	0.008394200370653004	0.0	0.0	0.0	0.006185006456874873	0.01844974242242722	0.0	0.005102908657935023	0.0	0.0
œil	0.014267321789852598	0.0	0.007760532150776054	0.0	0.006971540581023355	0.0	0.019607167470709855	0.0	0.0	0.0	0.0	0.0	0.023908140250153784	0.02035132819194516	0.0056412696255012575	0.006529291961183659	0.0	0.004082326926348018	0.0	0.007969397513547976
mari	0.012585722168212512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008757025225460725	0.003979069006867982	0.0	0.0	0.0	0.01977842724121525	0.0	0.0	0.0	0.0	0.0
figure	0.010904122546572427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
caractère	0.010825297564308048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grâce	0.009774297800782995	0.0	0.00535042899836113	0.0	0.0	0.0	0.005031013094417643	0.0	0.0	0.0	0.0	0.0	0.0	0.0042309340188517565	0.0	0.0	0.0	0.0	0.0	0.0
sexe	0.009117422948579836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
société	0.008986047978139206	0.0	0.0	0.0	0.0	0.0	0.0	0.008495441140661779	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004923581905836496	0.0	0.0	0.0
jour	0.008618198060905436	0.014488576818277091	0.020534078858575146	0.0071259874582620735	0.0	0.024387552416685058	0.015196416264645072	0.0	0.0	0.01032544765390145	0.0	0.005325099565937262	0.027968013122821406	0.010818337617823479	0.014443009583361652	0.0	0.015488768078777311	0.0	0.0	0.0
manière	0.008434273102288552	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007757278063975081	0.0	0.0	0.0	0.0
beauté	0.008407998108200426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009265209940017139	0.0	0.0	0.0	0.0	0.004136682897401646	0.0
ton	0.007120523397882235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gens	0.006884048451089099	0.0	0.0	0.0	0.0	0.008083204590598102	0.0	0.0	0.008325146077873727	0.0	0.007249536683745775	0.0	0.0	0.0	0.0	0.004971846172277465	0.01907887988511642	0.0	0.0	0.0
raison	0.006884048451089099	0.01226158038147139	0.0	0.0	0.005288754923534959	0.0	0.0	0.019696436784719027	0.0	0.0	0.0049057015153166905	0.0	0.0	0.0	0.0	0.00868575536120762	0.0	0.0	0.0	0.0
tête	0.006095798628445308	0.0	0.007712330087727755	0.004479192116621874	0.0	0.0	0.019848380427291524	0.0	0.0	0.0	0.00992041861986264	0.0	0.0	0.0	0.0	0.0	0.0	0.00884504167375404	0.0056879389839272635	0.0
propos	0.005491473764418403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
façon	0.005465198770330277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005097372892432362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sorte	0.005412648782154024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006289684916736552	0.0	0.0	0.0	0.0
âge	0.005412648782154024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007136545911778699	0.01859949682520666	0.0	0.0	0.0	0.0
talent	0.005412648782154024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007135839495320337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004889390364823743	0.0	0.0	0.0
attention	0.0050710738590083815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004966671023395634	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
foi|fois	0.004992248876744002	0.010479983232026828	0.0	0.011930939001547358	0.004382639569502746	0.006483116309865372	0.00864920744314266	0.0	0.0	0.0	0.0068679821214433666	0.0	0.009821611646503999	0.0	0.0	0.0055409129028393435	0.004991964987862003	0.00589669444916936	0.0	0.0
humeur	0.004860873906303371	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
conversation	0.004755773929950866	0.0	0.0	0.0	0.0	0.008414257338335908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
égard	0.004624398959510234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fille	0.004571848971333982	0.0	0.016774317940807866	0.038724651844612754	0.0	0.0	0.0	0.0	0.0	0.0	0.003924561212253352	0.0	0.0	0.0	0.06878270916876232	0.0	0.0	0.0	0.0	0.01306981192221868
jeunesse	0.004545573977245855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
idée	0.0045192989831577286	0.00778138754977992	0.0	0.0	0.005658597925180761	0.0	0.0	0.008522496685695734	0.004757226330213558	0.005162723826950725	0.0	0.0	0.004880049210580275	0.0	0.0	0.009314723852881275	0.0	0.0	0.0	0.0
regard	0.004466748994981476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006212835759688333	0.005462724935732648	0.0	0.0	0.0	0.0	0.0	0.0
défaut	0.0044404740008933494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
qualité	0.004177724060012086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
envie	0.004125174071835834	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mérite	0.004125174071835834	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005636279021666063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
connaissance	0.00394124911321895	0.0	0.0	0.0	0.0	0.005903774001324211	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005870372588954115	0.0	0.0	0.0	0.0
portrait	0.003888699125042697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006049950876467243	0.004117108874656907	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fond	0.0038624241309545707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
charme	0.0036784991723376862	0.0	0.0	0.0	0.008765279139005492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008140531276778063	0.0	0.0	0.0	0.0	0.0	0.0
taille	0.00365222417824956	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
expression	0.0036259491841614338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
trait	0.003599674190073307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003981591602461348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
plaisanterie	0.003573399195985181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
spectacle	0.0034945742137208018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
lettre	0.0	0.061596101446237686	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01790615605803163	0.0	0.0	0.0	0.0	0.006354924216679127	0.0	0.0	0.0	0.0	0.0
ami	0.0	0.05103751833997065	0.0	0.004031272904959687	0.0	0.012911057161774443	0.0	0.0	0.0	0.0	0.0	0.0	0.014230059462784498	0.0	0.009379460341194861	0.0	0.0	0.0	0.0	0.0
moment	0.0	0.02012156780549151	0.012339728140364407	0.0	0.00798860883554931	0.008938424188920768	0.008097863542384563	0.0	0.0	0.012220624754933995	0.0	0.0	0.010211195407012508	0.0	0.0	0.0	0.0	0.009298633554459375	0.0	0.0
amitié	0.0	0.01582477468036051	0.0	0.0	0.010170682545259538	0.0	0.0	0.0	0.0	0.005881584106652725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
adieu	0.0	0.013230978830433872	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0069925499934649065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
peine	0.0	0.012418780129951791	0.007133905331148173	0.0	0.009985761044436636	0.0106488633855661	0.00864920744314266	0.0	0.0	0.0	0.0	0.0	0.0105802747590732	0.0	0.0	0.006259734036180664	0.0	0.0	0.0	0.0
mot	0.0	0.01207818067491092	0.006700086763713487	0.0	0.0	0.0067314058706687266	0.0074086836664369405	0.0	0.0	0.0	0.0	0.0	0.005003075661267172	0.0	0.00829198667844763	0.00811668863064574	0.0	0.005216306628111357	0.0	0.0
réponse	0.0	0.010689582896667365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003330388092163393	0.0	0.0	0.0	0.0	0.0
tort	0.0	0.009877384196185286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sentiment	0.0	0.009589184657304548	0.0	0.0	0.022209072248830373	0.0	0.0	0.006006330997537945	0.0	0.012678081296562541	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chère	0.0	0.009143785369943407	0.0	0.0	0.004105257318268395	0.0	0.0	0.0	0.0	0.028362305580969808	0.0	0.0	0.0	0.0	0.004689730170597431	0.0	0.0	0.0	0.0	0.0
confiance	0.0	0.008383986585621462	0.0	0.0	0.004863435471642288	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
doute	0.0	0.008174386920980926	0.005736045502747518	0.0	0.006102409527155722	0.0	0.0	0.0	0.0	0.010978956999085087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0038555309859953507	0.0	0.0056981192221868026
