	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
0	prince	homme	homme	livre	foutre	femme	heure	rendre	œil	homme	cœur	terre	amour	voir	comte	lettre	mort	maître	femme	père
1	roi	dieu	fortune	ouvrage	cul	jeune	venir	croire	main	enfant	amour	arbre	plaisir	savoir	marquise	écrire	vie	petit	jamais	mère
2	princesse	loi	grand	lire	fille	personne	trouver	prendre	voir	point	aimer	eau	amant	croire	marquis	ami	point	grand	homme	fille
3	grand	nature	ville	auteur	con	beaucoup	prendre	paraître	entendre	voir	sentiment	lieu	œil	suivre|être	durut	suivre|être	voir	jacque|jacques	crime	enfant
4	cour	religion	temps	histoire	duc	plaisir	chambre	temps	mot	savoir	bonheur	montagne	cœur	là	bon	voir	malheureux	homme	servir	sœur
5	peuple	vertu	riche	grand	décharger	esprit	arriver	trouver	bras	donner	point	soleil	beau	parler	petit	comte	mourir	manger	devenir	fil|fils
6	isambard	peuple	argent	esprit	mettre	monde	passer	point	voix	toujours	âme	petit	voir	bon	chevalier	jour	douleur	bon	fille	frère
7	reine	raison	maison	beau	là	paraître	jour	cependant	tête	moins	seul	mer	doux	chose	faublas	cher	larme	mettre	là	cher
8	ennemi	esprit	vivre	temps	petit	grand	maison	laisser	jeter	nature	jamais	là	encore	encore	joli	adieu	jour	tête	nature	bon
9	chevalier	grand	trouver	écrire	vit	point	voir	donner	alors	apprendre	ami	bois	tendre	ami	beau	chevalier	ciel	beau	voilà	voir
10	palais	vérité	gens	pièce	bouche	beau	sortir	secret	écrier	jamais	vertu	bord	rendre	homme	fort	recevoir	encore	voilà	vertu	jeune
11	gloire	humain	donner	talent	beau	voir	nuit	moins	lever	chose	heureux	jour	âme	aimer	ci	chère	cœur	vin	trouver	saint
12	duchesse	sage	payer	genre	branler	air	donner	effet	paraître	rendre	rendre	milieu	désir	mieux	dame	croire	affreux	tirer	instant	venir
13	arme	fil|fils	pays	lecture	fesse	homme	entrer	assez	regarder	prendre	passion	grand	nouveau	venir	duchesse	point	dernier	prendre	plaisir	femme
14	rendre	principe	jour	théâtre	baiser	petit	partir	alors	instant	mal	sentir	couvrir	heureux	jamais	mettre	parler	cruel	diable	seul	donner
15	troupe	point	passer	gens	joli	trouver	porte	connaître	répondre	âge	toujours	vent	feu	entendre	cependant	trouver	vivre	point	mieux	jour
16	guerre	monde	terre	roman	venir	goût	soir	mettre	reprendre	connaître	moins	pied	beauté	voilà	monseigneur	temps	malheur	boire	moins	petit
17	nom	âme	état	musique	enculer	souvent	revenir	encore	tomber	soin	vie	voir	jour	moins	là	savoir	âme	comment	toujours	mari
18	trône	seul	famille	art	femme	toujours	mettre	assurer	parole	sentir	doux	oiseau	cher	toujours	heure	venir	dieu	table	imaginer	maison
19	jeune	donner	mettre	vérité	coup	société	matin	doute	visage	esprit	connaître	rocher	charme	tenir	rire	encore	œil	eau	moyen	dieu
20	monarque	lumière	bon	génie	plaisir	fort	temps	seul	venir	seul	savoir	forêt	fleur	point	baiser	partir	père	hôte|hôtesse	venir	famille
21	honneur	idée	service	goût	gros	donner	entendre	apprendre	moment	raison	amitié	venir	venir	puis	vicomte	amitié	infortuné	donner	président	mariage
22	combat	citoyen	rendre	siècle	homme	aimable	laisser	nouveau	mouvement	besoin	tendre	île	jeune	trouver	tour	lire	main	haut	agir	aimer
23	soldat	mœurs	livre	tableau	foi|fois	plaire	attendre	moyen	prendre	propre	croire	air	délicieux	beau	savoir	envoyer	suivre|être	main	vice	regarder
24	sujet	société	pauvre	bon	main	joli	demander	part	temps	vie	encore	jardin	déjà	donner	baron	ici	désespoir	chien	chose	parent|parents
25	souverain	univers	servir	français	cuisse	figure	femme	engager	passer	objet	objet	trouver	charmant	monde	coup	moment	venir	là	loi	pauvre
