	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
0	femme	livre	cœur	point	petit	voir	homme	terre	voir	femme	croire	prince	foutre	homme	trouver	lettre	homme	maître	père	fleur	heure	vie	voir	comte	dieu
1	personne	ouvrage	amour	aimer	manger	main	peuple	mer	savoir	crime	rendre	roi	cul	enfant	venir	écrire	nature	homme	mère	beau	chambre	jour	œil	marquise	homme
2	jeune	lire	plaisir	cœur	donner	œil	grand	montagne	suivre|être	jamais	prendre	princesse	fille	point	arriver	suivre|être	loi	jacque|jacques	fille	berger	porte	cœur	parler	durut	religion
3	esprit	auteur	âme	amour	prendre	bras	citoyen	grand	croire	devenir	moins	grand	con	savoir	prendre	comte	point	grand	enfant	amour	passer	ami	répondre	bon	vertu
4	monde	esprit	heureux	suivre|être	beau	mort	pays	eau	là	homme	seul	reine	là	moins	maison	ami	chose	bon	fil|fils	amant	nuit	temps	paraître	beau	vérité
5	beaucoup	grand	bonheur	vertu	grand	coup	nation	lieu	ami	fille	encore	isambard	décharger	toujours	partir	cher	idée	voilà	sœur	arbre	lit	seul	mot	joli	fil|fils
6	point	histoire	doux	ami	mettre	cri	riche	soleil	bon	servir	conduite	cour	duc	apprendre	temps	chevalier	seul	là	cher	doux	sortir	vivre	venir	petit	raison
7	grand	pièce	sentiment	âme	table	tomber	gouvernement	élever	parler	instant	moyen	chevalier	mettre	donner	homme	adieu	corps	femme	frère	venir	venir	encore	reprendre	dame	loi
8	plaisir	temps	aimer	jamais	voir	écrier	fortune	île	aimer	venir	assez	gloire	vit	voir	passer	recevoir	objet	diable	voir	berger|bergère	mettre	toujours	main	faublas	sage
9	trouver	beau	œil	malheureux	œil	ciel	ville	vaisseau	chose	trouver	cependant	duchesse	bouche	jamais	jour	voir	principe	hôte|hôtesse	bon	jardin	entrer	sentir	alors	mettre	esprit
10	toujours	talent	désir	seul	air	sang	terre	vent	venir	là	secret	ennemi	beau	rendre	voir	jour	esprit	beau	femme	bois	prendre	jamais	seul	rire	lumière
11	homme	lecture	charme	savoir	main	affreux	famille	rocher	encore	voilà	effet	troupe	branler	prendre	donner	chère	donner	savoir	jeune	chanter	main	bonheur	entendre	chevalier	grand
12	souvent	théâtre	tendre	larme	vin	mourir	patrie	là	jamais	malheureux	donner	arme	petit	chose	rendre	point	être|êtres	point	venir	aimer	entendre	heureux	parole	cependant	humain
13	beau	genre	voir	coupable	servir	douleur	roi	tour	mieux	vertu	laisser	palais	plaisir	connaître	ville	marquis	raison	gens	famille	jeune	maison	peine	prendre	duchesse	vrai
14	paraître	écrire	rendre	sentiment	trouver	entendre	travail	pied	voilà	punir	mettre	guerre	fesse	âge	recevoir	croire	humain	mettre	mari	oiseau	lever	rester	moment	heure	âme
15	petit	roman	amant	père	porter	encore	point	vaste	entendre	moins	amour	rendre	femme	soin	femme	lire	mouvement	comment	donner	jour	coucher	douleur	air	ci	encore
16	jamais	tableau	objet	rendre	bon	vie	société	couvrir	toujours	agir	paraître	jeune	homme	bon	cheval	parler	espèce	tête	jour	encore	demander	âme	regarder	fort	monde
17	parler	art	passion	cruel	blanc	jeter	nombre	point	puis	mieux	connaître	honneur	jeune	besoin	apprendre	amitié	comment	haut	saint	voir	matin	mal	instant	là	rendre
