	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
femme	0.0315012532849944	0.0	0.0	0.0036452004860267314	0.0	0.0	0.0	0.0	0.0	0.014318676247610258	0.0	0.0	0.00666941694169417	0.0	0.006444126727585421	0.0	0.0	0.007796370748668912	0.012762021424196593	0.0	0.0	0.0	0.0	0.004267245732754267	0.0
personne	0.012289998872477167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005517610169903503	0.0	0.0	0.0	0.0	0.0	0.0	0.005612620449678801	0.0	0.0
jeune	0.012055821053453255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0040081745665502015	0.0	0.005375923171272737	0.006165199853318665	0.003562727582322584	0.005418453823998674	0.0	0.0	0.0	0.011549566891241578	0.006321922796795339	0.0	0.0	0.004090270342612419	0.0	0.0
esprit	0.01129257482848643	0.009998863765481196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004462141653350099	0.0	0.0	0.0061252102684121994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0076616467887773935
monde	0.01120584230292202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005952118790700601	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005459311072165268
beaucoup	0.011188495797809136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0047755371692830405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
point	0.011032377251793195	0.0	0.0	0.02648493493229084	0.0	0.0	0.005535316379584763	0.004437649956472812	0.006543555541573599	0.0	0.004883016867335407	0.002975025444296563	0.0	0.018066870999572122	0.0044860239116470855	0.01069492720157507	0.01179331529291304	0.006736933608605889	0.0	0.0	0.0	0.006433620091782379	0.0	0.0	0.0
grand	0.009965567187350928	0.008612657652539484	0.0	0.0	0.010335636185606267	0.0	0.009921126162770135	0.008938998237679682	0.004907666656180199	0.0	0.0	0.01239593935123568	0.0	0.004470873828796968	0.00525268850624728	0.0	0.0	0.012360099967401934	0.005137307350974339	0.0	0.004211603129863205	0.0	0.0	0.0	0.006513950711106286
plaisir	0.009601290579980399	0.0	0.02055025558083014	0.0	0.003064425465556946	0.0	0.0	0.0	0.005190801270959827	0.0034544136066978707	0.0	0.0	0.007219471947194719	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
trouver	0.009367112760956486	0.0034087035564140437	0.004904038263607193	0.0	0.006056320150864023	0.0	0.0	0.00254793298936238	0.009085475194261805	0.006500098885885688	0.0048760411289535	0.0	0.0	0.0	0.015985992830650008	0.007158309229236042	0.003912820887881226	0.0	0.0	0.0	0.00657314803730588	0.005334297392613142	0.006482534796573876	0.0	0.0
toujours	0.008465094495086603	0.0	0.0	0.0036011763255674716	0.0	0.0	0.0	0.0	0.010035549123855665	0.0	0.0	0.0	0.0	0.010094394816580655	0.0	0.0	0.003766547209829591	0.0	0.0	0.004894391842680262	0.0	0.009790612226829377	0.0	0.0	0.003256975355553143
homme	0.008256936433732013	0.0	0.0	0.0038741261204148837	0.0	0.0	0.018622006861670145	0.0	0.008393368358133828	0.009532599380315117	0.0	0.0	0.006371470480381372	0.02104454282695448	0.010256729035867471	0.0	0.033917209098222774	0.016625013582527437	0.004412334537454846	0.0	0.0	0.0	0.0	0.0	0.0168897436295113
souvent	0.007927352836587248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
beau	0.007814600553353514	0.00645381206681059	0.00547487869640803	0.0	0.010516963136230939	0.0	0.0	0.0	0.005461352125082581	0.0	0.0	0.0037840235914298388	0.007952878621195453	0.0	0.0	0.0	0.0	0.00709007932196023	0.00458732797520093	0.012323379461034232	0.0	0.0	0.0	0.010352489647510352	0.0
paraître	0.00771919477523266	0.0	0.0	0.0	0.0	0.0	0.0	0.0033547784359938	0.0	0.0	0.005294585431867963	0.0	0.0	0.0	0.005615300138828453	0.004654723997958242	0.0	0.0	0.0	0.0	0.0	0.0	0.012647216274089936	0.0	0.0
petit	0.007250839137184836	0.003272355414157482	0.0	0.0	0.027924350396199386	0.0	0.0	0.0035883389600186847	0.005580897851322868	0.0	0.0	0.0	0.007425742574257425	0.0	0.0	0.0	0.0	0.0	0.0070622351661812684	0.0	0.004135424261881183	0.0	0.0	0.008105241894758105	0.0
jamais	0.006981968307935159	0.0	0.0037623573980055183	0.008047616531952736	0.0	0.0	0.0	0.0	0.011583351684650958	0.010785153932362054	0.003627383958592017	0.0	0.0	0.0083304953763131	0.0	0.0	0.0035471366927521393	0.0	0.0	0.0	0.0	0.009119213799819977	0.00546205835117773	0.0	0.0
parler	0.006721770731241923	0.004294966481081695	0.0	0.0	0.0	0.0	0.0	0.0	0.014823670053795576	0.0	0.0	0.0	0.0	0.0	0.0	0.007547215672929681	0.0	0.0	0.00552479282026924	0.0	0.0	0.0	0.014152837259100642	0.0	0.0
goût	0.006617691700564629	0.004726735598227474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0037548354421537036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
air	0.006530959175000217	0.0	0.0	0.0	0.008050916607735407	0.0	0.0	0.003736968384398157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0053313911143481425	0.0	0.0	0.007344084582441113	0.0	0.0
fort	0.006513612669887334	0.0	0.0	0.0	0.004913960361928593	0.0	0.0	0.0	0.006285588448107717	0.0	0.0	0.0	0.0	0.0	0.00450674457636601	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005655994344005656	0.0
aimer	0.006322801113645628	0.0	0.009885918404414499	0.020726574744219628	0.0	0.0	0.0	0.0	0.014597162361971875	0.0	0.0	0.0	0.0	0.0	0.0	0.004764103935247077	0.0	0.0	0.005087309225904029	0.006496722505462491	0.0	0.0	0.0	0.0	0.0
jour	0.006210048830411893	0.0	0.0038401992752056325	0.0	0.004224917949554843	0.004389830952235497	0.0	0.0	0.0	0.0	0.0	0.003235992588533104	0.0	0.0	0.009604028097221358	0.011375513478038939	0.0	0.0	0.010174618451808058	0.005914056809905316	0.00605077865685773	0.0174637371069368	0.0	0.0	0.0
donner	0.005906484990936451	0.004044994886944665	0.0	0.0	0.011187872853542223	0.0	0.003996746012096346	0.0	0.008657627331928147	0.0	0.005685226781254796	0.0	0.004308764209754309	0.01003326958845257	0.008650877520150847	0.007024622639216354	0.006070357639142836	0.0	0.010787095483919353	0.0	0.0	0.0	0.006273420770877944	0.0028784971215028783	0.00449772787195434
société	0.005802405960259157	0.0	0.0	0.0	0.0	0.0	0.005075513741025006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0044613471805748555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mari	0.0057243466872511865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010887091734059972	0.0	0.0	0.0	0.0	0.0	0.0
joli	0.0054728223631143914	0.0	0.0	0.0	0.0038078659631180984	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005798496516318298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008862741137258863	0.0
plaire	0.005282010806872685	0.0	0.003286657037338154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aimable	0.005273337554316244	0.0	0.005172160285074253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
conversation	0.005151912018526068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
assez	0.005134565513413185	0.0	0.0	0.0034779086762815434	0.003263885111244084	0.0	0.0	0.0	0.007871142290873628	0.0	0.005838693025656766	0.0	0.0	0.0	0.004175213940863223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
voir	0.0050044667250665675	0.0	0.008657746564146031	0.0	0.00835917242379735	0.012759309845265004	0.0	0.003078752362146209	0.03197533582911253	0.0	0.0	0.0	0.004583791712504583	0.009884822605855798	0.008733760179026544	0.011399820130769792	0.005009873473268485	0.0	0.017849330650100623	0.005564457392571012	0.005854890139189674	0.0068541663592498045	0.021128881156316916	0.0	0.0
ami	0.004839674926494185	0.0	0.0	0.00990543610333351	0.0	0.0	0.0	0.0	0.01535847988171265	0.0	0.0	0.0	0.003369086908690869	0.0	0.003999088290752367	0.016042390802362607	0.0	0.0	0.0	0.0	0.0	0.014032964924965693	0.0	0.0	0.0
temps	0.004770288906042655	0.006681058970571526	0.00467051263200685	0.0	0.0036084063174309598	0.0	0.003766844692816468	0.002845191838121324	0.0	0.0	0.004799308006752515	0.0	0.0	0.0	0.010816186983278424	0.0	0.0	0.0	0.0	0.0	0.004135424261881183	0.012166329737785713	0.005788276231263384	0.0	0.0
passer	0.004770288906042655	0.0	0.0	0.0	0.0029918946853070773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00966619009137813	0.0	0.0	0.0	0.0	0.0	0.012928642166091698	0.005998317814930131	0.0	0.0	0.0
