	id	Ranked topics
0	Abbes_Voyage	[(0.19462552525858146, 3), (0.09694947676072796, 8), (0.0911367172255846, 0), (0.08800179512688018, 15), (0.08151915622483367, 18), (0.07343048076343578, 2), (0.056686811562071726, 17), (0.048666915171090765, 19), (0.04081803349535301, 5), (0.04018933567203767, 4)]
1	Anonym_Suzon	[(0.12263488669629755, 13), (0.09108687941858648, 19), (0.07096730582540728, 15), (0.06887750022200764, 8), (0.0655801968458537, 18), (0.06496864544350174, 0), (0.06350429786031024, 17), (0.05670728764848852, 11), (0.056003281340002216, 6), (0.05278218673175775, 16)]
2	Anonyme_Etourdi	[(0.14087589797430353, 17), (0.1364598205527204, 18), (0.10711011039211778, 8), (0.08802109648676179, 5), (0.06669406477505349, 2), (0.0632159540998165, 15), (0.06076878722889328, 13), (0.054866194000893855, 19), (0.0452456053406906, 1), (0.040137614879037005, 11)]
3	Anonyme_Zoloe	[(0.15545135526249576, 17), (0.12823401995569156, 18), (0.09589777223470088, 15), (0.05984348731679009, 11), (0.05421636845259032, 14), (0.05331838406322746, 3), (0.04811853329951706, 2), (0.0477924900501808, 4), (0.044898762661281386, 19), (0.03854916988067269, 8)]
4	Arnaud_Sentiment	[(0.2384897969045666, 2), (0.15858947752923494, 5), (0.08619184485593849, 8), (0.07976442915288272, 1), (0.07552786647698362, 14), (0.04694303362835586, 17), (0.04300662767162322, 11), (0.03759200064879722, 12), (0.03478003052390826, 10), (0.03264727705068097, 9)]
5	Beauharnais_Lettres	[(0.2638216623511789, 5), (0.2266118442536507, 2), (0.13119873764614234, 8), (0.0532183960190616, 7), (0.047009589601259456, 14), (0.04672091325431524, 1), (0.041063473999699264, 19), (0.03637924944638257, 11), (0.0228255698467628, 0), (0.022318203049763726, 17)]
6	Beaumont_Clarice	[(0.1723760570747953, 1), (0.10789024774860136, 11), (0.091091292757699, 13), (0.07583878431226941, 17), (0.07020867739298843, 9), (0.059924722851752266, 5), (0.053510656154425865, 2), (0.048168178867388584, 10), (0.042757152907463764, 8), (0.04066546795839479, 19)]
7	Beckford_Vathek	[(0.28710787376851515, 4), (0.11968807192249313, 15), (0.08084105723402077, 2), (0.06644665643115066, 9), (0.06455923107235602, 16), (0.056115514347678655, 18), (0.050108907422677984, 17), (0.04290219610027954, 14), (0.035539010967254016, 19), (0.034159628664395036, 13)]
8	Benoist_Elisabeth3	[(0.167123698160877, 7), (0.1572912254768734, 5), (0.11617052668522135, 2), (0.11364860433792187, 8), (0.08381954627714905, 19), (0.04689650250758362, 0), (0.044489006585674576, 1), (0.04009390906080077, 13), (0.037002706113116283, 3), (0.035144525987911665, 18)]
9	Benouville_Pensees	[(0.1522824967501519, 10), (0.12701509391770258, 8), (0.12408888630521928, 0), (0.12198027957297132, 5), (0.055839647862864585, 19), (0.052432578481403834, 2), (0.05121974768697929, 18), (0.0497728008952164, 13), (0.04005961091009181, 11), (0.039293053185934686, 3)]
10	Bernardin_Paul	[(0.2947012531552814, 4), (0.08404273063688743, 3), (0.06805522481042847, 11), (0.060904471049674384, 10), (0.05851830958540336, 2), (0.057452698840960464, 1), (0.04912919291596345, 0), (0.04687244985738979, 5), (0.0468111391626156, 19), (0.0444417618144397, 15)]
11	Berquin_Enfants	[(0.1848604146558292, 1), (0.15572228027367688, 16), (0.1382750827559352, 15), (0.11202576521932768, 19), (0.08482221105700903, 4), (0.057325890055738626, 18), (0.03696322311284821, 0), (0.03038552823091535, 5), (0.02769814582781833, 2), (0.025219718399581745, 17)]
12	Cazotte_Diable	[(0.19423153123398126, 15), (0.10085013415961773, 8), (0.06908844438734907, 18), (0.06811554294168218, 2), (0.0663095079615059, 5), (0.05793849154009216, 17), (0.055065509220095794, 14), (0.0539275764309204, 4), (0.04727505403134099, 0), (0.04549356166287764, 13)]
13	Charriere_Femmes	[(0.11748640222248792, 19), (0.08388087652715627, 15), (0.08285057165721857, 0), (0.07758847560961142, 18), (0.07357909682995323, 8), (0.07356330718237009, 1), (0.06461371009334549, 11), (0.060643820921552426, 5), (0.05352151737336752, 2), (0.04957143588848728, 7)]
14	Charriere_Lausanne	[(0.1934627871056888, 19), (0.11926245955536816, 1), (0.09182168415852122, 8), (0.07524496115142335, 5), (0.06296013027206558, 15), (0.06224076099718466, 18), (0.06107338983355017, 2), (0.06077061340665781, 0), (0.05582039027498262, 11), (0.03941670858791372, 3)]
15	Constant_Laure1	[(0.2675781343999442, 8), (0.1633931954291343, 19), (0.08684665869716346, 5), (0.0519305629850718, 11), (0.05049888638205143, 4), (0.04889224629927709, 3), (0.04099684261250111, 18), (0.03936379708694812, 1), (0.03840991267819749, 2), (0.0381504857947564, 0)]
16	Constant_Laure2	[(0.2454431659207115, 19), (0.2340008937489621, 8), (0.06094876098163425, 18), (0.05653471419246917, 15), (0.05631108582830025, 5), (0.053691692196088686, 1), (0.0498635796903017, 2), (0.03347308738606294, 3), (0.033412110433346395, 0), (0.032511658151127866, 7)]
17	Cottin_Claire	[(0.22755731019069755, 5), (0.1897609763394575, 2), (0.0800854732619101, 8), (0.06554128363274851, 19), (0.061474289523462775, 17), (0.05659086102006052, 15), (0.051731576121693885, 0), (0.04495003717143742, 1), (0.03776764323426159, 10), (0.03603271354142402, 14)]
