	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
homme	0.039354187689202826	0.008243763269639066	0.0	0.004970204793255094	0.0	0.004825402916346892	0.006563145841479082	0.0	0.0	0.0	0.03790166706934042	0.026556482670089858	0.0	0.0	0.022019221619564183	0.0	0.01904788387742617	0.0	0.019757614415563705	0.006430222043604944
enfant	0.02678537214678946	0.045912951167728235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chose	0.015596060749275121	0.0	0.0	0.0	0.0	0.0	0.0	0.006357760889244437	0.0	0.0	0.0073387291616332445	0.0	0.0	0.013202189080924529	0.0	0.0	0.006312218452811301	0.0	0.00712804975283049	0.014367527378679796
nature	0.014101597925634509	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021291374728195218	0.0	0.0	0.0	0.0	0.0	0.0	0.007572614107883817	0.0	0.0
raison	0.01039737383285008	0.0	0.0	0.0	0.0	0.008643514965464312	0.0	0.004189385486621335	0.006214286474350107	0.0	0.010615486832568253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005210202236224541
besoin	0.010001405050517952	0.0	0.0	0.0	0.0	0.004710283960092095	0.0	0.0	0.0	0.0	0.0	0.006117618741976893	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0050523173199753125
seul	0.009822580439142152	0.0	0.011282480976645849	0.0	0.0031907961261038583	0.01924405218726017	0.0	0.0	0.006022750247400959	0.0	0.008003140855279053	0.004312419768934531	0.0	0.009854625467812612	0.0	0.004455926963438175	0.0	0.0	0.0	0.006889523618148153
âge	0.009477704402917396	0.007165605095541401	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
objet	0.00900509650142421	0.0	0.0	0.0	0.0	0.004863775901765157	0.0	0.0	0.004905455590197601	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005878284923928077	0.0	0.0
grand	0.00864744727867261	0.008525743099787686	0.0	0.01137162039085066	0.00552771723254612	0.0	0.0	0.0	0.005107632718643924	0.014868374153470136	0.0070518241121043735	0.009066110397946085	0.012873045141023014	0.011340341902845429	0.0	0.009086026967792501	0.016322785162115567	0.0	0.009663530537394355	0.018960543124111898
vie	0.008532488599931025	0.0	0.01970049787113809	0.0	0.0	0.009487720644666155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007878960890665145	0.0	0.0	0.0	0.0	0.010707467956538588
soin	0.008174839377179425	0.0	0.004939739080448571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0046734595635430035	0.0	0.006732740300528463	0.0	0.0	0.0	0.0	0.0	0.0
esprit	0.008098200258018369	0.0	0.0	0.014832548335892164	0.0	0.0	0.0	0.0	0.012258318524745416	0.0	0.007414230490456632	0.0	0.0	0.003968179339138285	0.0	0.0	0.0	0.0	0.00475203316855366	0.0
propre	0.00793214883316941	0.0	0.0	0.0	0.0	0.0042689946277820415	0.0	0.0	0.005160837226129798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
goût	0.007855509714008354	0.0	0.0	0.007832626401936037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005214479349386063	0.0
état	0.0074595409316762255	0.0	0.008797996823757514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009046052631578948	0.0	0.011321535365693115	0.0	0.0	0.0	0.0	0.0	0.0
naturel	0.007446767745149382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003883929046468817	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
force	0.007421221372095697	0.0	0.004647446827167591	0.0	0.0	0.004441673062164237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sen|sens	0.0073701286259883255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0037863070539419087	0.0	0.0
idée	0.0072807163203004255	0.0	0.0	0.0037731921205339716	0.0	0.0	0.0	0.004294646428496242	0.009725783968417804	0.0	0.005874003382459531	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
maître	0.007267943133773582	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0035134171801008197	0.0	0.005335365853658537	0.0	0.0	0.0	0.0	0.046688170847005175	0.0	0.0	0.0
corps	0.007229623574193054	0.0	0.0	0.0	0.0	0.0	0.004021672345416969	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
usage	0.006616510620904597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bon	0.006565417874797226	0.023553609341825904	0.0	0.0054386010564937935	0.0	0.0	0.0	0.006168291193869603	0.0	0.0	0.004998187968108239	0.004452824133504493	0.0	0.0	0.0	0.0	0.014404093209498916	0.0	0.024158826343485887	0.017195102696961433
effet	0.006118356346357726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005065069112655224	0.0	0.0	0.0	0.0	0.005303443476952589	0.00422495004282044	0.004543013483896251	0.0	0.0	0.0	0.0
manière	0.006028944040669826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005203400832118497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
exemple	0.00600339766761614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
lieu	0.005850119429294026	0.0	0.0	0.0	0.008651102172887221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0036517301865731143	0.005368087152473769
art	0.005760707123606126	0.0	0.0	0.007598428270316688	0.0	0.0	0.0	0.0	0.0	0.0034879576353174803	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
leçon	0.00564574844486454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
élève	0.0054924702065424266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
éducation	0.0054030579008545266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mal	0.005185913729898198	0.0	0.004949482155557937	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005692800193283402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
commun	0.005045408678102927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
espèce	0.005007089118522398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004586228545282356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gens	0.004955996372415027	0.0	0.0	0.006349371568346821	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013920089858793325	0.0	0.0	0.0	0.0	0.005561425949613481	0.0	0.009217030776590656	0.005683856984972226
contraire	0.004943223185888183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sûr	0.004879357253253969	0.0	0.0	0.0	0.0	0.0	0.0	0.008147196901117872	0.0	0.0	0.0	0.0	0.0	0.007710680232448799	0.0	0.0	0.0	0.0	0.0	0.0
vrai	0.004700532641878169	0.0	0.0	0.0	0.0	0.005276285495011512	0.0	0.003936759226121555	0.0	0.0	0.0045753805266972696	0.0	0.0	0.0	0.0	0.0	0.0046994049274233915	0.0	0.0	0.0
point	0.004649439895770798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
moyen	0.004623893522717112	0.0	0.0	0.0	0.0	0.0	0.0	0.004294646428496242	0.0	0.0	0.0	0.003911264441591784	0.0	0.007503808323773344	0.004301075268817204	0.0	0.0	0.0	0.0	0.0
jeune	0.004598347149663427	0.023205281316348195	0.0	0.0	0.0	0.0	0.006423504440596548	0.0	0.0	0.0	0.0	0.0	0.015194973707573585	0.009309235890395501	0.0	0.0	0.0	0.008056708160442601	0.016488598309679477	0.0
utile	0.004572800776609741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005395539152759948	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
expérience	0.004534481217029212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sexe	0.004508934843975527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0036836230266305216	0.0
général	0.004419522538287627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sorte	0.004393976165233941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
humain	0.004355656605653412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007988040589514375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
peine	0.0041001928751165555	0.0	0.00838878766916414	0.0	0.0	0.007041442824251727	0.0	0.0	0.00461815124977388	0.0	0.0	0.0	0.0	0.008688620164369134	0.0	0.005341306588095273	0.0	0.0	0.0	0.00965968623961189
habitude	0.004087419688589712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
père	0.0	0.09112924628450106	0.009538470532069332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fille	0.0	0.07593550955414012	0.0	0.0	0.0	0.0	0.027732782215271184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011114282995527643	0.0	0.0	0.0	0.0	0.0
mère	0.0	0.07049495753715498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fil|fils	0.0	0.0340697983014862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0062968108238705	0.0	0.006419449566345694	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cher	0.0	0.027899416135881105	0.0	0.0	0.0	0.0	0.0	0.021220605881981432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004633471645919779	0.0	0.0
sœur	0.0	0.025958731422505307	0.0	0.0	0.0	0.0	0.0	0.009052441001242079	0.0	0.0	0.0	0.0	0.0	0.007767099843905742	0.0	0.0	0.0	0.0	0.0	0.0
frère	0.0	0.025494294055201698	0.0	0.0	0.0	0.0	0.0	0.005705143049620008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
femme	0.0	0.022342754777070064	0.0	0.0	0.0	0.004038756715272448	0.011338881751661733	0.007662996568493295	0.005309809847090246	0.0	0.0	0.0	0.0	0.0	0.012579693595965363	0.0	0.003976419553973639	0.0	0.0627970020730346	0.008210015644959883
mari	0.0	0.01534302016985138	0.0	0.0	0.0	0.0	0.0	0.0045893770657459846	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008579173975442514	0.0
saint	0.0	0.014132165605095542	0.0	0.0	0.0	0.0	0.00572529743618388	0.0	0.0	0.0	0.0034126600628171058	0.0	0.0	0.009948658153574182	0.0	0.0	0.0	0.0	0.0	0.0
famille	0.0	0.013916533970276009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010470154043645699	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
petit	0.0	0.013253052016985139	0.0	0.005933019334356866	0.007527582410174595	0.0	0.013908283527900352	0.004105176733121408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009013454867410772	0.01715699905455759	0.0	0.022277148780098868	0.010994531440628095
mariage	0.0	0.011163083864118895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jour	0.0	0.010881104033970275	0.019369233317419646	0.0	0.006134417904410939	0.0	0.004887449030888678	0.009852424159491379	0.00633133639081903	0.0	0.0	0.006799582798459563	0.0058048214163764255	0.02104451507343953	0.006794176420211248	0.0	0.0	0.008869294605809128	0.0	0.03216546339222919
ami	0.0	0.010864516985138004	0.007404737083118174	0.0	0.0	0.022198772064466615	0.004887449030888678	0.024715269152228374	0.007576321865988486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03276829670881715
