	id	author	decade	gender	narration	0	1	2	3	4	5	6	7	8	9
0	Abbes_Voyage	Abbes	1750s	M	autodiegetic	0.07506782429740684	0.09870381075929725	0.048697467745089595	0.2811985358440782	0.2054636995877642	0.050029546488706396	0.03910444993285301	0.11364955736978612	0.04600195230690322	0.04208315566811466
1	AndreSerieys_Comte	AndreSerieys	1800s	M	autodiegetic	0.15251633712277624	0.12857797705167293	0.10215065692773868	0.06060743076395572	0.09690917883706189	0.0735169317674928	0.09661586749337187	0.16175592635041064	0.06106319726868212	0.06628649641683673
2	Anonym_Enfant	Anonym	1800s	U	autodiegetic	0.026310492311173758	0.07630495573452699	0.1861829828914703	0.12375943428046775	0.034045409923728696	0.057342730480587085	0.0863629900843655	0.2658705275128482	0.08201716340343139	0.06180331337739999
3	Anonym_Histoire	Anonym	1750s	U	heterodiegetic	0.11721346532240008	0.17952718205887733	0.042873746225165925	0.036016148875082886	0.2860846645282639	0.057219383401928274	0.08233112897992642	0.07754313080091477	0.087636258672605	0.03355489113483498
4	Anonym_Suzon	Anonym	1770s	U	autodiegetic	0.035602561225875434	0.1707670733602438	0.1522309737414082	0.11906806056321856	0.09019680229765345	0.045228651141197895	0.0915594944397043	0.1521223962136652	0.08043525300357314	0.06278873401345948
5	Anonyme_Venus	Anonyme	1780s	U	autodiegetic	0.04155775098902204	0.11651485178722136	0.19119713694337553	0.20251679445735307	0.04953494814296565	0.02962906772270733	0.04549321735548032	0.1542161207045118	0.08236291402328831	0.08697719787407404
6	Anonyme_Zoloe	Anonyme	1800s	U	heterodiegetic	0.07830810244756628	0.09353957867926536	0.09541498593513481	0.24769125626170785	0.09170006551969621	0.11422755977135443	0.042625059532743675	0.10682640195059351	0.08230560873910912	0.04736138116282828
7	Arnaud_Adelson	Arnaud	1770s	M	heterodiegetic	0.01739191485913595	0.07979257691445317	0.0042537755428286314	0.03914511535746312	0.0314777852490118	0.34381407489783794	0.06292990534361428	0.09918705306515044	0.2666464932547849	0.05536130551571927
8	Arnaud_Anne	Arnaud	1770s	M	heterodiegetic	0.01231888639459298	0.08855821730467865	0.008329005533070725	0.029626781202325425	0.049456293956872635	0.37211410330096983	0.14601556433423096	0.04075119315287148	0.21899393081282267	0.03383602400756404
9	Arnaud_Bal	Arnaud	1750s	M	homodiegetic	0.013295389623762734	0.14760272999853422	0.026533877270122824	0.15585822427475785	0.028963245860379003	0.11991161843493331	0.04275309172171999	0.09707141929297386	0.2983765714837386	0.06963383203907718
10	Arnaud_Batilde	Arnaud	1770s	M	heterodiegetic	0.07582768748044288	0.1113655975888866	0.003791126418277469	0.015364934227568256	0.049406746279772575	0.2174428251323497	0.054137400849910255	0.04771022597773381	0.3997884595936325	0.025164996451425403
11	Arnaud_Clary	Arnaud	1770s	M	mixed	0.022662673722923566	0.07862720314042991	0.006349724105389451	0.05298911195630356	0.07961918112291713	0.27495975336895545	0.10632062443998445	0.0793985592867891	0.25355971508995395	0.04551345376635287
12	Arnaud_Epoux	Arnaud	1700s	M	autodiegetic	0.008840355901255344	0.1153989914010127	0.007473436816623628	0.027751209769985755	0.053652896499897816	0.2883633865808085	0.08993824033075042	0.05968533330232204	0.30925120840554116	0.03964494099180203
