	0	1	2	3	4	5	6	7	8	9
0	roi	croire	petit	beau	homme	mort	père	voir	cœur	ami
1	prince	moins	mettre	femme	point	malheureux	fille	heure	amour	voir
2	peuple	point	là	voir	nature	voir	mère	entendre	aimer	lettre
3	terre	femme	saint	plaisir	grand	vie	enfant	porte	point	parler
4	grand	donner	bon	jeune	esprit	œil	jeune	main	sentiment	écrire
5	ville	encore	maître	œil	loi	dieu	fil|fils	passer	bonheur	croire
6	pays	paraître	beau	air	vertu	ciel	homme	sortir	âme	cher
7	ennemi	temps	fille	petit	dieu	main	jour	nuit	heureux	comte
8	soleil	assez	homme	esprit	raison	larme	bon	entrer	jamais	aimer
9	troupe	mettre	donner	bon	toujours	mourir	donner	arriver	seul	bon
10	palais	laisser	grand	paraître	chose	douleur	voir	répondre	voir	encore
11	porter	voir	voir	goût	donner	crime	frère	chambre	tendre	chose
12	montagne	répondre	manger	monde	jamais	point	maison	moment	plaisir	femme
13	mer	cependant	femme	grand	mal	affreux	famille	paraître	sentir	jour
14	arme	jamais	coup	jouer	moins	bras	femme	apercevoir	encore	jamais
15	princesse	fort	fort	grâce	monde	cœur	ami	œil	toujours	puis
16	voir	autant	encore	joli	bon	encore	sœur	temps	jour	donner
17	guerre	homme	foutre	donner	enfant	homme	fortune	bras	ami	là
18	milieu	connaître	foi|fois	beauté	vérité	malheur	apprendre	lever	doux	toujours
19	beau	seul	voilà	charmant	religion	cruel	petit	mettre	œil	penser
20	élever	penser	gros	beaucoup	humain	tomber	saint	arrêter	objet	grand
21	eau	effet	tenir	plaire	voir	écrier	nom	jour	passion	beaucoup
22	jour	moyen	main	agréable	idée	père	connaître	rester	amant	voilà
23	couvrir	demander	tête	dame	seul	jour	grand	maison	amitié	chère
24	trône	tant	diable	rire	vie	sang	pauvre	jeter	vertu	ici
25	nouveau	raison	cul	encore	état	horreur	mariage	regarder	vie	répondre
26	arbre	beaucoup	plaisir	figure	société	ami	demander	encore	tendresse	petit
27	bord	grand	servir	nouveau	principe	dernier	passer	attendre	connaître	adieu
28	cour	toujours	vin	homme	besoin	infortuné	temps	chercher	croire	entendre
29	tête	craindre	joli	aimable	vice	jeter	vivre	lit	moment	moment
30	gloire	personne	bouche	assez	âme	sein	oncle	demander	cher	heure
31	soldat	part	pied	jeu	devenir	coup	personne	mot	temps	point
32	temps	chose	chose	entendre	sage	seul	parent|parents	laisser	éprouver	recevoir
33	pied	honneur	dieu	spectacle	naître	désespoir	soin	conduire	peine	fort
34	vent	mieux	vieux	talent	vrai	coupable	beau	revenir	foi|fois	demander
35	vaisseau	permettre	con	gens	exemple	âme	malheur	près	jouir	monde
36	chef	assurer	messieurs	amour	livre	vivre	voilà	donner	charme	sœur
37	souverain	état	garçon	personne	connaître	perdre	parler	reprendre	désir	personne
38	patrie	juger	mieux	amuser	propre	arracher	nouveau	grand	moins	lire
39	temple	avouer	boire	fleur	ouvrage	laisser	ici	écrier	idée	comment
40	bois	doute	bout	amant	peuple	voix	âge	suivre	sembler	marquis
41	lieu	conduite	payer	art	mœurs	instant	époux	cependant	vivre	mieux
42	rocher	tromper	jour	tête	espèce	mot	revenir	côté	laisser	passer
43	vieillard	douter	comment	point	là	entendre	argent	pied	oublier	marquise
44	feu	attendre	baiser	fort	utile	oser	partir	tête	craindre	foi|fois
45	côté	devenir	corps	sembler	mieux	moment	là	ouvrir	instant	mal
46	sembler	parti	duc	sourire	servir	pied	cher	coup	vif	cousin
47	joie	intérêt	moine	jour	droit	mal	ville	là	adorer	temps
48	armer	ailleurs	eau	ton	naturel	héler	ainsi	alors	combien	hier
49	donner	propre	passer	moins	objet	jamais	mettre	ici	inspirer	mari
