	0	1	2	3	4	5	6	7	8	9
roi	0.014072429197856557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prince	0.00864641804626152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
peuple	0.008182080307960771	0.0	0.0	0.0	0.002897836010985083	0.0	0.0	0.0	0.0	0.0
terre	0.007713997910480178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grand	0.007324553355776324	0.0036562979016248904	0.004990567322091915	0.0048792265106512	0.006910920385292295	0.0	0.005280518141457823	0.004106411754986139	0.0	0.0063312918759291705
ville	0.004871801592978015	0.0	0.0	0.0	0.0	0.0	0.003235881496163491	0.0	0.0	0.0
pays	0.004160316348807513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ennemi	0.004081678506030774	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
soleil	0.004025508618333102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
troupe	0.00397682804899512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
palais	0.003924402820477294	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
porter	0.0038307863409811757	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
montagne	0.0037895950900028834	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mer	0.0036997232696866097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
arme	0.0036098514493703355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
princesse	0.0035087456515145274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
voir	0.003441341786277322	0.0054078883827990785	0.0049711185016628745	0.010530482532481388	0.0038298488419966793	0.009475331614778985	0.009347267894950223	0.013100534669906102	0.007594357045086481	0.01983504904220936
guerre	0.003441341786277322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
milieu	0.0033439806476013587	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
beau	0.003336491329241669	0.0	0.006713732812104946	0.01506159391809188	0.0	0.0	0.003731399312281334	0.0	0.0	0.0
élever	0.003310278714982756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
eau	0.003310278714982756	0.0	0.0025088978353462865	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jour	0.0032728321231843085	0.0	0.0025789135888908336	0.0026950848390248283	0.0	0.00476931572870124	0.011201705782542757	0.005008067987327854	0.006695201215364534	0.007606546758221121
couvrir	0.003220406894666482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
trône	0.0031979389395874135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
nouveau	0.0031717263253285004	0.0	0.0	0.003489573390529023	0.0	0.0	0.0035912528592379036	0.0	0.0	0.0
arbre	0.0030444079132137787	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bord	0.0029620254112571946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cour	0.002823473021602939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
tête	0.0027972604073440255	0.0	0.0036797168251745532	0.002824224320894768	0.0	0.0	0.0	0.003879977723787201	0.0	0.0
gloire	0.002778537111444802	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
soldat	0.002759813815545578	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
temps	0.0027223672237471305	0.0072166873907359205	0.0	0.0	0.0	0.0	0.004382079272840118	0.005858725563994133	0.0041097103815729875	0.004199119691779667
pied	0.0026512186993300803	0.0	0.0030729136277884745	0.0	0.0	0.00340946048889306	0.0	0.0039044570785114105	0.0	0.0
vent	0.0026137721075316332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vaisseau	0.0025763255157331857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chef	0.0024602410811579985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
souverain	0.0023591352833021904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
patrie	0.002344156646582811	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
temple	0.0023329226690432772	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bois	0.0023329226690432772	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
lieu	0.0023104547139642085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rocher	0.0022542848262665375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vieillard	0.0022393061895471583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
feu	0.0022355615303673135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
côté	0.0021756469834897977	0.0	0.0	0.0	0.0	0.0	0.0	0.004018694067224388	0.0	0.0
sembler	0.0021756469834897977	0.0	0.0	0.002745617679756544	0.0	0.0	0.0	0.0	0.0034094384621426986	0.0
joie	0.0021344557325115054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
