	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
0	plaisir	temps	fille	heure	œil	homme	comte	terre	roi	maître	père	croire	lettre	livre	saint	homme	cœur	jour	homme	femme
1	amour	mettre	foutre	voir	main	point	point	voir	prince	petit	fille	moins	ami	lire	dieu	crime	aimer	vie	nature	beau
2	cœur	donner	cul	porte	voir	enfant	milord	arbre	peuple	bon	mère	voir	voir	ouvrage	grand	malheureux	point	douleur	loi	bon
3	doux	jour	là	chambre	bras	toujours	paraître	eau	grand	homme	enfant	encore	écrire	esprit	père	mort	amour	encore	point	voir
4	œil	moyen	mettre	passer	entendre	femme	sentiment	montagne	princesse	mettre	fil|fils	point	cher	auteur	religion	horreur	jamais	temps	raison	petit
5	beau	laisser	petit	nuit	voix	voir	personne	soleil	ennemi	donner	jeune	femme	parler	grand	religieux	voir	sentiment	vivre	dieu	comte
6	bonheur	nouveau	con	sortir	écrier	donner	parler	mer	cour	grand	homme	chose	aimer	histoire	église	sang	ami	point	vertu	dame
7	amant	recevoir	plaisir	entrer	mot	grand	miss	lieu	arme	manger	frère	paraître	croire	art	prêtre	affreux	âme	cœur	humain	marquise
8	âme	passer	femme	entendre	larme	jamais	amitié	bord	guerre	là	voir	jamais	jour	talent	curé	coupable	seul	malheur	chose	joli
9	heureux	demander	décharger	arriver	jeter	moins	cœur	bois	troupe	argent	bon	penser	mère	point	point	coup	vertu	voir	peuple	là
10	aimer	paraître	bouche	maison	tomber	bon	chevalier	air	gloire	pauvre	famille	temps	sœur	pièce	voir	monstre	croire	malheureux	esprit	jeune
11	jour	attendre	beau	mettre	genou	âge	mylord	pied	palais	vin	ami	toujours	chose	genre	supérieur	punir	bonheur	ami	âme	fort
12	charme	affaire	duc	jour	regarder	gens	duc	vent	souverain	boire	femme	parler	chère	roman	bon	cruel	connaître	mort	vérité	rire
13	tendre	projet	voir	grand	moment	esprit	recevoir	milieu	donner	payer	sœur	assez	bon	théâtre	couvent	vie	lettre	seul	mal	homme
14	beauté	part	vit	lit	lever	vie	grand	temps	trône	gens	donner	aimer	adieu	goût	beau	fureur	encore	état	principe	air
15	voir	état	baiser	répondre	regard	goût	temps	couvrir	ville	voilà	jour	répondre	donner	parler	moine	vengeance	amitié	peine	seul	voilà
16	nouveau	ordre	foi|fois	demander	coup	besoin	donner	là	porter	tête	voilà	là	toujours	jouer	monde	victime	voir	mourir	religion	croire
17	désir	servir	placer	attendre	reprendre	souvent	connaître	apercevoir	soldat	point	là	donner	encore	écrire	croire	ciel	passion	mal	idée	ami
18	encore	connaître	joli	donner	dieu	monde	duchesse	élever	sujet	jour	nom	raison	puis	homme	chrétien	mourir	cher	âme	grand	mari
19	jouir	fort	jeune	soir	tête	vivre	vif	rocher	patrie	fort	maison	tant	recevoir	beau	ciel	sauver	amant	moment	donner	assez
20	sembler	assurer	libertin	là	visage	société	secret	encore	général	encore	parler	sentir	petit	tableau	personne	main	adorer	perdre	corps	monde
21	objet	parti	donner	voiture	parler	état	inspirer	côté	reine	pain	époux	autant	jamais	génie	répondre	dieu	puis	larme	sage	chevalier
22	vif	assez	main	matin	parole	soin	idée	beau	chef	chose	connaître	beaucoup	ici	spectacle	parler	scélérat	oser	dernier	lumière	beaucoup
23	toujours	fortune	coup	femme	encore	apprendre	intérêt	oiseau	tête	ville	ici	cependant	beaucoup	musique	entendre	barbare	tendresse	quitter	terre	mieux
24	sentiment	partir	homme	paraître	pied	connaître	œil	grand	esclave	tirer	vieillard	homme	amitié	voir	cher	malheur	toujours	rester	là	jouer
25	charmant	offrir	branler	rester	instant	propre	caractère	fleur	armer	eau	pauvre	fort	grand	portrait	prière	tomber	moins	triste	monde	marquis
26	feu	charger	gros	revenir	répondre	plaisir	nom	petit	combat	comment	mariage	craindre	penser	temps	demander	horrible	digne	laisser	ordre	parler
27	nature	fille	fesse	partir	cri	mieux	objet	nature	fil|fils	servir	petit	plaire	cousin	nom	livre	infortuné	femme	sentir	droit	chose
28	délicieux	promettre	ange	moment	mouvement	devenir	esprit	autour	armée	capitaine	beau	mieux	lire	siècle	foi	croire	craindre	toujours	naître	encore
29	jeune	service	tenir	temps	tenir	beaucoup	marquis	vaste	sang	mauvais	oncle	vérité	moment	lecture	dévot	venger	heureux	souffrir	action	mettre
30	aimable	obtenir	encore	monter	saisir	éducation	désir	forêt	pays	beau	jamais	grand	hier	français	jour	oser	mériter	heureux	sen|sens	donner
