	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
main	0.02663768597099164	0.004530058105912483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006832382613426352	0.0	0.0	0.0	0.0	0.0	0.004859183626396439	0.003950328603567696	0.0037357956129492713	0.0	0.0	0.006126282927907394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bras	0.019193658830120558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
œil	0.018047226775672817	0.0	0.0053358443188951665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008048450713239941	0.002906797718902807	0.0	0.0	0.0	0.0	0.0	0.0	0.014179295886164175	0.016493397320621002	0.0	0.0037848963297556393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
voir	0.014462681302263814	0.0045162889323382815	0.007569643162863502	0.0	0.0	0.024662910223406363	0.020387027373432207	0.0	0.010294233651494834	0.009079359021357584	0.009320521949229157	0.008843562551577184	0.0	0.0	0.004858607253148798	0.0	0.0029985468580610935	0.006802359568475315	0.005274720372910464	0.02377709439543718	0.0	0.007873689445112096	0.016945914802102526	0.007128136486285508	0.0033576114468722557	0.009850937858322455	0.010650708279675783	0.01787482377626963	0.0063354283207621145	0.0077464940127698915
écrier	0.01440043159794991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jeter	0.012180192144087316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004192234765146848	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0039023109969195916	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mot	0.011334633660490112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008565925705225746	0.0	0.0	0.0	0.0	0.00324396921328581	0.0	0.0	0.0	0.0	0.0
larme	0.01091963563173075	0.0	0.012807656875453486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
moment	0.010836636025978877	0.0	0.00409665663902952	0.0	0.0	0.0	0.0	0.0	0.0	0.008064961608573165	0.0	0.0	0.0	0.0	0.003476208184449223	0.0	0.0	0.0	0.0	0.004107387977909488	0.0	0.0	0.009976522205310541	0.0	0.0	0.0	0.0	0.00697682043211698	0.0	0.0
entendre	0.010665449339115639	0.0	0.0	0.0	0.003645728811291725	0.0	0.0	0.0	0.0	0.0	0.005424303761010617	0.0	0.0	0.0	0.0	0.0	0.003421418850864581	0.0	0.0	0.012268959426242591	0.0	0.0	0.006143664384616806	0.0	0.0	0.0	0.0	0.009914429035113604	0.0	0.0
