	id	Ranked topics
0	Abbes_Voyage	[(0.185003652149055, 7), (0.0668283960901374, 11), (0.0574240546891845, 12), (0.05695253394041, 26), (0.0557657164132311, 17), (0.0463380972976998, 20), (0.0425163406656169, 29), (0.0415189168803016, 0), (0.0402650044449195, 27), (0.0355163104326262, 4)]
1	AndreSerieys_Comte	[(0.1027740902973662, 24), (0.0767391400387785, 26), (0.0740360418962593, 2), (0.0673524754313168, 0), (0.053029640108116, 5), (0.0457404141409818, 29), (0.0453348493289771, 28), (0.0433822159430336, 20), (0.0351708566161899, 25), (0.0330149452630671, 17)]
2	Anonym_Enfant	[(0.1318650744189233, 5), (0.0972049908067842, 16), (0.0660592868230847, 27), (0.0614135104082464, 13), (0.0541284679797935, 28), (0.0499623484052392, 24), (0.0454201305911057, 20), (0.0437038889272881, 29), (0.0378010348476655, 4), (0.0353519619497854, 2)]
3	Anonym_Histoire	[(0.1514378353714583, 17), (0.0991357299855683, 24), (0.0713730675646759, 26), (0.0504869827124056, 12), (0.0490442814331695, 22), (0.0358050896833703, 11), (0.0357480761036638, 29), (0.0337061760972196, 25), (0.0330412183284395, 8), (0.0328946181592971, 3)]
4	Anonym_Suzon	[(0.0866074159234966, 24), (0.0720062222403587, 5), (0.0599431960474979, 16), (0.0541942689685715, 0), (0.0528953994688381, 29), (0.0505402286150223, 12), (0.044057392809265, 11), (0.0425334160418273, 7), (0.0400706552490088, 2), (0.0395951757845519, 25)]
5	Anonyme_Venus	[(0.1055894789350249, 13), (0.091538327211666, 5), (0.0833990127082787, 16), (0.0635790486417891, 27), (0.0539782999264917, 15), (0.0533651530259757, 11), (0.0403117038533075, 25), (0.0366054036147986, 24), (0.0335487354724578, 29), (0.0334801213517918, 7)]
6	Anonyme_Zoloe	[(0.1129436451442601, 13), (0.0876857348703872, 27), (0.0782458706822726, 28), (0.0521075910192789, 7), (0.0478625436439193, 11), (0.0429844736722777, 8), (0.0405093668107976, 4), (0.0388442427282153, 20), (0.0370762022697555, 18), (0.0368761266485454, 1)]
7	Arnaud_Adelson	[(0.1662102938278494, 9), (0.1408213806042856, 1), (0.0803789874095374, 3), (0.0794684280907851, 4), (0.0680093342641605, 18), (0.0616886428553597, 28), (0.0495320506455353, 20), (0.0467985898941851, 24), (0.0318307839608398, 5), (0.0315863575579424, 29)]
8	Arnaud_Anne	[(0.2628104415654966, 9), (0.0807147901217639, 1), (0.0786892896890669, 14), (0.0600724155684595, 4), (0.0564600113540859, 3), (0.0541196286904256, 8), (0.0535880893675486, 18), (0.0372110871454396, 20), (0.0342676458715059, 29), (0.0297715022215696, 28)]
9	Arnaud_Bal	[(0.1301808099100042, 3), (0.1051877905031804, 11), (0.0942088241656192, 4), (0.083963699622637, 9), (0.0695051998732242, 20), (0.0471873363554785, 27), (0.0459712656226233, 24), (0.0421593993592219, 5), (0.038362971926078, 15), (0.0365149678060552, 8)]
10	Arnaud_Batilde	[(0.1945740284682318, 9), (0.1330378587472818, 3), (0.1211335224425098, 8), (0.0798043823147752, 4), (0.0706179714797759, 19), (0.0618117496204585, 20), (0.0470441102656863, 1), (0.0470026539804385, 24), (0.0314425952910544, 29), (0.0282709285882328, 14)]
11	Arnaud_Clary	[(0.1801388133269248, 9), (0.0988541472677575, 8), (0.0770643596211756, 1), (0.0701625569195169, 4), (0.0614338239736539, 3), (0.0608347830961398, 20), (0.0534175789995126, 18), (0.0440930139065865, 14), (0.02860823201814, 15), (0.0264652522481865, 5)]
12	Arnaud_Epoux	[(0.233850279099106, 9), (0.1154262656104597, 3), (0.0838421122869898, 4), (0.0575359836807544, 8), (0.0470154426609011, 20), (0.0462032801560101, 24), (0.0435808175843278, 1), (0.0430591972338031, 14), (0.0342312836521277, 29), (0.0333229774512959, 18)]
13	Arnaud_Fanny	[(0.181873727382102, 9), (0.114884262995645, 1), (0.0786943068556731, 14), (0.0717992724307226, 18), (0.0704668005403821, 8), (0.0552443949698666, 3), (0.0484636891850588, 4), (0.046984628525619, 20), (0.029460622831966, 11), (0.0282545347093489, 15)]
14	Arnaud_Julie	[(0.1871969511584783, 9), (0.0982266925971243, 8), (0.0749851302142585, 4), (0.0714510057030828, 11), (0.0557014409917083, 14), (0.0526966248011177, 3), (0.0422108611148679, 18), (0.0421065459235423, 20), (0.035353270333583, 24), (0.0314340020973027, 12)]
15	Arnaud_Lucie	[(0.3233293323697276, 9), (0.1548976241581409, 3), (0.0703632059571084, 4), (0.0588618325949486, 14), (0.0402363586944495, 1), (0.0379347494183385, 20), (0.0352072418025907, 10), (0.0304370204306525, 8), (0.0261178732066878, 29), (0.0256504375706562, 24)]
16	Arnaud_Matinees	[(0.2398941846825547, 1), (0.1448856144890008, 9), (0.0711895977179595, 4), (0.0697449423265973, 3), (0.0452976740802455, 24), (0.0445434552420452, 25), (0.0420302472525702, 20), (0.0400814798185032, 8), (0.0302307699444646, 11), (0.0271261031306955, 21)]
17	Arnaud_Nancy	[(0.1609831229333024, 9), (0.0764621667619349, 14), (0.0762984545288163, 3), (0.0646486309700026, 11), (0.064373961524874, 1), (0.058609608906033, 20), (0.0555345072991493, 24), (0.0518173476400201, 18), (0.0513424968315841, 8), (0.0360450714047673, 4)]
18	Arnaud_Sargines	[(0.1274978809807275, 19), (0.0766597951736271, 9), (0.0705681639913337, 4), (0.0645403103511819, 8), (0.0624981633075735, 20), (0.0585648528984682, 3), (0.0491108083975239, 1), (0.0448001974209823, 13), (0.0416876114435734, 27), (0.0372749476128665, 24)]
19	Arnaud_Selicourt	[(0.2032895534269957, 3), (0.1483761566313195, 9), (0.1007322388793115, 4), (0.0666323092705195, 10), (0.0591835888763377, 20), (0.0495466151959186, 1), (0.0424763968215912, 24), (0.0379179586216888, 8), (0.0304495053450591, 21), (0.0277669863967199, 29)]
20	Arnaud_Sidney	[(0.2304098944993035, 9), (0.0896170311474045, 8), (0.080038606706078, 4), (0.0559554992411146, 3), (0.052603311135775, 14), (0.035862583927108, 20), (0.035807051337097, 1), (0.0320769602305, 24), (0.030162356879274, 17), (0.0290500523152147, 26)]
21	Arnaud_Zenothemis	[(0.2192986664769896, 9), (0.102326482783667, 8), (0.0830759790159821, 3), (0.0688443095509526, 18), (0.0565376646953832, 4), (0.0452719680148072, 1), (0.0427744626870782, 17), (0.0406188803568725, 24), (0.0385789008688154, 14), (0.0343229253757192, 20)]
22	BarbeMarbois_Parisienne	[(0.1205424257857818, 11), (0.0776808115059268, 27), (0.0659035734491479, 4), (0.0556863311144115, 15), (0.0532527521853321, 10), (0.0506511638737854, 24), (0.050218675507679, 3), (0.0490748050632226, 20), (0.0413906873398304, 25), (0.0400208799768918, 29)]
23	Barthe_Femme	[(0.0991009862508565, 11), (0.0705168599144415, 3), (0.0634630411350189, 7), (0.0629212813554013, 27), (0.0567994983104693, 4), (0.049843261303501, 10), (0.0488849003940069, 20), (0.04755858209893, 13), (0.0404399055519993, 15), (0.0368037043147129, 8)]
24	Bastide_Maison	[(0.1655596630914571, 27), (0.1041195047664492, 20), (0.0998336798174018, 3), (0.072296449332205, 5), (0.0497196023189877, 25), (0.0440380151552617, 29), (0.0410730583530506, 11), (0.0376392857014465, 26), (0.0350536605372785, 4), (0.0348447904159789, 7)]
25	Beauharnais_Lettres	[(0.2295913913389199, 3), (0.1443568489833741, 9), (0.0605400874820374, 29), (0.0552370138646526, 1), (0.0506023685780074, 21), (0.0497601690787402, 8), (0.0460935282638433, 4), (0.0453816254590897, 24), (0.0360437379947659, 25), (0.0333226703703928, 18)]
26	Beaumont_Belle	[(0.1065630555000872, 5), (0.1040465203439324, 14), (0.1023819266727924, 2), (0.0921059498516257, 15), (0.0601506714976329, 9), (0.0537392343075683, 29), (0.0426657391906212, 20), (0.0398178759827729, 27), (0.0363452888879207, 24), (0.0362822292164597, 3)]
27	Beaumont_Clarice	[(0.0931839106703169, 0), (0.0790869325706816, 24), (0.078054069625344, 1), (0.0627850355261006, 14), (0.0493211401582829, 5), (0.0477711363307695, 12), (0.0440170200556473, 25), (0.0429496481495006, 15), (0.0401471483873025, 21), (0.0388291536370669, 8)]
28	Beaumont_Prince	[(0.0886594911830877, 18), (0.0859780122590386, 2), (0.0799836703707973, 19), (0.0655358075137339, 14), (0.0616666716177557, 20), (0.0485828817623967, 5), (0.048287122649767, 24), (0.0469878926523174, 27), (0.0453137914519889, 11), (0.0414426648964156, 3)]
29	Beckford_Vathek	[(0.1516522618957447, 26), (0.1173679639532153, 28), (0.0879375669855236, 2), (0.0730962917900042, 20), (0.0712112902659431, 27), (0.0477986677903136, 19), (0.0440016696284766, 5), (0.0392272707682731, 13), (0.0290996777168308, 29), (0.0284345505595844, 9)]
30	Bellin_Nuit	[(0.1875138316571886, 28), (0.0951418616198677, 20), (0.0788531430114885, 7), (0.0773886888749572, 5), (0.0580986631896575, 26), (0.0491734876512514, 15), (0.041996444974702, 22), (0.0409227774448512, 2), (0.0373915233478948, 27), (0.0295456031285127, 25)]
31	Benoist_Elisabeth	[(0.1187001382054615, 3), (0.0778747024373366, 4), (0.0720139257599603, 21), (0.0715686665478939, 24), (0.0596344360304078, 29), (0.0577696114368918, 25), (0.0572166015903473, 9), (0.0561020893398252, 1), (0.0416676566240492, 10), (0.0413538574814892, 8)]
32	Benouville_Pensees	[(0.1107450969852181, 15), (0.089185775949201, 17), (0.0763877435125897, 12), (0.0696752962037398, 6), (0.0643168038418851, 8), (0.0628644500006193, 25), (0.0508688256538376, 29), (0.0505139669335074, 3), (0.0458243634781759, 24), (0.0367025830533886, 11)]
33	Bernardin_Chaumiere	[(0.2023449038406702, 26), (0.0731694005968713, 2), (0.0662363116156906, 7), (0.0642439398027543, 17), (0.0503611251226903, 19), (0.0457538798515156, 23), (0.0424232725321267, 5), (0.0411547795564688, 28), (0.0344899842191489, 27), (0.0323022347851528, 9)]
34	Bernardin_Paul	[(0.2204251778191205, 26), (0.060852374327429, 7), (0.0509396915816733, 17), (0.0457949223190153, 29), (0.0453102165189235, 8), (0.0431530233513767, 14), (0.0428638898526006, 27), (0.0419613942492113, 28), (0.0397458383661826, 0), (0.0391760040056197, 12)]
35	Berquin_Enfants	[(0.1455019176690614, 15), (0.1037130838825062, 13), (0.0897355086815153, 14), (0.0895001010030175, 2), (0.0702621262651802, 5), (0.0626025460372321, 27), (0.0475727588138973, 29), (0.0443984406877392, 28), (0.0439885080719021, 26), (0.0395669123294524, 20)]
36	Blanchard_Philetas	[(0.2550764059371815, 27), (0.0838638222743865, 29), (0.0717637152712234, 26), (0.0682747791548319, 20), (0.0641969324485817, 3), (0.0599640440132129, 9), (0.0467430253112597, 14), (0.0442366028095937, 4), (0.0388239884468598, 23), (0.034113458362303, 28)]
37	Boismortier_Histoire	[(0.3466782472491855, 13), (0.0712289788109226, 3), (0.0613266745071525, 15), (0.0480538558964745, 29), (0.0473038948914756, 21), (0.0369821762156478, 27), (0.0337660158403752, 14), (0.0312863801078149, 20), (0.027774083736016, 28), (0.0264817909841652, 26)]
38	Boufflers_Reine	[(0.080148499645274, 19), (0.0691564889060246, 29), (0.0688701720798708, 5), (0.0638442252338861, 0), (0.0612903750058593, 8), (0.0589326348680626, 26), (0.0574977877433175, 27), (0.0477689475643429, 14), (0.0467628158807528, 15), (0.03901335035358, 7)]
39	Brument_Henriette	[(0.0909271865360749, 5), (0.0872689723059664, 24), (0.0776116400398474, 18), (0.0740226604135249, 9), (0.0708235866165221, 3), (0.0567332291140968, 20), (0.0544617175776036, 28), (0.0473375047331689, 29), (0.0447775297844989, 14), (0.0361853148770908, 15)]
40	CastilhonJL_Zingha	[(0.1791863878544366, 19), (0.1306981355094079, 18), (0.0686194470436002, 28), (0.0661982411159115, 24), (0.055275620168042, 8), (0.0479758347743202, 9), (0.0424248260692121, 25), (0.0411929556270606, 17), (0.0389622802277948, 26), (0.0383085605177111, 4)]
41	CastilhonJ_Robert	[(0.1118321784255047, 19), (0.1062293944314482, 28), (0.0723717656928523, 24), (0.05558759981797, 18), (0.0409399471860491, 3), (0.0385765898844424, 10), (0.0383053746794597, 20), (0.0379770259629836, 14), (0.0368223068917467, 5), (0.0365546562589296, 26)]
42	Cazotte_Diable	[(0.0936837096610641, 5), (0.087143061407787, 28), (0.0807418449727751, 20), (0.0668048673968768, 24), (0.0498846615154513, 11), (0.0453925806354754, 27), (0.0444063138284669, 4), (0.0376311790822657, 25), (0.0365170838777089, 3), (0.0323492945944811, 2)]
43	Cazotte_Honneur	[(0.0933286007530057, 24), (0.0889094353791149, 19), (0.0719895525792383, 20), (0.0552591803261329, 8), (0.0487724378331948, 11), (0.0480281602522211, 25), (0.0457579412190567, 28), (0.0415604739217393, 13), (0.0395813874310879, 27), (0.0393651136017559, 5)]
44	Cazotte_Ollivier	[(0.1021226187950277, 28), (0.0667566130342426, 26), (0.0637884673656292, 24), (0.0635287413159568, 19), (0.0564038924887379, 13), (0.0542029117885874, 20), (0.0527129656601658, 27), (0.0425648095254256, 2), (0.0401943598558492, 9), (0.0384423030275764, 5)]
45	Charriere_Caliste	[(0.1037223868049854, 29), (0.0968041916149728, 15), (0.0716556217967269, 1), (0.0675310704445451, 5), (0.0571077788453624, 14), (0.0552357735197049, 20), (0.0501822431463106, 21), (0.0479224470991152, 0), (0.0476009470110246, 3), (0.0458665701989702, 11)]
46	Charriere_Femmes	[(0.0989944081006622, 15), (0.0638904060749656, 5), (0.0597038080754248, 12), (0.0505516791486877, 25), (0.0481692958076008, 29), (0.0460438749494499, 14), (0.0452878318925092, 11), (0.0424151950253526, 20), (0.0403269067779429, 13), (0.0382211069373363, 0)]
47	Charriere_Lausanne	[(0.1703920566635427, 15), (0.0869385883916327, 11), (0.0683762342760318, 14), (0.0576461188145624, 20), (0.0534731487221344, 12), (0.047484835104565, 21), (0.0447891165892456, 1), (0.0395899633545844, 29), (0.0384418840114153, 0), (0.0360448696716511, 25)]
48	Charriere_Neuchateloises	[(0.2111146171203975, 15), (0.0849570441280917, 21), (0.0617344376269986, 20), (0.0605148903735387, 11), (0.0564848173462542, 5), (0.0469835085481266, 14), (0.0432945350482665, 2), (0.0424900939983994, 0), (0.0401083162329167, 13), (0.0363848223926327, 29)]
49	Charriere_Noble	[(0.0943123237404301, 5), (0.0897129533095662, 20), (0.0690203540089288, 15), (0.0649759930731995, 8), (0.0648417588161476, 3), (0.060030538455841, 14), (0.0575254880873709, 7), (0.0349201834832452, 24), (0.0336619240913824, 29), (0.0332514767184794, 12)]
50	Charriere_Observations	[(0.1008543356748296, 0), (0.096377960557022, 14), (0.0825105237516881, 19), (0.0742964246949258, 29), (0.0628355224211942, 12), (0.0515029997459894, 8), (0.0503931548213911, 11), (0.0443772617008799, 24), (0.0408482652598441, 15), (0.0368811952535027, 25)]
51	Charriere_Ruines	[(0.101909206600149, 14), (0.0922187367512822, 1), (0.082970587829762, 15), (0.0696715312795197, 29), (0.0513855823665061, 0), (0.0426164740163232, 11), (0.0406699542071611, 25), (0.0406247843356923, 12), (0.0379691625745103, 3), (0.0361782779254831, 5)]
52	Charriere_Sainte	[(0.1807119398045633, 15), (0.0803119411476997, 14), (0.0548693445080731, 21), (0.0545251372817037, 20), (0.0473941290989315, 7), (0.0449852033312377, 5), (0.0436617572704531, 29), (0.0420854836836719, 23), (0.0399347685085594, 12), (0.0384099666624628, 25)]
53	Chaussard_Diable	[(0.1299619002604966, 7), (0.1200414123854903, 17), (0.0780915731005192, 28), (0.0712208027993989, 27), (0.0581591665879807, 26), (0.0451895692121245, 8), (0.045134034748481, 0), (0.039219735800927, 4), (0.0383978818111099, 20), (0.0368873699503082, 9)]
54	Chevrier_Colporteur	[(0.1355663444627204, 7), (0.0917044102590958, 0), (0.0667306007210077, 10), (0.066510848388252, 11), (0.0484133494382893, 8), (0.048147493368014, 13), (0.0415228431130321, 5), (0.039205779650896, 25), (0.0374537402549366, 19), (0.0319597838103449, 20)]
55	Chevrier_Magakou	[(0.1492646827729442, 7), (0.1045455778691247, 11), (0.0672945906367372, 6), (0.0530420717858566, 5), (0.0511701037176505, 24), (0.0487122603848554, 20), (0.0452204613529815, 26), (0.0438671529500237, 27), (0.0357724543425049, 19), (0.0337175390197389, 3)]
56	Colombe_Plaisirs	[(0.1519667187075709, 24), (0.0951621894060968, 11), (0.0677218229595486, 3), (0.063877500879267, 7), (0.0532992609835113, 4), (0.0447106280427182, 25), (0.0416271119840098, 6), (0.0388131607058802, 13), (0.0381466281098358, 29), (0.0332636671015596, 5)]
57	Constant_Laure	[(0.2149412553235484, 15), (0.0837023686509082, 29), (0.0618844977257598, 11), (0.0597812404844287, 21), (0.0489742527619239, 24), (0.0460143646415097, 4), (0.0440156293516398, 20), (0.0432949635484948, 0), (0.0406090746933644, 5), (0.0357962396965445, 3)]
58	Constant_Mari	[(0.1364603300113096, 15), (0.0978548134326084, 29), (0.0894387907746068, 0), (0.0768619976399852, 11), (0.0535198247490605, 5), (0.0517424027712816, 4), (0.0489841406125425, 3), (0.0468857750814333, 21), (0.0425687067080069, 24), (0.0331151086351412, 17)]
59	Cottin_Claire	[(0.1546314054932939, 3), (0.0964544115388272, 9), (0.0883529397816898, 20), (0.0808225863359407, 4), (0.0540256802491206, 29), (0.0463706919468069, 28), (0.0446626744596887, 21), (0.043732547187113, 15), (0.0370143076811712, 25), (0.03647198282678, 12)]
60	Crebillon_Atheniennes	[(0.3833987013999278, 6), (0.0786091466918726, 3), (0.0658441301315508, 25), (0.0471041388388224, 8), (0.0449850386741418, 4), (0.0391847794123369, 24), (0.0317625811359576, 29), (0.0310686648418185, 21), (0.0280735312429953, 12), (0.0268922263925265, 15)]
61	Crebillon_Conte	[(0.342121951162234, 6), (0.0552802937898942, 15), (0.0551952943654093, 3), (0.0494712145937238, 20), (0.0423510427229256, 24), (0.041193129485388, 11), (0.0394492730694543, 19), (0.0386991203791525, 25), (0.0367619862925331, 29), (0.0365535844760622, 4)]
62	Crebillon_Nuit	[(0.3444100017720113, 6), (0.1012463847014, 15), (0.0797330255081862, 3), (0.0553610189512621, 11), (0.0476424971000747, 25), (0.0437322304165254, 20), (0.0359819307172407, 5), (0.0351031774691432, 24), (0.0341043375146144, 4), (0.0299990120754021, 29)]
