	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
0	cœur	homme	maître	cheval	dieu	croire	coup	larme	grand	temps	beau	fille	plaisir	heure	comte	roi	œil	crime	lettre	homme	point	voir	esprit	argent	grand	voir	femme	terre	père	fille
1	amour	voir	manger	arriver	saint	moins	cri	vie	voir	moins	petit	foutre	amour	chambre	marquise	prince	voir	homme	ami	nature	milord	ami	livre	homme	jamais	là	homme	arbre	mère	femme
2	aimer	ami	grand	ville	religion	encore	tomber	douleur	porte	moyen	bon	cul	œil	femme	chevalier	peuple	répondre	malheureux	écrire	loi	cœur	parler	ouvrage	fortune	personne	bon	esprit	soleil	enfant	jeune
3	sentiment	père	là	homme	grand	point	main	jour	pied	mettre	dame	là	doux	nuit	marquis	grand	main	coupable	cher	point	miss	temps	lire	riche	toujours	chose	point	montagne	fil|fils	mariage
4	point	jeune	petit	grand	religieux	paraître	voir	malheureux	petit	laisser	joli	con	cœur	porte	femme	princesse	parler	punir	voir	raison	ami	plaisir	auteur	bon	jour	voilà	vertu	eau	fille	mari
5	jamais	connaître	mettre	passer	prêtre	voir	bras	cœur	œil	seul	jeune	mettre	beau	passer	duc	cour	mot	horreur	adieu	humain	mylord	toujours	grand	payer	beaucoup	croire	goût	lieu	frère	épouser
6	bonheur	là	homme	route	chrétien	temps	œil	point	main	soin	rire	plaisir	amant	sortir	croire	ennemi	entendre	oser	croire	donner	amitié	croire	homme	maison	moi|mois	jamais	monde	bois	sœur	époux
7	seul	ici	bon	donner	point	chose	sang	mort	côté	état	jouer	bouche	beauté	maison	duchesse	gloire	regarder	cruel	recevoir	principe	peine	point	art	grand	petit	homme	caractère	bord	bon	fortune
8	âme	fil|fils	boire	partir	église	assez	jeter	âme	paraître	nouveau	air	femme	voir	lit	voir	souverain	reprendre	mort	puis	seul	personne	moment	point	travail	donner	toujours	croire	là	voir	donner
9	passion	doute	vin	mettre	supérieur	donner	entendre	malheur	mettre	paraître	fort	décharger	tendre	jour	ami	palais	demander	point	aimer	vertu	désir	penser	goût	donner	temps	mieux	toujours	mer	cher	homme
10	heureux	voilà	diable	jour	curé	penser	voix	encore	sortir	jour	assez	petit	jour	arriver	répondre	guerre	parole	affreux	lire	mal	fortune	jour	histoire	gens	jeune	encore	souvent	voir	petit	oncle
11	vertu	point	eau	chemin	monde	autant	frapper	vivre	placer	servir	abbé	duc	âme	entrer	vicomte	trône	air	jamais	jour	idée	bonté	aimer	génie	pauvre	manière	parler	donner	nature	donner	mère
12	connaître	jour	tête	pays	père	tant	écrier	mourir	entrer	projet	beaucoup	vit	heureux	soir	paraître	arme	lever	vengeance	partir	âme	reconnaissance	peine	temps	état	seul	mal	société	air	famille	marier
13	sentir	revenir	beau	conduire	ciel	aimer	encore	ciel	tête	apprendre	tête	baiser	charme	mettre	baron	sujet	paraître	commettre	parler	esprit	heureux	passer	genre	besoin	cependant	tenir	plaire	oiseau	jeune	épouse
14	croire	malheur	comment	capitaine	foi	jamais	mort	dernier	apercevoir	encore	voir	foi|fois	bonheur	matin	cher	patrie	écrier	croire	envoyer	vie	sentiment	occuper	talent	somme	alors	moins	moins	rocher	jour	famille
15	toujours	secret	donner	coup	couvent	beaucoup	tête	voir	passer	cependant	mettre	libertin	encore	attendre	moment	reine	moment	vertu	chère	chose	paraître	vie	siècle	ville	connaître	ici	connaître	élever	embrasser	grand
16	amant	puis	chien	troupe	croire	craindre	terrible	seul	blanc	attendre	encore	beau	sembler	demander	adélaïde	nation	croire	victime	cœur	corps	lady	encore	apprendre	vivre	éprouver	tant	passion	vent	pauvre	beau
17	amitié	apprendre	point	suivre	prière	grand	saisir	héler	cheveu	effet	plaisir	branler	nouveau	revenir	heure	empire	voix	venger	lettrer	naître	sir	beaucoup	tableau	terre	encore	entendre	sexe	couvrir	âge	personne
18	tendresse	vieillard	voilà	temps	moine	douter	pied	peine	tour	donner	amuser	main	délicieux	lendemain	amant	ministre	oser	justice	donner	état	lord	heureux	roman	vendre	recevoir	comment	mari	milieu	aimer	jour
19	adorer	près	pauvre	vaisseau	homme	amour	porter	ami	noir	part	charmant	voir	désir	entendre	comment	chef	silence	scélérat	réponse	vérité	objet	cependant	écrire	famille	chose	fort	propre	fleur	regarder	vivre
20	moins	château	pain	demander	demander	effet	corps	cruel	haut	ordre	propos	joli	feu	coucher	président	monarque	visage	monstre	hier	objet	donner	souvent	vérité	petit	paraître	aimer	mérite	loin	cœur	demander
21	tendre	maison	coup	arrêter	bon	toujours	précipiter	état	tenir	assez	ci	jeune	joie	partir	reprendre	fil|fils	regard	devenir	encore	sen|sens	tendre	chose	théâtre	pays	détail	laisser	jamais	fruit	dieu	maison
22	craindre	ainsi	vieux	officier	personne	laisser	force	désespoir	porter	déjà	femme	fesse	goûter	voiture	mari	paix	apercevoir	criminel	billet	devenir	soin	esprit	lecture	livre	ainsi	donner	raison	jardin	joie	parent|parents
