	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
0	temps	auteur	porte	homme	petit	vaisseau	homme	maître	terre	roi	saint	peuple	vie	voir	père	milord	beau	sœur	arme	moins	lettre	voir	mariage	voir	plaisir	foutre	femme	amour	comte	crime	jamais	heure	paraître	homme	argent	chevalier	ami	père	amour	main
1	mettre	livre	chambre	dieu	manger	mer	enfant	cheval	arbre	prince	dieu	loi	douleur	paraître	ami	point	femme	frère	ennemi	croire	écrire	œil	point	répondre	cœur	cul	homme	beau	marquise	homme	femme	jour	voir	vertu	payer	mylord	voir	mère	aimer	œil
2	laisser	ouvrage	ouvrir	nature	grand	pays	point	homme	montagne	peuple	père	homme	larme	jeune	homme	cœur	jeune	bon	troupe	encore	ami	coup	ami	parler	bonheur	fille	bon	doux	marquis	malheureux	fille	passer	connaître	cœur	donner	duc	hui	fille	cœur	bras
3	moins	lire	mettre	point	mettre	île	toujours	arriver	eau	princesse	église	citoyen	point	petit	voir	comte	air	voir	combat	paraître	adieu	cri	fortune	croire	âme	con	croire	fleur	chevalier	mort	homme	nuit	croire	âme	bon	jamais	aujourd	enfant	point	mot
4	encore	esprit	lit	religion	vin	capitaine	voir	voiture	lieu	grand	religieux	gouvernement	malheureux	abbé	jeune	miss	œil	petit	soldat	point	cher	feu	fille	là	heureux	mettre	monde	jour	bon	coupable	servir	soir	apprendre	vice	fortune	grand	parler	fil|fils	jamais	voir
5	donner	histoire	sortir	raison	boire	ville	donner	arrêter	soleil	cour	curé	grand	jour	cher	connaître	sentiment	joli	cher	chevalier	chose	croire	voix	époux	demander	amour	décharger	chose	amant	petit	sang	devenir	chambre	jour	honneur	pauvre	comte	croire	jeune	amant	moment
6	moyen	pièce	entrer	vérité	tête	homme	apprendre	route	voir	palais	couvent	nation	mort	homme	là	temps	paraître	cousin	armer	temps	voir	main	épouser	entendre	doux	là	aimer	cœur	moins	punir	instant	matin	secret	passion	homme	personne	moment	famille	sentiment	écrier
7	projet	théâtre	entendre	loi	bon	grand	moins	gens	pied	trône	supérieur	pays	malheur	grand	baron	aimer	voir	beau	général	donner	lire	entendre	bonheur	encore	sentiment	bouche	fort	dieu	cher	horreur	là	voir	parler	grand	maison	moi|mois	point	donner	croire	jeter
8	paraître	art	passer	esprit	là	terre	jamais	chemin	là	reine	prêtre	droit	mourir	beau	ici	amitié	grâce	tante	guerre	autant	recevoir	tomber	donner	ici	temps	vit	mari	tendre	beau	vengeance	voilà	arriver	seul	caractère	riche	petit	ange	jour	seul	larme
9	cependant	grand	côté	chose	maître	bord	bon	partir	bois	souverain	point	patrie	cœur	ami	enfant	tendre	petit	fille	armée	tant	puis	tête	heureux	reprendre	jouir	duc	beaucoup	aimer	cependant	main	crime	partir	personne	principe	grand	toujours	encore	femme	voir	voix
10	craindre	roman	petit	idée	eau	vent	besoin	là	nature	gloire	moine	point	âme	temps	malheur	paraître	plaisir	aimer	coup	penser	lettrer	frapper	oncle	voilà	vie	plaisir	point	encore	ami	vie	voir	lendemain	répondre	vertueux	gens	point	penser	vieillard	bonheur	genou
11	nouveau	écrire	grand	humain	donner	arriver	soin	monter	petit	ministre	grand	ville	seul	dame	fil|fils	sentir	dame	là	roi	assez	partir	sang	mari	puis	jour	petit	là	plaisir	fort	cruel	seul	revenir	cependant	connaître	petit	jeune	chose	homme	passion	lever
12	assez	goût	main	donner	table	passer	âge	grand	couvrir	sujet	religion	politique	dernier	répondre	frère	désir	beauté	mère	épée	voir	encore	corps	épouse	jamais	sentir	branler	parler	berger	ci	monstre	mieux	quitter	temps	esprit	jour	duchesse	toujours	bon	âme	regarder
13	peine	génie	voir	corps	pain	port	sentir	suivre	rocher	monarque	compère	nombre	vivre	personne	voilà	jamais	charmant	jeune	guerrier	beaucoup	envoyer	nuit	amitié	pourquoi	toujours	beau	voir	chanter	vicomte	dieu	toujours	sortir	demander	mœurs	somme	donner	peine	âge	toujours	entendre
14	moment	talent	pied	âme	chien	esclave	vie	ville	jardin	majesté	prière	guerre	ami	bon	jour	soin	donner	saint	brave	désir	donner	sembler	famille	point	objet	baiser	esprit	œil	heure	venger	moins	attendre	alors	honnête	livre	lord	temps	nom	adorer	instant
15	parti	genre	fermer	grand	beau	voir	seul	femme	élever	seigneur	révérend	terre	encore	donner	doute	voir	figure	pauvre	ville	effet	mère	terre	jeune	homme	désir	fesse	moins	heureux	joli	fureur	nature	temps	lorsqu	propre	mettre	miss	chère	maison	craindre	tomber
16	servir	lecture	bas	monde	diable	voyage	mieux	descendre	forêt	empereur	ciel	société	ciel	adélaïde	revenir	sir	aimable	grand	camp	amour	billet	porter	marier	comment	encore	femme	gens	jeune	encore	point	moyen	donner	nouveau	intérêt	vendre	vicomte	cependant	voir	connaître	parole
17	état	beau	maison	principe	servir	partir	chose	maison	chemin	empire	dévot	état	dieu	princesse	ainsi	parler	monde	ici	tête	façon	réponse	bientôt	reconnaissance	mot	idée	homme	beau	rose	mettre	affreux	chose	mettre	passer	sage	vivre	beaucoup	beaucoup	tendresse	sentir	visage
18	attendre	tableau	placer	lumière	comment	embarquer	mal	conduire	côté	esclave	monde	liberté	héler	passer	secret	heureux	personne	ami	donner	flatter	cœur	terrible	nouveau	laisser	éprouver	joli	assez	main	moment	mourir	encore	rester	nom	toujours	acheter	mère	amitié	demander	encore	parler
19	jour	parler	jeter	univers	rire	voile	maître	coup	milieu	royaume	ermite	général	mal	amant	moment	peine	regard	mari	combattre	douter	parler	air	sort	penser	charme	foi|fois	jamais	beauté	dame	barbare	imaginer	demander	entendre	orgueil	affaire	cependant	aimer	jamais	tendre	pied
20	perdre	scène	fenêtre	mal	gros	mettre	état	mettre	vaste	calife	bon	république	infortuné	nouveau	point	ami	agréable	mettre	jeune	toujours	chère	mort	permettre	donner	passion	enculer	toujours	berger|bergère	honneur	justice	agir	lit	grand	sentiment	état	maman	vie	mourir	oser	reprendre
21	ordre	français	descendre	exister	fort	côte	nature	valet	beau	dieu	cellule	mœurs	peine	beaucoup	puis	chagrin	jouer	enfant	cheval	sentir	jour	alors	nom	mal	tendre	coup	mieux	voix	comment	oser	état	laisser	entrer	ami	honnête	fille	père	embrasser	tendresse	baiser
22	effet	bon	heure	divinité	vieux	temps	raison	demander	bord	fée	prier	ancien	voir	reconnaître	seul	triste	grand	dieu	duc	jamais	hier	paraître	personne	connaître	goûter	cuisse	plaire	sein	déjà	innocence	jeune	entrer	instruire	mérite	travail	enfant	entendre	vie	femme	cœur
23	vue	comédie	ouvrer|ouvrir	matière	animal	eau	ainsi	passer	fruit	régner	religieuse	souverain	cher	chère	bon	idée	goût	donner	victoire	laisser	amitié	encore	parent|parents	tant	imagination	gros	plaisir	joie	baron|baronne	victime	permettre	encore	cacher	jamais	service	seul	occuper	parent|parents	moins	mouvement
24	suivre	siècle	bout	seul	temps	rivage	naturel	auberge	ici	temple	chrétien	utile	désespoir	conduire	perdre	pourquoi	plaire	chose	attaquer	combien	remettre	lumière	main	chose	voir	jeune	raison	feu	baiser	sauver	impossible	coucher	doute	monde	moi|mois	recevoir	heureux	soin	vertu	arrêter
25	employer	spectacle	encore	erreur	bête	jour	éducation	dame	apercevoir	répondre	fa	porter	cruel	œil	docteur	éloigner	bal	femme	chef	craindre	aimer	jeter	assurer	mieux	vif	main	mauvais	air	coup	coup	président	demain	récit	élever	travailler	jour	passer	cœur	œil	regard
26	soin	jouer	appartement	sen|sens	coup	barque	propre	hôte|hôtesse	loin	couronne	pieux	chef	affreux	croire	vieux	douceur	sourire	maman	défendre	désirer	présent	affreux	parent	regarder	nouveau	donner	grand	voir	tour	criminel	pourtant	moment	surprendre	société	gagner	manière	paraître	larme	amitié	presser
27	lieu	petit	apercevoir	système	plat	turc	connaître	courir	offrir	courtisan	messe	sujet	sort	gens	jamais	donner	table	tenir	recevoir	égard	penser	ciel	engager	tenir	sembler	ange	tête	toujours	main	juge	foi|fois	ami	chercher	moins	écu	charmant	sentiment	devenir	heureux	tête
