	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
femme	0.0149942452789974	0.019767133936427393	0.0	0.0	0.0	0.004994996376686566	0.0	0.0038697026274342097	0.0	0.0	0.0	0.0	0.0	0.0	0.015634039690548267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0065187271447066574	0.0	0.0	0.00388457269700333	0.0034649051710163724	0.0	0.0	0.0	0.005778035725801251	0.007540776666777398	0.0	0.04557802595834591	0.0
jamais	0.012649729314975064	0.0055183960773258845	0.010238036165151272	0.0	0.0	0.004943234756202767	0.0	0.0	0.01141559370099556	0.0	0.0	0.0	0.0	0.0045154805197539115	0.0	0.0	0.0	0.0	0.0	0.0	0.009886546054058745	0.0	0.00565286172904396	0.0	0.0	0.0	0.0	0.0	0.008959270535132761	0.0	0.0	0.004457772734640947	0.0	0.0	0.007482487794523456	0.0	0.006444540411254692	0.005209076637648066	0.004388771506187745	0.011394241783977802
fille	0.01233002259260838	0.06360677583865099	0.0	0.007723170396875305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005523040699630003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017580121289208894	0.0	0.0	0.010250048965202064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
là	0.010113389317532716	0.0	0.0	0.013719255670596155	0.0029796768740909625	0.0	0.0	0.00416175565591981	0.0	0.0	0.0	0.004752837680260963	0.0	0.0	0.0	0.0	0.0	0.011957095129242132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0037401347766628772	0.009675880709564585	0.0	0.0	0.0	0.009290403631058519	0.0	0.0	0.0	0.004359321596698266	0.0	0.0	0.0	0.020176666751521015
servir	0.009505946545036021	0.0	0.0054729345145142225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004771115409413282	0.0	0.004448926325780045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
devenir	0.009388720746834903	0.005492768850960594	0.003670514747734205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0037799904551173587	0.00337465564738292	0.003792621907544535	0.0	0.0066097792225382635	0.0	0.0	0.0	0.0	0.005313299692712455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
instant	0.00874930730210154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007310026156105109	0.0	0.0	0.0	0.0	0.0	0.0	0.004289773959824722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
voilà	0.00831237478153374	0.0	0.0	0.010637072989274358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006658460817068167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00743637542551467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011389150523127053
homme	0.008077923185131506	0.006620366811033375	0.011923699995621652	0.006465498153347445	0.0	0.0	0.004320268311400392	0.0	0.014744140495917423	0.03598493012509375	0.0	0.0	0.014676155115511551	0.0	0.00784392869155735	0.013963065439804388	0.0	0.0	0.0	0.0	0.0	0.027869605142332415	0.0	0.0	0.0	0.015784605089649472	0.0	0.005791900424739364	0.0	0.0	0.0	0.014953801264386448	0.0	0.0	0.0	0.0	0.0	0.01337947766519195	0.012816178690009056	0.013323829646411933
crime	0.007214715034741464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005623681949543075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016847408923615893	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
