	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
0	fille	cœur	saint	là	bon	jour	ennemi	comte	argent	chevalier	livre	heure	prince	moins	malheur	coup	voir	jamais	femme	arbre	vaisseau	cheval	sœur	donner	larme	maître	point	jamais	jour	peuple	beau	dieu	âme	amour	mort	jouer	ami	vertu	foutre	voir	homme	aimer	père	ami	homme	malade	grand	voir	lettre	milord
1	mère	sentiment	dieu	voir	petit	plaisir	roi	marquise	fortune	duc	ouvrage	chambre	roi	croire	vie	main	terre	femme	homme	bois	mer	arriver	frère	mettre	bras	manger	ami	grand	temps	homme	œil	religion	bonheur	amant	crime	chanter	homme	homme	cul	répondre	nature	amour	fil|fils	hui	point	jour	compère	paraître	écrire	miss
2	femme	sentir	curé	croire	cher	voir	troupe	marquis	payer	duchesse	lire	porte	princesse	encore	voir	mettre	œil	servir	esprit	montagne	capitaine	homme	bon	connaître	main	bon	aimer	personne	encore	loi	petit	homme	cœur	plaisir	sang	pièce	voir	point	fille	parler	point	cœur	enfant	aujourd	enfant	maladie	père	homme	ami	point
3	mariage	idée	couvent	bon	encore	passer	arme	femme	donner	comte	auteur	nuit	cour	point	douleur	pied	élever	homme	monde	fleur	île	voiture	voir	laisser	œil	vin	amour	donner	passer	grand	voir	raison	heureux	beau	malheureux	théâtre	père	crime	con	œil	corps	point	mère	voir	moins	état	beau	cher	adieu	lady
4	jeune	voir	religieux	chose	ami	temps	soldat	baron	riche	dame	esprit	lit	grand	paraître	malheureux	jeter	air	devenir	goût	eau	port	partir	cher	moyen	douleur	petit	âme	point	partir	citoyen	grand	vérité	plaisir	œil	horreur	spectacle	là	croire	décharger	entendre	chose	jamais	fille	parler	voir	mourir	homme	ami	cher	ami
5	mari	âme	supérieur	parler	beau	beaucoup	peuple	chevalier	pauvre	princesse	histoire	sortir	palais	temps	jour	tête	paraître	instant	plaire	terre	pays	maison	cousin	paraître	écrier	boire	femme	toujours	arriver	point	blanc	point	vertu	doux	vie	entendre	connaître	coupable	vit	demander	animal	seul	famille	croire	toujours	mort	calife	jeune	recevoir	mylord
6	époux	passion	père	voilà	dame	maison	combat	vicomte	homme	beau	écrire	entrer	reine	amour	vivre	bras	lumière	là	plaisir	lieu	vent	femme	tante	temps	cœur	table	œil	connaître	nouveau	gouvernement	joli	loi	doux	cœur	affreux	danser	jeune	faute	duc	mot	idée	croire	jeune	point	donner	médecin	roi	répondre	lire	sir
7	épouser	objet	église	encore	abbé	paraître	guerre	ami	petit	cour	grand	coucher	trône	chose	mal	petit	soleil	voilà	caractère	jardin	ville	route	petit	recevoir	jeter	pain	malheureux	petit	quitter	nation	figure	chrétien	vie	main	homme	musique	voilà	cœur	mettre	main	esprit	ami	bon	ange	jamais	mal	terre	grand	voir	comte
8	donner	croire	moine	fort	ci	petit	armer	heure	maison	jeune	roman	passer	fée	donner	peine	corps	feu	fille	amour	beau	bord	arrêter	ami	part	voir	servir	mylord	cependant	perdre	patrie	cheveu	croire	jouir	jeune	cruel	comédie	ici	honneur	bouche	regarder	sen|sens	amant	vieillard	moment	apprendre	santé	pays	bon	mère	lettre
9	père	tendre	grand	beau	fort	donner	armée	mari	somme	château	homme	entendre	ministre	voir	cœur	tomber	sembler	crime	donner	bord	embarquer	chemin	aimer	moins	ciel	donner	sentiment	beaucoup	point	pays	portrait	esprit	sentiment	baiser	fureur	donner	doute	honte	là	air	mouvement	sentiment	homme	penser	raison	vie	point	petit	partir	chère
10	marier	œil	prière	mieux	chevalier	air	général	baron|baronne	vendre	écuyer	génie	mettre	sujet	autant	seul	tirer	milieu	toujours	société	nature	mettre	heure	mère	ordre	genou	enfant	situation	moi|mois	revenir	droit	couleur	foi	nature	tendre	monstre	scène	malheur	mériter	branler	reprendre	humain	bonheur	jour	chère	bon	donner	monde	temps	envoyer	cœur
11	homme	temps	prêtre	homme	cependant	fort	courage	adélaïde	gens	seigneur	art	ouvrir	peuple	penser	point	là	apercevoir	nature	point	berger	grand	demander	beau	fort	tomber	là	cœur	manière	apprendre	mœurs	noir	donner	amour	aimer	dieu	voir	frère	oser	plaisir	paraître	matière	voir	donner	encore	chose	guérir	fa	personne	puis	désir
12	épouse	vif	ermite	aimer	chapitre	occuper	guerrier	portail	bon	cheval	lecture	soir	souverain	femme	sort	jambe	grand	mieux	aimable	fruit	terre	monter	fille	refuser	pleur|pleurs	dîner	larme	jour	rester	souverain	beauté	vrai	beau	encore	vengeance	voix	fil|fils	jamais	petit	croire	être|êtres	connaître	voir	chose	vie	lit	dieu	beau	lettrer	cher
13	beau	amour	sœur	petit	mettre	souper	sang	joli	grand	arme	siècle	femme	esclave	assez	âme	côté	tête	moins	mari	forêt	côte	conduire	saint	intérêt	cri	encore	tendresse	temps	laisser	vertu	air	monde	homme	charme	main	acteur	puis	accuser	baiser	lever	physique	adorer	cœur	toujours	mal	fièvre	eusèbe	reconnaître	jour	amitié
14	enfant	paraître	prier	entendre	part	grand	victoire	donner	livre	recevoir	genre	maison	maître	tant	mort	crier	voix	seul	croire	soleil	esclave	maître	donner	assurer	pleurer	mettre	regard	seul	déjà	état	taille	fil|fils	pur	bras	mourir	jeu	ainsi	mal	beau	moment	espèce	heureux	nom	entendre	besoin	chirurgien	répondre	écrier	croire	heureux
