	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59
0	père	crime	plaisir	grand	dieu	hui	point	comte	maître	coup	jamais	saint	cheval	œil	ami	foutre	ami	sœur	mariage	montagne	temps	larme	travail	heure	milord	fleur	arme	jour	moins	jouer	aimer	voir	enfant	dame	amour	voir	point	homme	voir	petit	livre	femme	mère	point	petit	roi	argent	malade	vaisseau	prince	lettre	homme	secret	vertu	dieu	manger	bon	terre	main	voir
1	fil|fils	homme	bonheur	homme	temple	aujourd	voir	marquise	là	voir	fille	dieu	voiture	répondre	cœur	cul	voir	frère	fille	arbre	mettre	vie	terre	chambre	point	beau	ennemi	point	croire	chanter	amour	ami	apprendre	jeune	œil	croire	chose	loi	sentiment	air	ouvrage	mari	fille	mylord	grand	peuple	payer	jour	mer	princesse	écrire	grand	connaître	cœur	religion	vin	cher	nature	bras	paraître
2	enfant	malheureux	heureux	compère	terre	encore	homme	chevalier	petit	tomber	instant	couvent	arriver	entendre	amitié	fille	ange	cher	épouser	lieu	laisser	mort	ville	nuit	cœur	berger	troupe	encore	encore	pièce	cœur	homme	donner	voir	beau	là	jamais	nature	idée	paraître	lire	homme	enfant	miss	œil	prince	somme	état	capitaine	fée	ami	fortune	croire	homme	homme	boire	fort	point	larme	cher
3	fille	mort	jour	roi	voir	voir	moins	marquis	bon	cri	servir	curé	homme	parler	reconnaissance	con	parler	bon	époux	rocher	donner	douleur	pauvre	porte	comte	berger|bergère	combat	ami	paraître	théâtre	point	là	âge	beau	plaisir	répondre	toujours	société	cœur	monde	auteur	plaisir	femme	sir	voir	sujet	donner	mal	île	roi	adieu	point	point	âme	vérité	table	chevalier	animal	œil	homme
4	jeune	coupable	vie	point	élever	croire	sentir	duc	voilà	entendre	femme	religieux	route	voir	sentiment	décharger	point	voir	oncle	eau	moyen	malheureux	bon	lit	ami	jour	soldat	voir	point	musique	jamais	jeune	éducation	maison	amant	parler	croire	peuple	âme	beaucoup	esprit	esprit	petit	lord	beau	trône	fortune	maladie	vent	palais	cher	état	cacher	vice	esprit	eau	ci	homme	voir	jeune
5	homme	sang	temps	beau	peuple	seul	jamais	duchesse	rire	jeter	devenir	supérieur	partir	mot	donner	mettre	croire	cousin	fortune	forêt	nouveau	mourir	maison	passer	miss	oiseau	chevalier	malheur	temps	spectacle	amant	père	esprit	fort	beauté	homme	moins	seul	esprit	plaisir	histoire	amour	père	lady	blanc	souverain	affaire	mourir	port	cour	recevoir	honneur	cependant	passion	chrétien	donner	beau	corps	genou	adélaïde
6	vieillard	horreur	cœur	père	œil	ami	toujours	baron	diable	frapper	voir	église	arrêter	regarder	heureux	vit	moment	tante	marier	bois	paraître	âme	famille	sortir	lettre	arbre	armer	craindre	autant	entendre	sentiment	ici	leçon	femme	doux	encore	grand	droit	objet	joli	écrire	croire	donner	ami	cheveu	grand	livre	médecin	bord	grand	jour	riche	jour	sentiment	point	bon	petit	mouvement	jeter	ami
7	famille	vengeance	doux	pays	ciel	jamais	mieux	vicomte	tête	main	là	moine	chemin	main	recevoir	là	père	beau	épouse	là	assez	dernier	enfant	soir	tendre	voir	général	moins	donner	comédie	bonheur	voilà	toujours	grand	charme	bon	là	point	œil	rire	roman	goût	voir	maitresse	main	nation	petit	mort	pays	calife	lire	richesse	apprendre	vertueux	raison	mettre	moins	matière	écrier	grand
8	voir	main	toujours	philosophe	soleil	faute	tenir	femme	mettre	tête	voilà	grand	suivre	air	cher	duc	penser	saint	famille	terre	attendre	cœur	riche	coucher	désir	doux	guerre	seul	désir	acteur	voir	connaître	homme	homme	tendre	voilà	beaucoup	mal	sentir	personne	homme	monde	jeune	jeune	noir	guerre	mettre	vie	terre	taciturne	puis	rang	paraître	honneur	foi	servir	encore	soleil	ami	petit
9	jour	vie	jouir	terre	palais	demander	mal	baron|baronne	main	pied	mieux	père	monter	reprendre	vertu	bouche	chère	ami	donner	bord	ordre	point	grand	entrer	aimer	aimer	épée	douleur	assez	scène	croire	malheur	jeune	jour	cœur	chose	fort	humain	éprouver	jeune	siècle	plaire	jour	parent	placer	empire	vendre	santé	embarquer	beau	lettrer	talent	donner	raison	monde	pain	mettre	air	cœur	répondre
