	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59
père	0.18853564707645679	0.0	0.0	0.010848610848610848	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00929920708955224	0.0	0.0	0.0	0.0	0.010700940694107213	0.00827670770959996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008726811370572301	0.0	0.0	0.0	0.00989500934848267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02200588715111537	0.005193536931818182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fil|fils	0.0812363648475361	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0071911405148856605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012270808951306876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006587240271622006	0.0	0.0	0.0	0.0	0.0
enfant	0.04210035472213433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0042223691133024864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01048213000719597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005939882065295556	0.028687796410950293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07424548710855765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fille	0.03175845587623029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012962386437607902	0.0	0.0	0.0	0.0	0.019675925925925927	0.0	0.0102522181917267	0.024815415687183394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009716628222442663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09483278362946412	0.006214488636363636	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jeune	0.02869418955151798	0.0	0.0	0.0	0.0	0.0	0.0	0.005052770054115466	0.0	0.0	0.004316078453570317	0.0067047574626865674	0.0	0.0	0.0	0.005686392914653784	0.0	0.006863195899112723	0.005512697414164156	0.0	0.0	0.0	0.0	0.0	0.0	0.008105618667485416	0.0037026433820020995	0.0	0.0	0.0	0.0	0.010384006903494895	0.008214085585031504	0.022170166485401155	0.009458362917131554	0.0	0.0	0.0	0.0	0.00984883631021418	0.0	0.0066893987828846105	0.014221371067844097	0.008256392045454546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010861877336566636
homme	0.0198011557613203	0.015580164748240685	0.0	0.015762615762615763	0.0	0.0	0.02221108201014896	0.0	0.007095738509894913	0.0	0.005547222143605129	0.0	0.016750702175899294	0.0	0.0	0.006315418679549115	0.0	0.0	0.0	0.0	0.0	0.0	0.006044615015591269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01610815475334388	0.009471483045635328	0.012596957129710413	0.0	0.019473016368108772	0.0	0.04817412401176815	0.0	0.0	0.008677027843374156	0.020174753143425445	0.0	0.0	0.0	0.0	0.008486230231969023	0.0	0.007651881437881017	0.0	0.0	0.029081838414315376	0.0	0.018855685291466015	0.017261009230268777	0.0	0.0	0.010261511478757101	0.0	0.011720723451550974
vieillard	0.019734541276000467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00494123290957064	0.0	0.0	0.004513355848940743	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
famille	0.018185754492314354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00626713670191931	0.01261464092970897	0.0	0.0	0.0	0.010650035979851284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0064013902188176045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
voir	0.01793595017236498	0.0	0.0	0.0	0.010292219009692143	0.01876273316172793	0.025362170568014406	0.0	0.00476196899998651	0.013100996188218713	0.009891602750969349	0.0	0.0	0.018573904507737847	0.0	0.005007045088566827	0.021154712921095102	0.025613515216539793	0.0	0.0071174377224199285	0.0	0.0	0.0	0.0	0.0051731853575584	0.01013202333435677	0.0	0.012387271542708226	0.006738136846350316	0.005560222408896356	0.013314810713590636	0.0174025600460233	0.0	0.01999498033966368	0.0	0.047268319309264395	0.007046112141806612	0.0	0.02109117066602726	0.009616871568854867	0.0	0.0	0.014310032982232152	0.0	0.012814614113116235	0.0	0.0	0.006023293029871977	0.006811015345806181	0.0	0.012225802652849296	0.0	0.0	0.0	0.0	0.0	0.0	0.005837543519803146	0.01764833363171235	0.030842679599878752
jour	0.01415557813046447	0.0	0.02143525324067887	0.0	0.003473169312457949	0.0	0.0	0.0	0.0	0.0	0.0	0.00390625	0.0	0.0	0.0	0.0	0.0	0.007476285359083091	0.0067708505777571764	0.0	0.005498069498069498	0.00937687086606222	0.0	0.013559586198834966	0.0	0.012066318698188517	0.0038935012882908675	0.020496862462709597	0.0	0.0	0.0	0.006256292247950525	0.0	0.012489392979646472	0.004133279237245157	0.0	0.0	0.0	0.0	0.007596845279517513	0.0	0.0	0.012359470865694932	0.0	0.0	0.0	0.008739550537400933	0.023404160739687055	0.006726928736598697	0.0	0.014313395925446157	0.0	0.00961697551290536	0.0	0.0	0.008761343888781617	0.0	0.0	0.0	0.0
