	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69
0	crime	tante	cheval	main	voir	dame	aimer	homme	fort	foutre	bon	enfant	fée	ennemi	milord	amour	officier	douleur	beau	dieu	chevalier	manger	comte	père	terre	femme	croire	voir	jour	coup	homme	demander	maître	argent	temps	homme	petit	porte	voir	vicomte	mer	voir	voir	grand	voir	prince	sœur	moyen	ami	mariage	livre	aujourd	larme	saint	travail	vertu	croire	arbre	malade	jamais	moins	point	chanter	homme	lettre	cœur	roi	chambre	femme	mère
1	malheureux	jeune	voiture	œil	beau	chevalier	amour	loi	paraître	cul	fort	apprendre	prince	combat	point	plaisir	troupe	cœur	œil	religion	duc	vin	marquise	fil|fils	soleil	mari	chose	bon	partir	mettre	nature	point	là	payer	toujours	vertu	rire	petit	parler	jamais	vaisseau	paraître	point	compère	coup	esclave	mylord	encore	cher	oncle	ouvrage	hui	mort	dieu	ville	âme	secret	fleur	maladie	fille	croire	âme	jouer	voir	écrire	sentiment	prince	heure	plaisir	fille
2	homme	bon	arriver	bras	portrait	beau	cœur	nature	temps	fille	cher	donner	roi	arme	comte	cœur	général	malheur	petit	homme	duchesse	table	marquis	enfant	élever	homme	là	petit	voir	pied	point	donner	voilà	donner	jour	grand	abbé	grand	œil	petit	île	cher	homme	homme	cri	princesse	frère	projet	aimer	épouser	auteur	voir	mourir	curé	terre	cœur	connaître	bois	médecin	instant	encore	père	théâtre	ami	lire	amour	peuple	lit	esprit	enfant
3	mort	voir	homme	larme	tableau	princesse	jamais	peuple	moins	con	petit	âge	taciturne	roi	cœur	doux	ville	peine	joli	vérité	comte	boire	femme	fille	voir	jeune	voir	sœur	arriver	corps	corps	répondre	homme	fortune	encore	fortune	voir	ouvrir	paraître	point	bord	homme	moins	père	œil	point	miss	mettre	bonheur	fille	lire	ami	vie	couvent	pays	homme	conduite	beau	état	servir	point	ami	pièce	père	recevoir	passion	grand	nuit	plaire	père
4	coupable	petit	route	écrier	grand	abbé	point	société	assez	décharger	moins	éducation	sultane	guerrier	miss	amant	soldat	jour	blanc	chrétien	parole	bon	baron	jeune	temple	voir	bon	là	passer	main	chose	refuser	hôte|hôtesse	somme	foi|fois	honneur	homme	entrer	air	grand	vent	répondre	jamais	point	entendre	grand	lady	laisser	cœur	fortune	esprit	parler	douleur	religieux	famille	passion	tromper	berger	mourir	là	paraître	amour	musique	connaître	billet	inspirer	trône	coucher	point	femme
5	horreur	répondre	chemin	genou	œil	écuyer	amant	droit	voir	vit	chapitre	leçon	sultan	peuple	lettre	œil	ordre	mal	cheveu	raison	reprendre	servir	chevalier	vieillard	feu	beau	point	cher	heure	tomber	idée	permettre	parler	livre	vie	noble	là	maison	répondre	lettre	terre	jeune	sentir	roi	voix	palais	lord	moins	heureux	marier	histoire	point	dernier	supérieur	grand	sentiment	ami	jour	jour	devenir	femme	cœur	spectacle	jeune	réponse	donner	sujet	porte	goût	jour
6	punir	dame	arrêter	mot	peindre	monseigneur	croire	gouvernement	autant	mettre	cependant	bon	oie	troupe	pourquoi	beau	donner	malheureux	main	foi	grand	pain	heure	famille	air	aimer	fort	aimer	quitter	jeter	animal	accorder	croire	vendre	nouveau	nom	mettre	entendre	entendre	moi|mois	capitaine	adélaïde	mal	philosophe	tomber	lieu	sir	perdre	amitié	famille	homme	ange	vivre	église	riche	nature	vérité	berger|bergère	mal	voir	temps	sentiment	entendre	là	envoyer	amitié	cour	dormir	monde	fil|fils
7	vengeance	personne	partir	jeter	trait	cousin	seul	citoyen	cependant	duc	encore	jeune	génie	sang	jamais	tendre	régiment	âme	grand	fil|fils	princesse	petit	ami	frère	ciel	fille	jamais	frère	temps	tête	mouvement	laisser	ici	bon	jamais	état	gens	sortir	regarder	toujours	port	grand	toujours	beau	bras	voir	fille	temps	voir	père	roman	moment	malheureux	moine	maison	raison	cacher	montagne	mort	voilà	voir	aimer	donner	fil|fils	adieu	désir	souverain	passer	aimable	donner
8	sang	demander	suivre	lever	art	jeune	voir	mœurs	part	bouche	chevalier	maître	répondre	victoire	désir	bonheur	grand	point	noir	point	temps	souper	répondre	bon	dieu	parler	moins	beau	attendre	chien	sen|sens	recevoir	tenir	mettre	seul	connaître	voilà	mur	croire	beaucoup	pays	princesse	mieux	pays	instant	donner	maitresse	craindre	croire	époux	grand	croire	ciel	frère	point	vie	avouer	doux	santé	femme	amour	œil	danser	malheur	remettre	intérêt	ministre	mettre	société	voir
9	vie	dîner	monter	répondre	représenter	seigneur	adorer	point	nouveau	là	ci	soin	aimer	combattre	temps	heureux	arme	seul	habit	esprit	château	repas	baron|baronne	homme	lumière	amant	beaucoup	ici	revenir	eau	esprit	droit	entendre	petit	passer	gloire	jouer	voir	mot	personne	eau	ami	raison	répondre	frapper	temps	mère	seul	lettre	jeune	écrire	chose	jour	sœur	habitant	vice	doute	jardin	vie	mieux	penser	nouveau	voix	voilà	parler	vif	reine	soir	grâce	soin
10	monstre	air	demander	moment	beauté	dorine	sentiment	seul	vue	branler	moment	toujours	croire	soldat	aimer	charme	point	moins	tête	culte	sentiment	eau	vicomte	jour	peuple	donner	mal	voilà	ami	feu	âme	grâce	bon	homme	long	talent	bon	pied	homme	chevalier	montagne	écrier	seul	monde	jeter	apprendre	jeune	parti	adieu	parent|parents	siècle	penser	voir	grand	campagne	bonheur	comment	eau	guérir	crime	désir	regard	comédie	ici	cher	objet	empire	entendre	aimer	maison
11	main	parler	conduire	regarder	objet	cour	bonheur	liberté	passer	petit	dame	esprit	princesse	jeune	parler	beauté	militaire	voir	couleur	lumière	alors	dîner	parler	mère	vaste	époux	raison	ami	lendemain	jambe	être|êtres	main	encore	riche	alors	élever	messieurs	passer	apercevoir	parler	embarquer	temps	vie	terre	main	calife	personne	employer	tendre	mère	lecture	encore	cher	ange	enfant	esprit	confiance	oiseau	fièvre	président	chose	vertu	acteur	point	papier	tendre	monarque	sortir	petit	pauvre
12	cruel	fort	grand	voir	paraître	saintré	encore	mal	beaucoup	plaisir	part	point	grue	voir	paraître	feu	corps	état	donner	vrai	cour	mettre	portail	voir	autour	maître|maîtresse	homme	donner	soir	couper	matière	attendre	diable	affaire	vivre	rang	coup	côté	demander	cher	côte	petit	tenir	révérend	écrier	connaître	mistress	soin	puis	bonheur	parler	père	encore	prier	vie	doux	ignorer	lieu	chirurgien	plaisir	autant	mot	scène	doute	jour	aimer	guerre	matin	air	jamais
13	affreux	grand	heure	voix	peintre	honneur	connaître	général	peine	beau	beau	chose	reprendre	courage	idée	désir	ennemi	héler	taille	croire	éprouver	donner	écrier	donner	tête	honnête	mieux	pauvre	nouveau	là	physique	exiger	foi|fois	acheter	devenir	orgueil	perdre	souterrain	encore	donner	petit	personne	connaître	fa	saisir	mettre	chère	servir	vie	heureux	genre	toujours	dieu	prière	pauvre	plaisir	soupçon	voir	lit	imaginer	tant	situation	rôle	baron	ami	caractère	état	entrer	donner	parent|parents
14	victime	paraître	femme	reprendre	figure	roi	cruel	particulier	abord	fesse	mettre	exemple	autruche	épée	mouvement	jour	guerre	larme	air	donner	heure	jour	comment	sœur	œil	bon	toujours	cousin	maison	grand	espèce	promettre	pourquoi	pauvre	presque	mérite	diable	apercevoir	sembler	maman	rivage	beau	vivre	eusèbe	précipiter	vie	mariage	moment	chère	nièce	génie	aimer	seul	bon	gens	œil	accuser	nature	donner	seul	façon	objet	danse	enfant	donner	croire	nation	lever	toujours	devenir
15	fureur	beau	gens	pied	moins	amour	passion	donner	état	baiser	déjà	étude	air	héro|héros	marquis	délicieux	armée	sentir	pied	divin	répondre	encore	connaître	cher	sembler	croire	penser	encore	donner	tirer	objet	obtenir	tête	maison	peine	naissance	vieux	tour	regard	adieu	barque	reconnaître	état	prêtre	terrible	secours	williams	sûr	sentiment	riche	temps	entendre	époux	ermite	cultiver	principe	tort	forêt	docteur	toujours	donner	encore	talent	puis	mot	connaître	royaume	point	ridicule	famille
16	venger	beaucoup	descendre	tomber	ici	cheval	moins	intérêt	lorsqu	enculer	mot	petit	vizir	armer	tendre	âme	nadir	cruel	rose	divinité	aussitôt	apporter	moins	vieux	milieu	vivre	monde	tenir	rester	bras	effet	ordre	puis	jour	souvent	mériter	mauvais	fenêtre	reprendre	écrire	ville	chère	encore	dieu	perdre	arriver	époux	réussir	doux	neveu	vérité	chère	sein	maison	paysan	pur	aveu	là	remède	homme	flatter	seul	jeu	francisque	puis	tendresse	empereur	ouvrir	amuser	jeune
