al	dhtr-id	source	obvil-id	author-short	author gender	author-birth	author-death	author-name	author-gender	title-short	title-full	year-ref	year-creation	genre	available-print	editor	(all)available-digital	(all)available-google 	format	url Gallica	Full text	double-keying	for ocr model	Jiangsu	Teilkorpus description double	Teilkorpus Pilot	TEI-XML vorhanden?	protagonists	narration	setting-place	Bibliographie-ID	Form (tei-Header)	Wikidata-ID (tei-Header)	Viaf-ID (tei-Header)	
Abbes_Voyage	Abbes_Voyage	obvil-romans	1025108.xml	Abbes		1718	1802	Guillaume d'Abbes de Cabrebolles	male	roman	Voyage dans les espaces	1758		roman	---		https://gallica.bnf.fr/ark:/12148/bpt6k1025108x		txt	https://gallica.bnf.fr/ark:/12148/bpt6k1025108x		1		batch3			ja				58.50	autodiegetic	Q3120241		
Anonym_DomBougre	Anonym_DomBougre	liste2016	---	(Anonymous)		N/A	N/A	(Anonymous)	N/A	DomBougre	Histoire de Dom Bougre, portier des Chartreux			roman	1 ISBN: 978-2286036461	Enfer(KS)				von 1921: https://gallica.bnf.fr/ark:/12148/bpt6k1511476g	Wikisource: https://fr.wikisource.org/wiki/Le_Portier_des_Chartreux	0											Autor unbekannt	Autor unbekannt	
Anonym_Journée	Anonym_Journee	obvil-romans	6449931.xml	(Anonymous)		N/A	N/A	(Anonymous)	N/A	roman	Une Journée de Paris	1796		roman					txt	https://gallica.bnf.fr/ark:/12148/bpt6k6449931q		0											Autor unbekannt	Autor unbekannt	
Anonym_Langres	Anonym_Langres	liste2016	---	(Anonymous)		N/A	N/A	(Anonymous)	N/A	DeLangres	De Langres et Juliette d’Est...	1771	1771	roman	unter Vorbehalt: https://www.amazon.de/Langres-Juliette-DEst-Anecdote-Franaise/dp/1170332137/					gallica? Sudoc: http://www.sudoc.fr/141692413		0			ja							heterodiegetic	Autor unbekannt	Autor unbekannt	
Anonym_Marguerite	Anonym_Marguerite	liste2016	---	(Anonymous)		N/A	N/A	(Anonymous)	N/A	Marguerite	Histoire de Marguerite, fille de Suzon			roman	1	Enfer(KS)				https://gallica.bnf.fr/ark:/12148/bpt6k15200836	Wikisource: https://fr.wikisource.org/wiki/Histoire_de_Marguerite,_fille_de_Suzon	0									84.R5	homodiegetic	Autor unbekannt	Autor unbekannt	
Anonym_Merlin	Anonym_Merlin1	obvil-romans	5696493.xml	(Anonymous)		N/A	N/A	(Anonymous)	N/A	roman	Le Roman de Merlin-l'enchanteur remis en bon français et dans un meilleur ordre — Tome 1	1797		roman					txt	https://gallica.bnf.fr/ark:/12148/bpt6k5696493t		0											Autor unbekannt	Autor unbekannt	
Anonym_Merlin	Anonym_Merlin2	obvil-romans	6139103.xml	(Anonymous)		N/A	N/A	(Anonymous)	N/A	roman	Le Roman de Merlin-l'enchanteur remis en bon français et dans un meilleur ordre — Tome 2	1797		roman					txt	https://gallica.bnf.fr/ark:/12148/bpt6k6139103n		0											Autor unbekannt	Autor unbekannt	
Anonym_Merlin	Anonym_Merlin3	obvil-romans	5688171.xml	(Anonymous)		N/A	N/A	(Anonymous)	N/A	roman	Le Roman de Merlin-l'enchanteur remis en bon français et dans un meilleur ordre — Tome 3	1797		roman					txt	https://gallica.bnf.fr/ark:/12148/bpt6k5688171j		0											Autor unbekannt	Autor unbekannt	
Anonym_Suzon	Anonym_Suzon	liste2016	---	(Anonymous)		N/A	N/A	(Anonymous)	N/A	Suzon	Mémoires de Suzon, soeur de Dom Bougre			roman	1	Enfer(KS)			epub	https://gallica.bnf.fr/ark:/12148/bpt6k15139473	EPUB: https://fr.wikisource.org/wiki/M%C3%A9moires_de_Suzon_s%C5%93ur_de_D._B.,_%C3%A9d._1778	0					ja				83.90	autodiegetic	Autor unbekannt	Autor unbekannt	
Nerciat_Etourdi	Nerciat_Etourdi	?	?	Nerciat		1738	1800	Robert-André Andréa de Nerciat	male	Etourdi	L'Étourdi	1784		roman							Wikisource: https://fr.wikisource.org/wiki/L%E2%80%99%C3%89tourdi,_1784	0					ja					autodiegetic	Autor unbekannt	Autor unbekannt	
