	MimoText_ID	BGRF_ID	FrLabel	enLabel	DeLabel	Concept
0	Abbes_Voyage	58.5	Topic 20:art	Topic 20:art	Topic 20:Kunst	art
1	Abbes_Voyage	58.5	Topic 4:philosophie	Topic 4:philosophy	Topic 4:Philosophie	philosophie
2	Abbes_Voyage	58.5	Topic 32:état	Topic 32:state	Topic 32:Staat	état
3	Abbes_Voyage	58.5	Topic 28:campagne	Topic 28:rural area	Topic 28:ländlicher Raum	campagne
4	Abbes_Voyage	58.5	Topic 23:[femme homme esprit]	Topic 23:[femme homme esprit]	Topic 23:[femme homme esprit]	x
5	AndreSerieys_Comte	00.39	Topic 0:voyage maritime	Topic 0:navigation	Topic 0:Schiffahrt	voyage maritime 
6	AndreSerieys_Comte	00.39	Topic 18:[paraître recevoir personne]	Topic 18:[paraître recevoir personne]	Topic 18:[paraître recevoir personne]	x
7	AndreSerieys_Comte	00.39	Topic 16:nuit	Topic 16:night	Topic 16:Nacht	nuit
8	AndreSerieys_Comte	00.39	Topic 37:richesse	Topic 37:wealth	Topic 37:Reichtum	richesse
9	AndreSerieys_Comte	00.39	Topic 32:état	Topic 32:state	Topic 32:Staat	état
10	Anonym_Enfant	00.16	Topic 16:nuit	Topic 16:night	Topic 16:Nacht	nuit
11	Anonym_Enfant	00.16	Topic 38:voyage	Topic 38:travel	Topic 38:voyage	voyage
12	Anonym_Enfant	00.16	Topic 5:beauté_pastorale en littérature	Topic 5:beauty_pastorale in litterature	Topic 5:Schönheit_Pastorale in der Literatur	beauté
13	Anonym_Enfant	00.16	Topic 5:beauté_pastorale en littérature	Topic 5:beauty_pastorale in litterature	Topic 5:Schönheit_Pastorale in der Literatur	pastorale en littérature
14	Anonym_Enfant	00.16	Topic 33:[porte grand voir]	Topic 33:[porte grand voir]	Topic 33:[porte grand voir]	x
15	Anonym_Enfant	00.16	Topic 22:[bon petit dame]	Topic 22:[bon petit dame]	Topic 22:[bon petit dame]	x
16	Anonym_Histoire	57.1	Topic 31:religion_philosophie	Topic 31:religion_philosophy	Topic 31:Religion_Philosophie	religion
17	Anonym_Histoire	57.1	Topic 31:religion_philosophie	Topic 31:religion_philosophy	Topic 31:Religion_Philosophie	philosophie
18	Anonym_Histoire	57.1	Topic 18:[paraître recevoir personne]	Topic 18:[paraître recevoir personne]	Topic 18:[paraître recevoir personne]	x
19	Anonym_Histoire	57.1	Topic 0:voyage maritime	Topic 0:navigation	Topic 0:Schiffahrt	voyage maritime 
20	Anonym_Histoire	57.1	Topic 4:philosophie	Topic 4:philosophy	Topic 4:Philosophie	philosophie
21	Anonym_Histoire	57.1	Topic 24:éducation_enfance	Topic 24:education_childhood	Topic 24:Bildung_Kindheit	éducation
22	Anonym_Histoire	57.1	Topic 24:éducation_enfance	Topic 24:education_childhood	Topic 24:Bildung_Kindheit	enfance
23	Anonym_Suzon	83.9	Topic 18:[paraître recevoir personne]	Topic 18:[paraître recevoir personne]	Topic 18:[paraître recevoir personne]	x
24	Anonym_Suzon	83.9	Topic 16:nuit	Topic 16:night	Topic 16:Nacht	nuit
25	Anonym_Suzon	83.9	Topic 24:éducation_enfance	Topic 24:education_childhood	Topic 24:Bildung_Kindheit	éducation
26	Anonym_Suzon	83.9	Topic 24:éducation_enfance	Topic 24:education_childhood	Topic 24:Bildung_Kindheit	enfance
27	Anonym_Suzon	83.9	Topic 12:alimentation_sociabilité	Topic 12:aliment_sociability	Topic 12:Nahrung_Soziabilität	alimentation
28	Anonym_Suzon	83.9	Topic 12:alimentation_sociabilité	Topic 12:aliment_sociability	Topic 12:Nahrung_Soziabilität	sociabilité
29	Anonym_Suzon	83.9	Topic 23:[femme homme esprit]	Topic 23:[femme homme esprit]	Topic 23:[femme homme esprit]	x
30	Anonyme_Venus	70.18	Topic 22:[bon petit dame]	Topic 22:[bon petit dame]	Topic 22:[bon petit dame]	x
31	Anonyme_Venus	70.18	Topic 16:nuit	Topic 16:night	Topic 16:Nacht	nuit
32	Anonyme_Venus	70.18	Topic 23:[femme homme esprit]	Topic 23:[femme homme esprit]	Topic 23:[femme homme esprit]	x
33	Anonyme_Venus	70.18	Topic 5:beauté_pastorale en littérature	Topic 5:beauty_pastorale in litterature	Topic 5:Schönheit_Pastorale in der Literatur	beauté
34	Anonyme_Venus	70.18	Topic 5:beauté_pastorale en littérature	Topic 5:beauty_pastorale in litterature	Topic 5:Schönheit_Pastorale in der Literatur	pastorale en littérature
35	Anonyme_Venus	70.18	Topic 38:voyage	Topic 38:travel	Topic 38:voyage	voyage
